energy_ev,total_up,S_s_up,S_p_up,Si_p_up,Si_d_up,V_p_up,V_d_up
-5.20160080,2.10175924,0.01904397,0.36236100,0.82449115,0.00000000,0.59796602,0.82256992
-5.19559780,2.12063478,0.01941763,0.36542385,0.83203268,0.00000000,0.61076196,0.83119334
-5.18959480,2.13618468,0.01970065,0.36791220,0.83844867,0.00000000,0.62273368,0.83856540
-5.18359180,2.14898105,0.01989097,0.36993492,0.84396161,0.00000000,0.63402161,0.84487911
-5.17758879,2.15961473,0.01998822,0.37160601,0.84879396,0.00000000,0.64477955,0.85033114
-5.17158579,2.16866827,0.01999367,0.37303954,0.85315771,0.00000000,0.65516653,0.85511313
-5.16558279,2.17669034,0.01991006,0.37434466,0.85724478,0.00000000,0.66533835,0.85940375
-5.15957979,2.18417254,0.01974139,0.37562107,0.86121872,0.00000000,0.67543931,0.86336175
-5.15357679,2.19152981,0.01949276,0.37695494,0.86520804,0.00000000,0.68559457,0.86712040
-5.14757379,2.19908522,0.01917009,0.37841569,0.86930153,0.00000000,0.69590338,0.87078358
-5.14157079,2.20705975,0.01877995,0.38005358,0.87354559,0.00000000,0.70643365,0.87442352
-5.13556778,2.21556740,0.01832931,0.38189826,0.87794385,0.00000000,0.71721802,0.87808035
-5.12956478,2.22461556,0.01782533,0.38395838,0.88245883,0.00000000,0.72825163,0.88176332
-5.12356178,2.23411037,0.01727523,0.38622200,0.88701558,0.00000000,0.73949173,0.88545344
-5.11755878,2.24386665,0.01668614,0.38865804,0.89150691,0.00000000,0.75085901,0.88910739
-5.11155578,2.25362145,0.01606497,0.39121840,0.89580002,0.00000000,0.76224066,0.89266237
-5.10555278,2.26305055,0.01541835,0.39384074,0.89974400,0.00000000,0.77349498,0.89604138
-5.09954977,2.27178670,0.01475257,0.39645163,0.90317783,0.00000000,0.78445722,0.89915885
-5.09354677,2.27943881,0.01407357,0.39897011,0.90593851,0.00000000,0.79494653,0.90192594
-5.08754377,2.28561103,0.01338690,0.40131123,0.90786881,0.00000000,0.80477352,0.90425557
-5.08154077,2.28992096,0.01269777,0.40338960,0.90882456,0.00000000,0.81374835,0.90606665
-5.07553777,2.29201622,0.01201106,0.40512279,0.90868091,0.00000000,0.82168884,0.90728757
-5.06953477,2.29158908,0.01133130,0.40643435,0.90733766,0.00000000,0.82842848,0.90785872
-5.06353177,2.28838872,0.01066274,0.40725664,0.90472350,0.00000000,0.83382402,0.90773430
-5.05752876,2.28223111,0.01000935,0.40753315,0.90079903,0.00000000,0.83776249,0.90688316
-5.05152576,2.27300659,0.00937487,0.40722054,0.89555888,0.00000000,0.84016750,0.90528918
-5.04552276,2.26068543,0.00876281,0.40629029,0.88903283,0.00000000,0.84100469,0.90295117
-5.03951976,2.24532160,0.00817649,0.40473005,0.88128618,0.00000000,0.84028627,0.89988251
-5.03351676,2.22705519,0.00761905,0.40254476,0.87241961,0.00000000,0.83807467,0.89611085
-5.02751376,2.20611380,0.00709353,0.39975752,0.86256858,0.00000000,0.83448516,0.89167791
-5.02151076,2.18281318,0.00660289,0.39641029,0.85190247,0.00000000,0.82968753,0.88663957
-5.01550775,2.15755731,0.00615006,0.39256445,0.84062358,0.00000000,0.82390677,0.88106628
-5.00950475,2.13083800,0.00573802,0.38830123,0.82896600,0.00000000,0.81742265,0.87504388
-5.00350175,2.10323385,0.00536986,0.38372185,0.81719432,0.00000000,0.81056825,0.86867464
-4.99749875,2.07540846,0.00504888,0.37894759,0.80560219,0.00000000,0.80372729,0.86207841
-4.99149575,2.04810741,0.00477863,0.37411936,0.79451049,0.00000000,0.79733020,0.85539378
-4.98549275,2.02215368,0.00456302,0.36939703,0.78426503,0.00000000,0.79184876,0.84877893
-4.97948974,1.99844086,0.00440638,0.36495814,0.77523352,0.00000000,0.78778930,0.84241201
-4.97348674,1.97792370,0.00431349,0.36099606,0.76780166,0.00000000,0.78568422,0.83649067
-4.96748374,1.96160551,0.00428961,0.35771741,0.76236809,0.00000000,0.78608192,0.83123072
-4.96148074,1.95052188,0.00434048,0.35533869,0.75933808,0.00000000,0.78953493,0.82686350
-4.95547774,1.94572060,0.00447226,0.35408211,0.75911577,0.00000000,0.79658640,0.82363204
-4.94947474,1.94823756,0.00469143,0.35417045,0.76209498,0.00000000,0.80775507,0.82178577
-4.94347174,1.95906877,0.00500469,0.35582124,0.76864865,0.00000000,0.82351875,0.82157390
-4.93746873,1.97913898,0.00541873,0.35924006,0.77911692,0.00000000,0.84429694,0.82323753
-4.93146573,2.00926741,0.00594004,0.36461326,0.79379423,0.00000000,0.87043272,0.82700066
-4.92546273,2.05013167,0.00657462,0.37210026,0.81291570,0.00000000,0.90217463,0.83306036
-4.91945973,2.10223096,0.00732764,0.38182565,0.83664339,0.00000000,0.93965918,0.84157655
-4.91345673,2.16585010,0.00820321,0.39387136,0.86505275,0.00000000,0.98289469,0.85266163
-4.90745373,2.24102589,0.00920393,0.40826931,0.89812023,0.00000000,1.03174728,0.86637060
-4.90145073,2.32751768,0.01033065,0.42499481,0.93571242,0.00000000,1.08592992,0.88269209
-4.89544772,2.42478393,0.01158209,0.44396116,0.97757765,0.00000000,1.14499521,0.90154089
-4.88944472,2.53196648,0.01295465,0.46501572,1.02334064,0.00000000,1.20833275,0.92275241
-4.88344172,2.64788419,0.01444215,0.48793791,1.07250081,0.00000000,1.27517181,0.94607961
-4.87743872,2.77103721,0.01603572,0.51243937,1.12443482,0.00000000,1.34458947,0.97119281
-4.87143572,2.89962292,0.01772376,0.53816644,1.17840366,0.00000000,1.41552487,0.99768257
-4.86543272,3.03156406,0.01949203,0.56470523,1.23356448,0.00000000,1.48679926,1.02506594
-4.85942971,3.16454877,0.02132379,0.59158920,1.28898707,0.00000000,1.55714162,1.05279602
