energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up
-5.21960980,5.49566151,0.04542769,0.43867137,2.93032831,1.43189012,0.07181982,2.20529847
-5.21360680,5.44440227,0.04294045,0.42046463,2.95145772,1.39840867,0.06895735,2.21219918
-5.20760380,5.38828219,0.04056865,0.40294519,2.96689193,1.36557014,0.06609806,2.21501505
-5.20160080,5.32709882,0.03831781,0.38623298,2.97612894,1.33352154,0.06326874,2.21341319
-5.19559780,5.26087449,0.03619089,0.37044184,2.97893446,1.30239999,0.06049618,2.20721198
-5.18959480,5.18990441,0.03418909,0.35568323,2.97536806,1.27234610,0.05780750,2.19640024
-5.18359180,5.11479024,0.03231276,0.34206965,2.96579564,1.24351590,0.05523040,2.18114852
-5.17758879,5.03645644,0.03056219,0.32971720,2.95088741,1.21609051,0.05279332,2.16181150
-5.17158579,4.95614771,0.02893831,0.31874733,2.93160045,1.19028276,0.05052559,2.13892133
-5.16558279,4.87540708,0.02744325,0.30928727,2.90914665,1.16634052,0.04845730,2.11317171
-5.15957979,4.79603510,0.02608075,0.30146917,2.88494679,1.14454627,0.04661915,2.08539373
-5.15357679,4.72003200,0.02485640,0.29542796,2.86057287,1.12521324,0.04504200,2.05652416
-5.14757379,4.64952540,0.02377767,0.29129786,2.83768105,1.10867817,0.04375636,2.02756793
-5.14157079,4.58668728,0.02285386,0.28920784,2.81793831,1.09529140,0.04279163,1.99955648
-5.13556778,4.53364412,0.02209582,0.28927624,2.80294613,1.08540466,0.04217525,1.97350392
-5.12956478,4.49238482,0.02151557,0.29160473,2.79416492,1.07935763,0.04193171,1.95036316
-5.12356178,4.46467092,0.02112586,0.29627220,2.79284255,1.07746367,0.04208154,1.93098395
-5.11755878,4.45195352,0.02093961,0.30332871,2.79995064,1.07999586,0.04264021,1.91607488
-5.11155578,4.45530094,0.02096929,0.31279004,2.81613148,1.08717384,0.04361713,1.90617104
-5.10555278,4.47534061,0.02122633,0.32463310,2.84165840,1.09915218,0.04501465,1.90160862
-5.09954977,4.51221777,0.02172052,0.33879262,2.87641136,1.11601085,0.04682725,1.90250775
-5.09354677,4.56557305,0.02245940,0.35515921,2.91986915,1.13774805,0.04904090,1.90876411
-5.08754377,4.63453971,0.02344777,0.37357915,2.97111879,1.16427579,0.05163264,1.92004958
-5.08154077,4.71776056,0.02468715,0.39385584,3.02888167,1.19541812,0.05457039,1.93582190
-5.07553777,4.81342389,0.02617547,0.41575301,3.09155560,1.23091219,0.05781309,1.95534280
-5.06953477,4.91931636,0.02790670,0.43899958,3.15727076,1.27041178,0.06131117,1.97770359
-5.06353177,5.03289073,0.02987067,0.46329583,3.22395730,1.31349310,0.06500720,2.00185727
-5.05752876,5.15134511,0.03205291,0.48832084,3.28942151,1.35966256,0.06883702,2.02665566
-5.05152576,5.27171047,0.03443469,0.51374069,3.35142720,1.40836603,0.07273100,2.05088984
-5.04552276,5.39094238,0.03699308,0.53921702,3.40777862,1.45899918,0.07661561,2.07333250
-5.03951976,5.50601343,0.03970114,0.56441564,3.45640131,1.51091859,0.08041517,2.09278015
-5.03351676,5.61400219,0.04252822,0.58901474,3.49541722,1.56345306,0.08405374,2.10809385
-5.02751376,5.71217552,0.04544033,0.61271223,3.52321081,1.61591481,0.08745705,2.11823658
-5.02151076,5.79806083,0.04840062,0.63523195,3.53848333,1.66761038,0.09055447,2.12230607
-5.01550775,5.86950597,0.05136997,0.65632853,3.54029295,1.71785078,0.09328087,2.11956190
-5.00950475,5.92472475,0.05430759,0.67579054,3.52807935,1.76596091,0.09557838,2.10944584
-5.00350175,5.96232692,0.05717171,0.69344213,3.50167187,1.81128804,0.09739787,2.09159505
-4.99749875,5.98133249,0.05992037,0.70914288,3.46128143,1.85320938,0.09870022,2.06584778
-4.99149575,5.98117057,0.06251214,0.72278627,3.40747711,1.89113879,0.09945726,2.03224169
-4.98549275,5.96166416,0.06490696,0.73429679,3.34114904,1.92453279,0.09965236,1.99100523
-4.97948974,5.92300265,0.06706690,0.74362618,3.26345995,1.95289589,0.09928067,1.94254279
-4.97348674,5.86570444,0.06895695,0.75074894,3.17578817,1.97578563,0.09834898,1.88741461
-4.96748374,5.79057254,0.07054575,0.75565773,3.07966542,1.99281738,0.09687528,1.82631256
