energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Sc_p_up,Sc_p_down,Sc_d_up,Sc_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-2.24212106,0.30404127,-0.55991272,0.06111762,-0.12126903,0.19667914,-0.35581330,0.00000042,-0.00000891,0.01971590,-0.03309479,0.03264202,-0.03981155,0.02392563,-0.04824337,0.00040787,-0.00012957,0.08881733,-0.19222277
-2.23611806,0.32164108,-0.50234108,0.06029348,-0.11386220,0.21665931,-0.30638039,0.00000058,-0.00000732,0.01960325,-0.03163631,0.03510585,-0.03628850,0.02382460,-0.04548302,0.00046398,-0.00010487,0.08555676,-0.18410956
-2.23011506,0.34085350,-0.45236931,0.05954903,-0.10736572,0.23816143,-0.26359124,0.00000080,-0.00000598,0.01952260,-0.03035312,0.03777717,-0.03323942,0.02377044,-0.04306673,0.00052415,-0.00008431,0.08229583,-0.17694881
-2.22411206,0.36161684,-0.40915217,0.05891464,-0.10167036,0.26105946,-0.22673677,0.00000111,-0.00000486,0.01948189,-0.02922118,0.04064590,-0.03060859,0.02377364,-0.04095113,0.00058803,-0.00006733,0.07909843,-0.17060914
-2.21810905,0.38380782,-0.37186915,0.05841342,-0.09666468,0.28517635,-0.19514078,0.00000151,-0.00000392,0.01948655,-0.02821528,0.04369513,-0.02834145,0.02384208,-0.03909204,0.00065519,-0.00005342,0.07602067,-0.16495179
-2.21210605,0.40723936,-0.33973622,0.05806015,-0.09223768,0.31028369,-0.16816715,0.00000205,-0.00000314,0.01953917,-0.02730979,0.04690107,-0.02638559,0.02398063,-0.03744553,0.00072508,-0.00004212,0.07310889,-0.15983494
-2.20610305,0.43166118,-0.31201559,0.05786051,-0.08828132,0.33610346,-0.14522492,0.00000277,-0.00000250,0.01963928,-0.02647945,0.05023348,-0.02469154,0.02419104,-0.03596893,0.00079709,-0.00003301,0.07039830,-0.15511795
-2.20010005,0.45676380,-0.28802349,0.05781087,-0.08469291,0.36231234,-0.12577157,0.00000370,-0.00000197,0.01978337,-0.02570007,0.05365639,-0.02321341,0.02447205,-0.03462183,0.00087050,-0.00002574,0.06791219,-0.15066562
-2.19409705,0.48218554,-0.26713614,0.05789850,-0.08137728,0.38854819,-0.10931474,0.00000492,-0.00000155,0.01996500,-0.02494919,0.05712930,-0.02190946,0.02481960,-0.03336692,0.00094460,-0.00002000,0.06566175,-0.14635207
-2.18809405,0.50752282,-0.24879401,0.05810226,-0.07824864,0.41441901,-0.09541266,0.00000649,-0.00000121,0.02017501,-0.02420672,0.06060878,-0.02074250,0.02522738,-0.03217076,0.00101863,-0.00001553,0.06364644,-0.14206426
-2.18209105,0.53234308,-0.23250437,0.05839366,-0.07523212,0.43951385,-0.08367356,0.00000851,-0.00000094,0.02040200,-0.02345536,0.06405034,-0.01968019,0.02568747,-0.03100436,0.00109189,-0.00001210,0.06185490,-0.13770492
-2.17608804,0.55620012,-0.21784232,0.05873831,-0.07226486,0.46341545,-0.07375424,0.00001107,-0.00000072,0.02063281,-0.02268107,0.06741073,-0.01869519,0.02619117,-0.02984367,0.00116371,-0.00000955,0.06026634,-0.13319477
-2.17008504,0.57865126,-0.20445036,0.05909761,-0.06929670,0.48571422,-0.06535799,0.00001430,-0.00000055,0.02085312,-0.02187320,0.07065039,-0.01776522,0.02672999,-0.02866976,0.00123359,-0.00000773,0.05885220,-0.12847403
-2.16408204,0.59927539,-0.19203666,0.05943065,-0.06629043,0.50602280,-0.05823210,0.00001835,-0.00000042,0.02104812,-0.02102469,0.07373612,-0.01687297,0.02729660,-0.02746903,0.00130117,-0.00000654,0.05757815,-0.12350310
-2.15807904,0.61769144,-0.18037215,0.05969621,-0.06322160,0.52399081,-0.05216503,0.00002338,-0.00000032,0.02120322,-0.02013200,0.07664370,-0.01600596,0.02788598,-0.02623301,0.00136630,-0.00000590,0.05640623,-0.11826244
-2.15207604,0.63357623,-0.16928666,0.05985476,-0.06007792,0.53931900,-0.04698344,0.00002958,-0.00000024,0.02130469,-0.01919496,0.07936055,-0.01515627,0.02849644,-0.02495820,0.00142911,-0.00000579,0.05529696,-0.11275177
-2.14607304,0.64668081,-0.15866426,0.05987032,-0.05685830,0.55177206,-0.04254912,0.00003715,-0.00000018,0.02134036,-0.01821652,0.08188813,-0.01432025,0.02913058,-0.02364563,0.00149002,-0.00000619,0.05421151,-0.10698847
-2.14007004,0.65684467,-0.14843804,0.05971219,-0.05357166,0.56118971,-0.03875599,0.00004635,-0.00000013,0.02130017,-0.01720237,0.08424400,-0.01349812,0.02979619,-0.02230039,0.00154981,-0.00000712,0.05311360,-0.10100556
-2.13406703,0.66400698,-0.13858450,0.05935641,-0.05023542,0.56749515,-0.03552718,0.00005742,-0.00000010,0.02117665,-0.01616054,0.08646357,-0.01269361,0.03050695,-0.02093102,0.00160962,-0.00000864,0.05197118,-0.09484915
-2.12806403,0.66821420,-0.12911789,0.05878688,-0.04687395,0.57070075,-0.03281233,0.00007065,-0.00000008,0.02096532,-0.01510089,0.08860112,-0.01191350,0.03128290,-0.01954885,0.00167099,-0.00001082,0.05075787,-0.08857565
-2.12206103,0.66962373,-0.12008454,0.05799613,-0.04351687,0.57091035,-0.03058506,0.00008632,-0.00000006,0.02066493,-0.01403463,0.09073038,-0.01116727,0.03215071,-0.01816739,0.00173582,-0.00001379,0.04945398,-0.08224879
-2.11605803,0.66850324,-0.11155744,0.05698567,-0.04019743,0.56831821,-0.02884071,0.00010473,-0.00000005,0.02027757,-0.01297383,0.09294424,-0.01046669,0.03314366,-0.01680157,0.00180642,-0.00001769,0.04804718,-0.07593670
