energy_ev,total_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,Na_s_up,Se_s_up,Se_p_up
-5.88594297,2.44675198,0.34840370,0.71035373,0.05896801,0.04694595,0.18100528,0.08732014,0.89213559
-5.87993997,2.40992047,0.34326808,0.69802719,0.05886671,0.04651094,0.17444587,0.08653264,0.87993151
-5.87393697,2.37210433,0.33784922,0.68574321,0.05864232,0.04605335,0.16797095,0.08561956,0.86716396
-5.86793397,2.33401613,0.33223325,0.67372409,0.05830158,0.04558819,0.16155790,0.08461431,0.85408784
-5.86193097,2.29640275,0.32651740,0.66218170,0.05785673,0.04513049,0.15520161,0.08355478,0.84098444
-5.85592796,2.26001186,0.32080535,0.65130880,0.05732457,0.04469468,0.14891248,0.08248166,0.82814842
-5.84992496,2.22555791,0.31520205,0.64127100,0.05672528,0.04429384,0.14271384,0.08143684,0.81587407
-5.84392196,2.19368914,0.30980867,0.63219959,0.05608129,0.04393910,0.13663905,0.08046160,0.80444154
-5.83791896,2.16495726,0.30471767,0.62418573,0.05541596,0.04363904,0.13072850,0.07959485,0.79410360
-5.83191596,2.13979113,0.30000835,0.61727617,0.05475248,0.04339929,0.12502643,0.07887148,0.78507369
-5.82591296,2.11847593,0.29574302,0.61147078,0.05411268,0.04322218,0.11957800,0.07832089,0.77751571
-5.81990995,2.10113863,0.29196416,0.60672208,0.05351614,0.04310660,0.11442654,0.07796568,0.77153602
-5.81390695,2.08774055,0.28869244,0.60293673,0.05297936,0.04304793,0.10961119,0.07782064,0.76717813
-5.80790395,2.07807737,0.28592593,0.59997900,0.05251519,0.04303826,0.10516492,0.07789215,0.76442018
-5.80190095,2.07178634,0.28364032,0.59767606,0.05213250,0.04306658,0.10111300,0.07817776,0.76317530
-5.79589795,2.06836037,0.28179025,0.59582479,0.05183600,0.04311929,0.09747208,0.07866630,0.76329474
-5.78989495,2.06716813,0.28031155,0.59419987,0.05162630,0.04318064,0.09424954,0.07933816,0.76457365
-5.78389195,2.06747908,0.27912432,0.59256265,0.05150016,0.04323341,0.09144349,0.08016607,0.76675903
-5.77788894,2.06849201,0.27813660,0.59067049,0.05145087,0.04325954,0.08904299,0.08111597,0.76955946
-5.77188594,2.06936581,0.27724841,0.58828602,0.05146872,0.04324082,0.08702872,0.08214831,0.77265610
-5.76588294,2.06925082,0.27635603,0.58518594,0.05154160,0.04315961,0.08537382,0.08321935,0.77571441
-5.75987994,2.06731937,0.27535616,0.58116896,0.05165561,0.04299946,0.08404497,0.08428272,0.77839606
-5.75387694,2.06279429,0.27414997,0.57606258,0.05179566,0.04274570,0.08300356,0.08529095,0.78037047
-5.74787394,2.05497408,0.27264657,0.56972843,0.05194612,0.04238595,0.08220690,0.08619700,0.78132560
-5.74187094,2.04325418,0.27076613,0.56206598,0.05209133,0.04191054,0.08160947,0.08695580,0.78097757
-5.73586793,2.02714350,0.26844225,0.55301468,0.05221616,0.04131280,0.08116411,0.08752560,0.77907879
-5.72986493,2.00627610,0.26562377,0.54255438,0.05230645,0.04058925,0.08082309,0.08786916,0.77542451
-5.72386193,1.98041792,0.26227583,0.53070431,0.05234939,0.03973965,0.08053924,0.08795485,0.76985761
-5.71785893,1.94946883,0.25838037,0.51752072,0.05233388,0.03876700,0.08026684,0.08775742,0.76227172
-5.71185593,1.91346044,0.25393613,0.50309339,0.05225079,0.03767740,0.07996252,0.08725861,0.75261257
-5.70585293,1.87255023,0.24895809,0.48754138,0.05209319,0.03647986,0.07958602,0.08644754,0.74087791
-5.69984992,1.82701255,0.24347661,0.47100816,0.05185654,0.03518603,0.07910099,0.08532078,0.72711604
-5.69384692,1.77722742,0.23753639,0.45365651,0.05153883,0.03380990,0.07847556,0.08388233,0.71142310
-5.68784392,1.72366753,0.23119520,0.43566343,0.05114069,0.03236749,0.07768298,0.08214327,0.69393942
-5.68184092,1.66688428,0.22452267,0.41721518,0.05066542,0.03087653,0.07670221,0.08012133,0.67484513
-5.67583792,1.60749320,0.21759899,0.39850272,0.05011898,0.02935617,0.07551832,0.07784023,0.65435500
-5.66983492,1.54615941,0.21051389,0.37971760,0.04950995,0.02782672,0.07412300,0.07532889,0.63271299
-5.66383192,1.48358323,0.20336561,0.36104848,0.04884939,0.02630945,0.07251485,0.07262062,0.61018634
-5.65782891,1.42048646,0.19626017,0.34267815,0.04815059,0.02482643,0.07069968,0.06975208,0.58705959
-5.65182591,1.35759929,0.18931078,0.32478118,0.04742885,0.02340052,0.06869067,0.06676238,0.56362842
-5.64582291,1.29564816,0.18263746,0.30752211,0.04670101,0.02205531,0.06650844,0.06369199,0.54019356
-5.63981991,1.23534465,0.17636693,0.29105414,0.04598511,0.02081530,0.06418099,0.06058179,0.51705495
-5.63381691,1.17737542,0.17063256,0.27551825,0.04529982,0.01970601,0.06174360,0.05747210,0.49450600
-5.62781391,1.12239356,0.16557464,0.26104275,0.04466392,0.01875424,0.05923848,0.05440180,0.47282844
-5.62181091,1.07101119,0.16134075,0.24774307,0.04409578,0.01798839,0.05671449,0.05140753,0.45228760
-5.61580790,1.02379377,0.15808620,0.23572194,0.04361279,0.01743878,0.05422665,0.04852302,0.43312845
-5.60980490,0.98125595,0.15597464,0.22506978,0.04323098,0.01713802,0.05183558,0.04577851,0.41557242
-5.60380190,0.94385936,0.15517868,0.21586526,0.04296456,0.01712133,0.04960692,0.04320038,0.39981526
-5.59779890,0.91201221,0.15588038,0.20817616,0.04282576,0.01742682,0.04761064,0.04081087,0.38602582
-5.59179590,0.88607076,0.15827166,0.20206033,0.04282472,0.01809575,0.04592028,0.03862800,0.37434603
-5.58579290,0.86634258,0.16255441,0.19756671,0.04296959,0.01917254,0.04461217,0.03666563,0.36489195
-5.57978989,0.85309137,0.16894016,0.19473660,0.04326682,0.02070473,0.04376458,0.03493364,0.35775588
-5.57378689,0.84654285,0.17764912,0.19360469,0.04372164,0.02274262,0.04345668,0.03343829,0.35300927
-5.56778389,0.84689150,0.18890851,0.19420021,0.04433869,0.02533872,0.04376755,0.03218264,0.35070653
-5.56178089,0.85430723,0.20294983,0.19654776,0.04512275,0.02854691,0.04477493,0.03116705,0.35088912
-5.55577789,0.86894161,0.22000509,0.20066785,0.04607966,0.03242121,0.04655387,0.03038982,0.35358986
-5.54977489,0.89093261,0.24030168,0.20657705,0.04721711,0.03701429,0.04917524,0.02984768,0.35883701
-5.54377189,0.92040743,0.26405596,0.21428757,0.04854555,0.04237564,0.05270396,0.02953643,0.36665774
-5.53776888,0.95748246,0.29146545,0.22380624,0.05007889,0.04854936,0.05719712,0.02945143,0.37708072
-5.53176588,1.00226004,0.32269965,0.23513279,0.05183501,0.05557182,0.06270190,0.02958799,0.39013734
-5.52576288,1.05482153,0.35788984,0.24825748,0.05383608,0.06346895,0.06925336,0.02994173,0.40586145
-5.51975988,1.11521662,0.39711789,0.26315796,0.05610851,0.07225360,0.07687212,0.03050872,0.42428736
-5.51375688,1.18344898,0.44040465,0.27979575,0.05868254,0.08192275,0.08556205,0.03128549,0.44544608
-5.50775388,1.25945870,0.48769840,0.29811216,0.06159143,0.09245497,0.09530805,0.03226895,0.46935969
-5.50175088,1.34310227,0.53886380,0.31802408,0.06487031,0.10380807,0.10607398,0.03345604,0.49603429
-5.49574787,1.43413106,0.59367216,0.33941984,0.06855452,0.11591727,0.11780100,0.03484333,0.52545152
-5.48974487,1.53216966,0.65179359,0.36215545,0.07267769,0.12869386,0.13040628,0.03642651,0.55755933
-5.48374187,1.63669537,0.71279175,0.38605149,0.07726955,0.14202465,0.14378235,0.03819973,0.59226234
-5.47773887,1.74702047,0.77612190,0.41089101,0.08235347,0.15577222,0.15779708,0.04015498,0.62941254
-5.47173587,1.86227874,0.84113255,0.43641872,0.08794398,0.16977616,0.17229455,0.04228137,0.66880075
-5.46573287,1.98141769,0.90707141,0.46234171,0.09404430,0.18385517,0.18709671,0.04456459,0.71014985
-5.45972986,2.10319765,0.97309563,0.48833188,0.10064406,0.19781034,0.20200596,0.04698635,0.75310989
-5.45372686,2.22619882,1.03828636,0.51403015,0.10771735,0.21142917,0.21680867,0.04952399,0.79725612
-5.44772386,2.34883667,1.10166753,0.53905245,0.11522123,0.22449060,0.23127942,0.05215028,0.84209002
-5.44172086,2.46938588,1.16222829,0.56299744,0.12309474,0.23677063,0.24518607,0.05483341,0.88704370
-5.43571786,2.58601257,1.21894837,0.58545560,0.13125869,0.24804855,0.25829537,0.05753722,0.93148783
-5.42971486,2.69681397,1.27082565,0.60601961,0.13961614,0.25811331,0.27037898,0.06022161,0.97474300
-5.42371186,2.79986419,1.31690475,0.62429535,0.14805366,0.26677003,0.28121963,0.06284324,1.01609422
-5.41770885,2.89326461,1.35630553,0.63991328,0.15644343,0.27384613,0.29061723,0.06535639,1.05480813
-5.41170585,2.97519691,1.38825023,0.65253966,0.16464609,0.27919703,0.29839470,0.06771407,1.09015228
-5.40570285,3.04397642,1.41208826,0.66188700,0.17251418,0.28271092,0.30440318,0.06986918,1.12141588
-5.39969985,3.09810369,1.42731720,0.66772342,0.17989627,0.28431259,0.30852653,0.07177586,1.14793091
-5.39369685,3.13631202,1.43359938,0.66988039,0.18664137,0.28396607,0.31068477,0.07339083,1.16909301
-5.38769385,3.15760868,1.43077307,0.66825845,0.19260371,0.28167581,0.31083644,0.07467474,1.18438096
-5.38169085,3.16130820,1.41885783,0.66283081,0.19764737,0.27748659,0.30897973,0.07559342,1.19337411
-5.37568784,3.14705604,1.39805381,0.65364447,0.20165091,0.27148200,0.30515228,0.07611901,1.19576675
-5.36968484,3.11484174,1.36873503,0.64081892,0.20451151,0.26378152,0.29942979,0.07623097,1.19137904
-5.36368184,3.06500086,1.33143695,0.62454248,0.20614857,0.25453657,0.29192336,0.07591673,1.18016372
-5.35767884,2.99820570,1.28683899,0.60506648,0.20650657,0.24392544,0.28277579,0.07517223,1.16220857
-5.35167584,2.91544532,1.23574273,0.58269748,0.20555709,0.23214749,0.27215700,0.07400208,1.13773427
-5.34567284,2.81799566,1.17904685,0.55778793,0.20329986,0.21941693,0.26025867,0.07241944,1.10708796
-5.33966983,2.70738116,1.11771994,0.53072577,0.19976274,0.20595629,0.24728854,0.07044568,1.07073270
-5.33366683,2.58532962,1.05277220,0.50192321,0.19500082,0.19198995,0.23346429,0.06810969,1.02923330
-5.32766383,2.45372209,0.98522732,0.47180536,0.18909448,0.17773807,0.21900765,0.06544702,0.98323926
-5.32166083,2.31453999,0.91609560,0.44079902,0.18214666,0.16341095,0.20413853,0.06249878,0.93346542
-5.31565783,2.16981140,0.84634913,0.40932208,0.17427934,0.14920416,0.18906970,0.05931038,0.88067126
-5.30965483,2.02155870,0.77690002,0.37777389,0.16562956,0.13529459,0.17400204,0.05593022,0.82563958
-5.30365183,1.87174931,0.70858216,0.34652684,0.15634501,0.12183731,0.15912051,0.05240832,0.76915554
-5.29764882,1.72225109,0.64213693,0.31591945,0.14657949,0.10896361,0.14459097,0.04879494,0.71198670
-5.29164582,1.57479392,0.57820306,0.28625103,0.13648835,0.09677987,0.13055777,0.04513926,0.65486480
-5.28564282,1.43093816,0.51731068,0.25777790,0.12622421,0.08536741,0.11714234,0.04148821,0.59846991
-5.27963982,1.29205073,0.45987927,0.23071138,0.11593296,0.07478320,0.10444255,0.03788545,0.54341727
-5.27363682,1.15928909,0.40621924,0.20521721,0.10575033,0.06506124,0.09253281,0.03437044,0.49024722
-5.26763382,1.03359282,0.35653671,0.18141638,0.09579905,0.05621453,0.08146493,0.03097785,0.43941822
-5.26163082,0.91568260,0.31094088,0.15938723,0.08618666,0.04823748,0.07126951,0.02773703,0.39130307
-5.25562781,0.80606570,0.26945343,0.13916848,0.07700404,0.04110856,0.06195780,0.02467181,0.34618810
-5.24962481,0.70504724,0.23201936,0.12076314,0.06832464,0.03479313,0.05352394,0.02180041,0.30427514
-5.24362181,0.61274620,0.19851868,0.10414284,0.06020431,0.02924628,0.04594731,0.01913559,0.26568575
-5.23761881,0.52911491,0.16877843,0.08925263,0.05268180,0.02441552,0.03919510,0.01668491,0.23046754
-5.23161581,0.45396115,0.14258452,0.07601580,0.04577971,0.02024333,0.03322478,0.01445115,0.19860194
-5.22561281,0.38697154,0.11969301,0.06433871,0.03950589,0.01666945,0.02798660,0.01243280,0.17001298
-5.21960980,0.32773541,0.09984056,0.05411533,0.03385510,0.01363286,0.02342577,0.01062470,0.14457674
-5.21360680,0.27576813,0.08275371,0.04523155,0.02881092,0.01107341,0.01948458,0.00901857,0.12213091
-5.20760380,0.23053322,0.06815698,0.03756895,0.02434771,0.00893323,0.01610421,0.00760371,0.10248416
-5.20160080,0.19146269,0.05577960,0.03100815,0.02043266,0.00715767,0.01322623,0.00636755,0.08542506
-5.19559780,0.15797505,0.04536096,0.02543167,0.01702766,0.00569607,0.01079388,0.00529631,0.07073019
-5.18959480,0.12949090,0.03665478,0.02072615,0.01409115,0.00450219,0.00875309,0.00437543,0.05817137
-5.18359180,0.10544583,0.02943203,0.01678417,0.01157968,0.00353447,0.00705318,0.00359012,0.04752178
-5.17758879,0.08530066,0.02348292,0.01350552,0.00944939,0.00275605,0.00564739,0.00292572,0.03856114
-5.17158579,0.06854923,0.01861782,0.01079809,0.00765713,0.00213464,0.00449316,0.00236803,0.03107967
-5.16558279,0.05472377,0.01466756,0.00857832,0.00616143,0.00164235,0.00355228,0.00190355,0.02488108
-5.15957979,0.04339820,0.01148300,0.00677137,0.00492320,0.00125531,0.00279083,0.00151972,0.01978462
-5.15357679,0.03418963,0.00893417,0.00531099,0.00390628,0.00095339,0.00217910,0.00120499,0.01562631
-5.14757379,0.02675832,0.00690905,0.00413921,0.00307771,0.00071976,0.00169134,0.00094889,0.01225938
-5.14157079,0.02080653,0.00531220,0.00320588,0.00240789,0.00054051,0.00130548,0.00074211,0.00955416
-5.13556778,0.01607635,0.00406313,0.00246804,0.00187065,0.00040430,0.00100284,0.00057643,0.00739755
-5.12956478,0.01234694,0.00309481,0.00188932,0.00144307,0.00030201,0.00076780,0.00044470,0.00569207
-5.12356178,0.00943144,0.00235201,0.00143927,0.00110542,0.00022637,0.00058749,0.00034078,0.00435468
-5.11755878,0.00717355,0.00178994,0.00109265,0.00084082,0.00017174,0.00045145,0.00025944,0.00331555
-5.11155578,0.00544421,0.00137280,0.00082885,0.00063507,0.00013381,0.00035138,0.00019629,0.00251666
-5.10555278,0.00413835,0.00107269,0.00063124,0.00047629,0.00010946,0.00028088,0.00014768,0.00191044
-5.09954977,0.00317179,0.00086848,0.00048666,0.00035470,0.00009652,0.00023522,0.00011062,0.00145857
-5.09354677,0.00247851,0.00074500,0.00038494,0.00026229,0.00009371,0.00021120,0.00008266,0.00113070
-5.08754377,0.00200823,0.00069235,0.00031848,0.00019260,0.00010050,0.00020699,0.00006185,0.00090341
-5.08154077,0.00172426,0.00070534,0.00028190,0.00014043,0.00011711,0.00022206,0.00004666,0.00075932
-5.07553777,0.00160180,0.00078318,0.00027180,0.00010167,0.00014440,0.00025711,0.00003587,0.00068627
-5.06953477,0.00162656,0.00092918,0.00028649,0.00007309,0.00018395,0.00031407,0.00002858,0.00067665
-5.06353177,0.00179362,0.00115073,0.00032589,0.00005219,0.00023803,0.00039613,0.00002411,0.00072694
-5.05752876,0.00210669,0.00145925,0.00039136,0.00003700,0.00030966,0.00050775,0.00002198,0.00083730
-5.05152576,0.00257752,0.00187034,0.00048569,0.00002607,0.00040264,0.00065478,0.00002188,0.00101128
-5.04552276,0.00322562,0.00240390,0.00061303,0.00001825,0.00052163,0.00084452,0.00002363,0.00125561
-5.03951976,0.00407799,0.00308435,0.00077887,0.00001272,0.00067222,0.00108582,0.00002719,0.00158013
-5.03351676,0.00516907,0.00394079,0.00099009,0.00000884,0.00086096,0.00138916,0.00003260,0.00199763
-5.02751376,0.00654067,0.00500719,0.00125495,0.00000616,0.00109543,0.00176674,0.00004000,0.00252387
-5.02151076,0.00824189,0.00632247,0.00158307,0.00000435,0.00138429,0.00223256,0.00004961,0.00317744
-5.01550775,0.01032896,0.00793046,0.00198544,0.00000316,0.00173723,0.00280239,0.00006171,0.00397973
-5.00950475,0.01286493,0.00987977,0.00247440,0.00000244,0.00216500,0.00349376,0.00007667,0.00495477
-5.00350175,0.01591921,0.01222338,0.00306350,0.00000206,0.00267932,0.00432587,0.00009490,0.00612901
-4.99749875,0.01956677,0.01501810,0.00376744,0.00000198,0.00329275,0.00531942,0.00011688,0.00753100
-4.99149575,0.02388720,0.01832376,0.00460187,0.00000214,0.00401853,0.00649636,0.00014315,0.00919101
-4.98549275,0.02896329,0.02220207,0.00558315,0.00000254,0.00487035,0.00787954,0.00017428,0.01114046
-4.97948974,0.03487946,0.02671529,0.00672805,0.00000319,0.00586206,0.00949232,0.00021089,0.01341126
-4.97348674,0.04171971,0.03192462,0.00805341,0.00000413,0.00700734,0.01135800,0.00025363,0.01603504
-4.96748374,0.04956539,0.03788829,0.00957574,0.00000540,0.00831924,0.01349931,0.00030319,0.01904220
-4.96148074,0.05849271,0.04465952,0.01131074,0.00000708,0.00980984,0.01593765,0.00036026,0.02246099
-4.95547774,0.06857006,0.05228432,0.01327284,0.00000926,0.01148968,0.01869248,0.00042557,0.02631638
-4.94947474,0.07985525,0.06079923,0.01547470,0.00001205,0.01336733,0.02178055,0.00049981,0.03062899
-4.94347174,0.09239287,0.07022907,0.01792672,0.00001558,0.01544891,0.02521520,0.00058369,0.03541406
-4.93746873,0.10621167,0.08058490,0.02063658,0.00002001,0.01773763,0.02900567,0.00067790,0.04068038
-4.93146573,0.12132237,0.09186214,0.02360882,0.00002553,0.02023340,0.03315652,0.00078310,0.04642946
-4.92546273,0.13771585,0.10403914,0.02684452,0.00003234,0.02293252,0.03766716,0.00089992,0.05265476
-4.91945973,0.15536181,0.11707616,0.03034102,0.00004067,0.02582744,0.04253147,0.00102896,0.05934125
-4.91345673,0.17420812,0.13091493,0.03409182,0.00005079,0.02890669,0.04773759,0.00117074,0.06646511
-4.90745373,0.19418088,0.14547880,0.03808655,0.00006297,0.03215489,0.05326797,0.00132578,0.07399382
-4.90145073,0.21518513,0.16067358,0.04231103,0.00007752,0.03555288,0.05909946,0.00149448,0.08188647
-4.89544772,0.23710634,0.17638901,0.04674753,0.00009474,0.03907809,0.06520373,0.00167723,0.09009437
-4.88944472,0.25981243,0.19250084,0.05137505,0.00011497,0.04270490,0.07154768,0.00187430,0.09856203
-4.88344172,0.28315647,0.20887347,0.05616969,0.00013851,0.04640518,0.07809412,0.00208589,0.10722820
-4.87743872,0.30697968,0.22536301,0.06110513,0.00016570,0.05014895,0.08480246,0.00231210,0.11602727
-4.87143572,0.33111467,0.24182065,0.06615307,0.00019681,0.05390501,0.09162944,0.00255289,0.12489066
-4.86543272,0.35538875,0.25809611,0.07128368,0.00023210,0.05764166,0.09852991,0.00280808,0.13374826
-4.85942971,0.37962710,0.27404114,0.07646602,0.00027180,0.06132736,0.10545748,0.00307732,0.14252992
-4.85342671,0.40365564,0.28951279,0.08166837,0.00031606,0.06493139,0.11236513,0.00336005,0.15116675
-4.84742371,0.42730344,0.30437630,0.08685850,0.00036495,0.06842443,0.11920564,0.00365546,0.15959224
-4.84142071,0.45040460,0.31850758,0.09200383,0.00041847,0.07177896,0.12593192,0.00396250,0.16774322
-4.83541771,0.47279963,0.33179517,0.09707155,0.00047655,0.07496970,0.13249713,0.00427979,0.17556059
-4.82941471,0.49433624,0.34414153,0.10202857,0.00053897,0.07797378,0.13885470,0.00460566,0.18298972
-4.82341171,0.51486974,0.35546390,0.10684157,0.00060547,0.08077092,0.14495822,0.00493808,0.18998077
-4.81740870,0.53426315,0.36569459,0.11147694,0.00067566,0.08334345,0.15076130,0.00527468,0.19648873
-4.81140570,0.55238726,0.37478088,0.11590082,0.00074906,0.08567631,0.15621736,0.00561280,0.20247345
-4.80540270,0.56912087,0.38268475,0.12007924,0.00082514,0.08775702,0.16127956,0.00594945,0.20789960
-4.79939970,0.58435137,0.38938246,0.12397838,0.00090332,0.08957563,0.16590084,0.00628145,0.21273677
-4.79339670,0.59797601,0.39486421,0.12756511,0.00098298,0.09112474,0.17003412,0.00660542,0.21695965
-4.78739370,0.60990387,0.39913413,0.13080760,0.00106355,0.09239960,0.17363282,0.00691797,0.22054848
-4.78139070,0.62005882,0.40221049,0.13367633,0.00114448,0.09339831,0.17665159,0.00721574,0.22348977
-4.77538769,0.62838334,0.40412642,0.13614521,0.00122534,0.09412214,0.17904738,0.00749559,0.22577737
-4.76938469,0.63484316,0.40493107,0.13819293,0.00130586,0.09457592,0.18078075,0.00775475,0.22741369
-4.76338169,0.63943258,0.40469114,0.13980448,0.00138594,0.09476863,0.18181742,0.00799093,0.22841128
-4.75737869,0.64218021,0.40349271,0.14097267,0.00146573,0.09471397,0.18212996,0.00820253,0.22879453
-4.75137569,0.64315461,0.40144322,0.14169968,0.00154567,0.09443099,0.18169959,0.00838875,0.22860136
-4.74537269,0.64246959,0.39867332,0.14199845,0.00162650,0.09394470,0.18051791,0.00854973,0.22788481
-4.73936968,0.64028865,0.39533840,0.14189380,0.00170930,0.09328657,0.17858843,0.00868661,0.22671445
-4.73336668,0.63682802,0.39161950,0.14142325,0.00179551,0.09249495,0.17592793,0.00880165,0.22517725
-4.72736368,0.63235794,0.38772344,0.14063731,0.00188692,0.09161518,0.17256734,0.00889818,0.22337798
-4.72136068,0.62720189,0.38388173,0.13959931,0.00198564,0.09069956,0.16855220,0.00898058,0.22143884
-4.71535768,0.62173337,0.38034844,0.13838458,0.00209407,0.08980690,0.16394261,0.00905421,0.21949842
-4.70935468,0.61637027,0.37739656,0.13707907,0.00221487,0.08900189,0.15881253,0.00912520,0.21770971
-4.70335168,0.61156671,0.37531317,0.13577731,0.00235086,0.08835405,0.15324863,0.00920034,0.21623742
-4.69734867,0.60780269,0.37439331,0.13457986,0.00250497,0.08793645,0.14734848,0.00928674,0.21525441
-4.69134567,0.60557172,0.37493273,0.13359030,0.00268012,0.08782416,0.14121835,0.00939159,0.21493760
-4.68534267,0.60536712,0.37721998,0.13291182,0.00287911,0.08809248,0.13497061,0.00952185,0.21546333
-4.67933967,0.60766736,0.38152792,0.13264365,0.00310454,0.08881512,0.12872084,0.00968391,0.21700241
-4.67333667,0.61292126,0.38810522,0.13287741,0.00335868,0.09006230,0.12258483,0.00988325,0.21971522
-4.66733367,0.62153372,0.39716831,0.13369361,0.00364335,0.09189892,0.11667552,0.01012414,0.22374688
-4.66133067,0.63385269,0.40889400,0.13515845,0.00395984,0.09438289,0.11110013,0.01040937,0.22922291
-4.65532766,0.65015799,0.42341341,0.13732104,0.00430882,0.09756374,0.10595747,0.01073999,0.23624554
-4.64932466,0.67065272,0.44080741,0.14021130,0.00469028,0.10148145,0.10133563,0.01111515,0.24489086
-4.64332166,0.69545738,0.46110394,0.14383853,0.00510345,0.10616570,0.09731003,0.01153203,0.25520691
-4.63731866,0.72460730,0.48427722,0.14819079,0.00554683,0.11163550,0.09394200,0.01198577,0.26721287
-4.63131566,0.75805322,0.51024906,0.15323509,0.00601816,0.11789914,0.09127778,0.01246957,0.28089930
-4.62531266,0.79566501,0.53889212,0.15891848,0.00651446,0.12495457,0.08934806,0.01297486,0.29622942
-4.61930965,0.83723826,0.57003483,0.16516988,0.00703207,0.13279004,0.08816791,0.01349148,0.31314129
-4.61330665,0.88250307,0.60346783,0.17190255,0.00756677,0.14138495,0.08773717,0.01400806,0.33155064
-4.60730365,0.93113473,0.63895131,0.17901716,0.00811385,0.15071087,0.08804112,0.01451236,0.35135434
-4.60130065,0.98276524,0.67622295,0.18640530,0.00866821,0.16073258,0.08905145,0.01499169,0.37243397
-4.59529765,1.03699513,0.71500576,0.19395309,0.00922453,0.17140902,0.09072740,0.01543337,0.39465940
-4.58929465,1.09340469,0.75501549,0.20154493,0.00977735,0.18269406,0.09301706,0.01582520,0.41789210
-4.58329165,1.15156391,0.79596697,0.20906703,0.01032122,0.19453709,0.09585863,0.01615588,0.44198785
-4.57728864,1.21104058,0.83757903,0.21641060,0.01085079,0.20688322,0.09918179,0.01641545,0.46679879
-4.57128564,1.27140598,0.87957780,0.22347464,0.01136094,0.21967311,0.10290903,0.01659565,0.49217448
-4.56528264,1.33223802,0.92169798,0.23016803,0.01184686,0.23284258,0.10695687,0.01669021,0.51796221
-4.55927964,1.39312175,0.96368242,0.23641107,0.01230408,0.24632178,0.11123711,0.01669506,0.54400625
-4.55327664,1.45364735,1.00527977,0.24213624,0.01272854,0.26003417,0.11565805,0.01660846,0.57014640
-4.54727364,1.51340612,1.04624079,0.24728833,0.01311664,0.27389537,0.12012566,0.01643100,0.59621596
-4.54127064,1.57198490,1.08631354,0.25182393,0.01346518,0.28781198,0.12454482,0.01616555,0.62203927
-4.53526763,1.62895980,1.12523816,0.25571041,0.01377140,0.30168055,0.12882056,0.01581713,0.64742923
-4.52926463,1.68388986,1.16274155,0.25892447,0.01403295,0.31538680,0.13285944,0.01539259,0.67218512
-4.52326163,1.73631174,1.19853288,0.26145049,0.01424786,0.32880527,0.13657091,0.01490039,0.69609100
-4.51725863,1.78573597,1.23230025,0.26327873,0.01441447,0.34179955,0.13986886,0.01435019,0.71891494
-4.51125563,1.83164572,1.26370919,0.26440361,0.01453151,0.35422312,0.14267314,0.01375249,0.74040956
-4.50525263,1.87349852,1.29240328,0.26482215,0.01459794,0.36592095,0.14491121,0.01311823,0.76031375
-4.49924962,1.91073128,1.31800728,0.26453276,0.01461308,0.37673182,0.14651969,0.01245839,0.77835597
-4.49324662,1.94276882,1.34013273,0.26353436,0.01457651,0.38649133,0.14744585,0.01178364,0.79425889
