energy_ev,total_up,N_s_up,N_p_up,Re_p_up,Re_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-5.15957979,3.10153496,0.00645384,0.43739040,1.57821012,1.18078323,0.03824246,1.39523931,0.09703013,0.07755763
-5.15357679,3.00173315,0.00593616,0.41865357,1.51373986,1.15482884,0.03570464,1.35449116,0.09335550,0.07377659
-5.14757379,2.92018784,0.00546502,0.40275982,1.45849453,1.13525386,0.03340299,1.32123830,0.09024199,0.07062395
-5.14157079,2.85664958,0.00504458,0.38975374,1.41245410,1.12188684,0.03135220,1.29532879,0.08768545,0.06807827
-5.13556778,2.81053977,0.00467820,0.37963049,1.37543899,1.11442575,0.02956179,1.27646768,0.08567228,0.06611023
-5.12956478,2.78098481,0.00436851,0.37233966,1.34712423,1.11245107,0.02803644,1.26423225,0.08418071,0.06468375
-5.12356178,2.76685887,0.00411748,0.36779052,1.32705776,1.11544301,0.02677643,1.25809124,0.08318230,0.06375715
-5.11755878,2.76683326,0.00392653,0.36585819,1.31468190,1.12280196,0.02577818,1.25742687,0.08264339,0.06328443
-5.11155578,2.77943027,0.00379660,0.36639051,1.30935695,1.13387150,0.02503485,1.26155898,0.08252668,0.06321659
-5.10555278,2.80307893,0.00372831,0.36921529,1.31038581,1.14796284,0.02453693,1.26976996,0.08279271,0.06350288
-5.09954977,2.83617044,0.00372200,0.37414747,1.31703844,1.16437968,0.02427287,1.28132953,0.08340116,0.06409206
-5.09354677,2.87711074,0.00377788,0.38099600,1.32857521,1.18244247,0.02422962,1.29551834,0.08431207,0.06493352
-5.08754377,2.92436822,0.00389610,0.38957003,1.34426814,1.20151083,0.02439315,1.31164929,0.08548677,0.06597831
-5.08154077,2.97651456,0.00407679,0.39968419,1.36341930,1.22100344,0.02474885,1.32908599,0.08688868,0.06717994
-5.07553777,3.03225749,0.00432015,0.41116282,1.38537578,1.24041438,0.02528187,1.34725753,0.08848380,0.06849510
-5.06953477,3.09046434,0.00462644,0.42384292,1.40954099,1.25932532,0.02597737,1.36566934,0.09024098,0.06988410
