energy_ev,total_up,In_p_up,In_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
5.39969985,2.22516835,0.71187315,0.00007287,0.08915346,0.49295820,1.36401956,0.98289947
5.40570285,2.14215112,0.67430533,0.00006945,0.08406719,0.48071325,1.29493530,0.94545631
5.41170585,2.05021366,0.63425105,0.00006575,0.07871299,0.46621802,1.22094523,0.90418145
5.41770885,1.95095238,0.59240485,0.00006184,0.07318003,0.44973157,1.14333957,0.85978803
5.42371186,1.84600086,0.54945377,0.00005778,0.06755554,0.43153315,1.06340056,0.81300080
5.42971486,1.73698577,0.50605918,0.00005363,0.06192248,0.41191442,0.98236807,0.76453705
5.43571786,1.62548627,0.46284084,0.00004946,0.05635752,0.39117184,0.90140918,0.71508923
5.44172086,1.51299845,0.42036350,0.00004532,0.05092951,0.36959963,0.82159254,0.66530983
5.44772386,1.40090561,0.37912657,0.00004127,0.04569825,0.34748327,0.74386825,0.61579897
5.45372686,1.29045499,0.33955679,0.00003735,0.04071370,0.32509396,0.66905351,0.56709482
5.45972986,1.18274121,0.30200410,0.00003360,0.03601566,0.30268395,0.59782416,0.51966704
5.46573287,1.07869634,0.26674048,0.00003005,0.03163379,0.28048301,0.53071176,0.47391303
5.47173587,0.97908619,0.23396146,0.00002671,0.02758793,0.25869578,0.46810585,0.43015690
5.47773887,0.88451224,0.20378999,0.00002361,0.02388881,0.23750028,0.41026057,0.38865089
5.48374187,0.79541830,0.17628224,0.00002075,0.02053889,0.21704721,0.35730501,0.34957867
5.48974487,0.71210114,0.15143481,0.00001814,0.01753340,0.19746013,0.30925623,0.31306040
5.49574787,0.63472405,0.12919295,0.00001578,0.01486145,0.17883635,0.26603433,0.27915893
5.50175088,0.56333230,0.10945928,0.00001366,0.01250726,0.16124834,0.22747835,0.24788672
5.50775388,0.49786983,0.09210262,0.00001176,0.01045126,0.14474555,0.19336268,0.21921322
5.51375688,0.43819609,0.07696659,0.00001008,0.00867123,0.12935662,0.16341284,0.19307227
5.51975988,0.38410258,0.06387765,0.00000860,0.00714328,0.11509163,0.13732042,0.16936928
5.52576288,0.33532844,0.05265235,0.00000731,0.00584278,0.10194454,0.11475661,0.14798790
5.53176588,0.29157469,0.04310372,0.00000618,0.00474510,0.08989555,0.09538404,0.12879620
5.53776888,0.25251696,0.03504664,0.00000521,0.00382628,0.07891339,0.07886681,0.11165195
5.54377189,0.21781641,0.02830214,0.00000437,0.00306345,0.06895751,0.06487859,0.09640731
5.54977489,0.18712895,0.02270076,0.00000366,0.00243529,0.05998005,0.05310893,0.08291266
5.55577789,0.16011276,0.01808493,0.00000305,0.00192218,0.05192767,0.04326781,0.07101972
5.56178089,0.13643417,0.01431056,0.00000253,0.00150640,0.04474317,0.03508865,0.06058396
5.56778389,0.11577217,0.01124779,0.00000210,0.00117217,0.03836690,0.02832995,0.05146648
5.57378689,0.09782166,0.00878126,0.00000173,0.00090561,0.03273805,0.02277583,0.04353529
5.57978989,0.08229565,0.00680980,0.00000142,0.00069470,0.02779565,0.01823565,0.03666622
5.58579290,0.06892655,0.00524577,0.00000117,0.00052913,0.02347954,0.01454295,0.03074342
5.59179590,0.05746687,0.00401411,0.00000095,0.00040015,0.01973105,0.01155390,0.02565960
5.59779890,0.04768925,0.00305130,0.00000078,0.00030046,0.01649369,0.00914541,0.02131609
5.60380190,0.03938620,0.00230412,0.00000063,0.00022400,0.01371359,0.00721311,0.01762267
5.60980490,0.03236949,0.00172847,0.00000051,0.00016581,0.01133989,0.00566922,0.01449733
5.61580790,0.02646930,0.00128814,0.00000041,0.00012187,0.00932504,0.00444050,0.01186593
5.62181091,0.02153331,0.00095372,0.00000033,0.00008893,0.00762493,0.00346628,0.00966182
5.62781391,0.01742562,0.00070153,0.00000026,0.00006444,0.00619906,0.00269665,0.00782539
5.63381691,0.01402565,0.00051268,0.00000021,0.00004636,0.00501052,0.00209078,0.00630364
5.63981991,0.01122702,0.00037225,0.00000017,0.00003311,0.00402596,0.00161545,0.00504968
5.64582291,0.00893643,0.00026855,0.00000013,0.00002348,0.00321553,0.00124381,0.00402231
5.65182591,0.00707254,0.00019250,0.00000010,0.00001654,0.00255268,0.00095422,0.00318551
5.65782891,0.00556485,0.00013711,0.00000008,0.00001156,0.00201404,0.00072934,0.00250802
5.66383192,0.00435266,0.00009704,0.00000006,0.00000803,0.00157921,0.00055532,0.00196285
5.66983492,0.00338408,0.00006824,0.00000005,0.00000553,0.00123051,0.00042114,0.00152691
5.67583792,0.00261501,0.00004769,0.00000004,0.00000379,0.00095273,0.00031806,0.00118050
5.68184092,0.00200824,0.00003312,0.00000003,0.00000257,0.00073295,0.00023918,0.00090702
5.68784392,0.00153262,0.00002285,0.00000002,0.00000174,0.00056023,0.00017906,0.00069251
5.69384692,0.00116225,0.00001567,0.00000002,0.00000116,0.00042544,0.00013343,0.00052538
5.69984992,0.00087576,0.00001068,0.00000001,0.00000077,0.00032096,0.00009895,0.00039602
5.70585293,0.00065563,0.00000724,0.00000001,0.00000051,0.00024055,0.00007301,0.00029658
5.71185593,0.00048764,0.00000487,0.00000001,0.00000033,0.00017908,0.00005360,0.00022066
5.71785893,0.00036031,0.00000326,0.00000001,0.00000022,0.00013244,0.00003914,0.00016309
5.72386193,0.00026447,0.00000217,0.00000000,0.00000014,0.00009728,0.00002842,0.00011974
5.72986493,0.00019283,0.00000143,0.00000000,0.00000009,0.00007098,0.00002053,0.00008733
5.73586793,0.00013966,0.00000094,0.00000000,0.00000006,0.00005144,0.00001474,0.00006326
5.74187094,0.00010047,0.00000061,0.00000000,0.00000004,0.00003702,0.00001052,0.00004552
