energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,S_s_up,S_p_up,V_p_up,V_d_up
1.62381191,1.29073752,0.00575955,0.06789756,0.08810906,0.00723351,0.00273469,0.21172871,0.35317676,0.96749438
1.62981491,1.22650509,0.00545864,0.06682019,0.08397706,0.00692306,0.00255702,0.19725882,0.33374734,0.91942636
1.63581791,1.16561886,0.00516061,0.06610237,0.08005362,0.00665033,0.00239981,0.18334985,0.31512624,0.87353255
1.64182091,1.10877242,0.00487108,0.06572547,0.07638370,0.00641511,0.00226440,0.17010019,0.29749273,0.83041144
1.64782391,1.05659122,0.00459586,0.06566496,0.07300753,0.00621678,0.00215235,0.15760305,0.28100865,0.79060622
1.65382691,1.00961317,0.00434077,0.06589015,0.06995939,0.00605423,0.00206544,0.14594354,0.26581373,0.75458931
1.65982991,0.96827206,0.00411155,0.06636435,0.06726657,0.00592587,0.00200554,0.13519587,0.25202166,0.72274925
1.66583292,0.93288479,0.00391369,0.06704514,0.06494872,0.00582958,0.00197463,0.12542101,0.23971712,0.69538055
1.67183592,0.90364275,0.00375230,0.06788504,0.06301730,0.00576275,0.00197467,0.11666474,0.22895394,0.67267698
1.67783892,0.88060790,0.00363197,0.06883244,0.06147552,0.00572234,0.00200756,0.10895622,0.21975441,0.65472848
1.68384192,0.86371353,0.00355669,0.06983276,0.06031840,0.00570487,0.00207503,0.10230727,0.21210980,0.64152171
1.68984492,0.85276950,0.00352974,0.07082989,0.05953327,0.00570658,0.00217856,0.09671212,0.20598215,0.63294409
1.69584792,0.84747187,0.00355360,0.07176779,0.05910036,0.00572344,0.00231933,0.09214785,0.20130698,0.62879119
1.70185093,0.84741606,0.00362986,0.07259211,0.05899366,0.00575133,0.00249810,0.08857537,0.19799712,0.62877688
1.70785393,0.85211326,0.00375922,0.07325196,0.05918193,0.00578612,0.00271513,0.08594088,0.19594725,0.63254590
1.71385693,0.86100910,0.00394138,0.07370146,0.05962974,0.00582380,0.00297016,0.08417776,0.19503904,0.63968822
1.71985993,0.87350398,0.00417509,0.07390128,0.06029867,0.00586059,0.00326232,0.08320882,0.19514674,0.64975463
1.72586293,0.88897428,0.00445811,0.07381986,0.06114834,0.00589305,0.00359013,0.08294878,0.19614291,0.66227310
1.73186593,0.90679365,0.00478724,0.07343438,0.06213756,0.00591817,0.00395144,0.08330697,0.19790425,0.67676509
1.73786893,0.92635383,0.00515841,0.07273143,0.06322535,0.00593348,0.00434351,0.08419005,0.20031713,0.69276167
1.74387194,0.94708423,0.00556669,0.07170725,0.06437182,0.00593704,0.00476298,0.08550477,0.20328290,0.70981863
1.74987494,0.96847000,0.00600647,0.07036766,0.06553904,0.00592756,0.00520598,0.08716071,0.20672259,0.72753048
1.75587794,0.99006783,0.00647155,0.06872765,0.06669174,0.00590436,0.00566819,0.08907275,0.21058107,0.74554288
1.76188094,1.01151947,0.00695528,0.06681053,0.06779795,0.00586738,0.00614502,0.09116349,0.21483043,0.76356313
1.76788394,1.03256237,0.00745079,0.06464694,0.06882953,0.00581714,0.00663164,0.09336536,0.21947246,0.78136876
1.77388694,1.05303747,0.00795115,0.06227356,0.06976256,0.00575473,0.00712325,0.09562237,0.22454025,0.79881375
