energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Li_s_up,Se_s_up,Se_p_up
-5.20160080,0.48517180,0.02456324,0.00317254,0.17558247,0.08519364,0.06228344,0.00679088,0.24002190
-5.19559780,0.47301114,0.02500871,0.00304738,0.17254909,0.08098560,0.05470339,0.00676211,0.23579113
-5.18959480,0.46501245,0.02563073,0.00297667,0.17098094,0.07758226,0.04783405,0.00678702,0.23351685
-5.18359180,0.46094659,0.02641083,0.00296691,0.17079499,0.07495922,0.04167270,0.00686112,0.23306275
-5.17758879,0.46050570,0.02732670,0.00302566,0.17188032,0.07307838,0.03620494,0.00697883,0.23425110
-5.17158579,0.46332000,0.02835302,0.00316190,0.17410448,0.07189106,0.03140673,0.00713370,0.23687067
-5.16558279,0.46897681,0.02946233,0.00338639,0.17732080,0.07134133,0.02724657,0.00731862,0.24068584
-5.15957979,0.47704134,0.03062619,0.00371207,0.18137637,0.07136975,0.02368783,0.00752616,0.24544652
-5.15357679,0.48707819,0.03181625,0.00415445,0.18612025,0.07191698,0.02069091,0.00774883,0.25089866
-5.14757379,0.49867298,0.03300548,0.00473199,0.19141192,0.07292745,0.01821537,0.00797937,0.25679474
-5.14157079,0.51145302,0.03416931,0.00546639,0.19712931,0.07435274,0.01622187,0.00821108,0.26290413
-5.13556778,0.52510644,0.03528671,0.00638288,0.20317636,0.07615466,0.01467383,0.00843806,0.26902255
-5.12956478,0.53939877,0.03634122,0.00751036,0.20948957,0.07830777,0.01353890,0.00865544,0.27498068
-5.12356178,0.55418643,0.03732171,0.00888147,0.21604354,0.08080135,0.01279011,0.00885959,0.28065123
-5.11755878,0.56942644,0.03822303,0.01053249,0.22285490,0.08364073,0.01240679,0.00904827,0.28595437
-5.11155578,0.58518177,0.03904639,0.01250312,0.22998470,0.08684776,0.01237517,0.00922065,0.29086119
-5.10555278,0.60162214,0.03979948,0.01483602,0.23753894,0.09046054,0.01268870,0.00937742,0.29539511
-5.09954977,0.61901991,0.04049629,0.01757621,0.24566718,0.09453234,0.01334813,0.00952063,0.29963111
-5.09354677,0.63774120,0.04115672,0.02077018,0.25455913,0.09912960,0.01436131,0.00965365,0.30369269
-5.08754377,0.65823228,0.04180582,0.02446488,0.26443942,0.10432926,0.01574278,0.00978090,0.30774686
-5.08154077,0.68100175,0.04247288,0.02870642,0.27556040,0.11021535,0.01751306,0.00990769,0.31199712
-5.07553777,0.70659902,0.04319025,0.03353860,0.28819338,0.11687492,0.01969776,0.01003986,0.31667480
-5.06953477,0.73558980,0.04399202,0.03900124,0.30261847,0.12439362,0.02232647,0.01018350,0.32202909
-5.06353177,0.76852952,0.04491255,0.04512845,0.31911326,0.13285087,0.02543143,0.01034454,0.32831608
-5.05752876,0.80593570,0.04598504,0.05194670,0.33794090,0.14231497,0.02904604,0.01052848,0.33578730
-5.05152576,0.84826024,0.04723996,0.05947292,0.35933771,0.15283826,0.03320315,0.01073999,0.34467816
-5.04552276,0.89586288,0.04870371,0.06771263,0.38350107,0.16445258,0.03793327,0.01098262,0.35519680
-5.03951976,0.94898675,0.05039728,0.07665819,0.41057769,0.17716515,0.04326262,0.01125854,0.36751368
-5.03351676,1.00773709,0.05233517,0.08628719,0.44065302,0.19095514,0.04921116,0.01156834,0.38175244
-5.02751376,1.07206402,0.05452451,0.09656118,0.47374193,0.20577112,0.05579055,0.01191088,0.39798228
-5.02151076,1.14175020,0.05696445,0.10742465,0.50978125,0.22152934,0.06300222,0.01228323,0.41621209
-5.01550775,1.21640378,0.05964581,0.11880458,0.54862434,0.23811320,0.07083551,0.01268075,0.43638678
-5.00950475,1.29545719,0.06255106,0.13061031,0.59003806,0.25537383,0.07926605,0.01309711,0.45838557
-5.00350175,1.37817182,0.06565457,0.14273405,0.63370229,0.27313177,0.08825437,0.01352456,0.48202263
-4.99749875,1.46364864,0.06892312,0.15505194,0.67921211,0.29117981,0.09774492,0.01395413,0.50704979
-4.99149575,1.55084433,0.07231667,0.16742564,0.72608269,0.30928694,0.10766553,0.01437596,0.53316135
-4.98549275,1.63859261,0.07578937,0.17970453,0.77375684,0.32720314,0.11792736,0.01477969,0.56000080
-4.97948974,1.72563011,0.07929072,0.19172847,0.82161515,0.34466507,0.12842551,0.01515484,0.58716910
-4.97348674,1.81062589,0.08276687,0.20333095,0.86898833,0.36140231,0.13904017,0.01549117,0.61423448
-4.96748374,1.89221381,0.08616198,0.21434273,0.91517170,0.37714403,0.14963850,0.01577917,0.64074325
-4.96148074,1.96902669,0.08941969,0.22459573,0.95944125,0.39162589,0.16007709,0.01601034,0.66623138
-4.95547774,2.03973130,0.09248455,0.23392713,1.00107102,0.40459685,0.17020511,0.01617761,0.69023659
-4.94947474,2.10306307,0.09530337,0.24218349,1.03935115,0.41582576,0.17986793,0.01627560,0.71231040
-4.94347174,2.15785943,0.09782661,0.24922480,1.07360622,0.42510743,0.18891122,0.01630083,0.73203014
-4.93746873,2.20309095,0.10000956,0.25492833,1.10321325,0.43226813,0.19718533,0.01625192,0.74901024
-4.93146573,2.23788916,0.10181347,0.25919203,1.12761879,0.43717012,0.20454989,0.01612966,0.76291278
-4.92546273,2.26157037,0.10320650,0.26193757,1.14635458,0.43971531,0.21087831,0.01593701,0.77345684
-4.91945973,2.27365474,0.10416451,0.26311259,1.15905122,0.43984777,0.21606212,0.01567908,0.78042649
-4.91345673,2.27387993,0.10467170,0.26269239,1.16544933,0.43755513,0.22001489,0.01536299,0.78367713
-4.90745373,2.26220904,0.10472103,0.26068073,1.16540781,0.43286870,0.22267558,0.01499766,0.78314002
-4.90145073,2.23883248,0.10431447,0.25710993,1.15890887,0.42586256,0.22401109,0.01459362,0.77882476
-4.89544772,2.20416369,0.10346304,0.25203999,1.14605954,0.41665133,0.22401800,0.01416271,0.77081974
-4.88944472,2.15882876,0.10218660,0.24555706,1.12708956,0.40538705,0.22272319,0.01371778,0.75929035
-4.88344172,2.10365028,0.10051347,0.23777102,1.10234564,0.39225498,0.22018355,0.01327234,0.74447505
-4.87743872,2.03962580,0.09847981,0.22881249,1.07228228,0.37746869,0.21648448,0.01284021,0.72667933
-4.87143572,1.96790151,0.09612876,0.21882926,1.03744938,0.36126446,0.21173741,0.01243518,0.70626759
-4.86543272,1.88974190,0.09350940,0.20798228,0.99847697,0.34389518,0.20607636,0.01207065,0.68365330
-4.85942971,1.80649643,0.09067554,0.19644139,0.95605775,0.32562406,0.19965366,0.01175923,0.65928756
-4.85342671,1.71956398,0.08768427,0.18438095,0.91092785,0.30671823,0.19263501,0.01151249,0.63364648
-4.84742371,1.63035647,0.08459445,0.17197551,0.86384660,0.28744242,0.18519406,0.01134053,0.60721774
-4.84142071,1.54026260,0.08146507,0.15939563,0.81557600,0.26805297,0.17750673,0.01125178,0.58048666
-4.83541771,1.45061298,0.07835355,0.14680407,0.76686057,0.24879239,0.16974557,0.01125265,0.55392243
-4.82941471,1.36264762,0.07531413,0.13435246,0.71840840,0.22988443,0.16207426,0.01134736,0.52796484
-4.82341171,1.27748707,0.07239624,0.12217842,0.67087384,0.21152997,0.15464260,0.01153769,0.50301203
-4.81740870,1.19610777,0.06964304,0.11040335,0.62484266,0.19390376,0.14758204,0.01182289,0.47940963
-4.81140570,1.11932272,0.06709018,0.09913091,0.58081990,0.17715207,0.14100209,0.01219959,0.45744185
-4.80540270,1.04776772,0.06476477,0.08844604,0.53922093,0.16139128,0.13498757,0.01266175,0.43732472
-4.79939970,0.98189374,0.06268466,0.07841469,0.50036581,0.14670738,0.12959691,0.01320076,0.41920167
-4.79339670,0.92196538,0.06085804,0.06908415,0.46447705,0.13315640,0.12486147,0.01380553,0.40314190
-4.78739370,0.86806543,0.05928342,0.06048388,0.43168076,0.12076566,0.12078588,0.01446273,0.38914120
-4.78139070,0.82010505,0.05794995,0.05262674,0.40201080,0.10953577,0.11734939,0.01515708,0.37712545
-4.77538769,0.77783911,0.05683807,0.04551069,0.37541591,0.09944323,0.11450814,0.01587170,0.36695661
-4.76938469,0.74088594,0.05592057,0.03912061,0.35176904,0.09044353,0.11219814,0.01658853,0.35844070
-4.76338169,0.70875056,0.05516379,0.03343038,0.33087870,0.08247458,0.11033892,0.01728886,0.35133777
-4.75737869,0.68085041,0.05452924,0.02840497,0.31250163,0.07546043,0.10883768,0.01795380,0.34537310
-4.75137569,0.65654256,0.05397521,0.02400257,0.29635623,0.06931494,0.10759358,0.01856492,0.34024943
-4.74537269,0.63515123,0.05345855,0.02017651,0.28213623,0.06394548,0.10650224,0.01910472,0.33565947
-4.73936968,0.61599468,0.05293652,0.01687722,0.26952412,0.05925644,0.10546009,0.01955726,0.33129835
-4.73336668,0.59841042,0.05236846,0.01405381,0.25820366,0.05515237,0.10436839,0.01990860,0.32687542
-4.72736368,0.58177788,0.05171740,0.01165555,0.24787131,0.05154087,0.10313693,0.02014728,0.32212497
-4.72136068,0.56553785,0.05095149,0.00963308,0.23824602,0.04833499,0.10168712,0.02026470,0.31681544
-4.71535768,0.54920821,0.05004510,0.00793934,0.22907725,0.04545512,0.09995439,0.02025535,0.31075692
-4.70935468,0.53239541,0.04897969,0.00653032,0.22015110,0.04283049,0.09788999,0.02011703,0.30380655
-4.70335168,0.51480179,0.04774433,0.00536559,0.21129432,0.04040008,0.09546196,0.01985088,0.29587185
-4.69734867,0.49622861,0.04633594,0.00440859,0.20237642,0.03811314,0.09265542,0.01946132,0.28691186
-4.69134567,0.47657507,0.04475913,0.00362678,0.19330996,0.03592926,0.08947214,0.01895587,0.27693628
-4.68534267,0.45583372,0.04302584,0.00299166,0.18404907,0.03381803,0.08592954,0.01834494,0.26600268
-4.67933967,0.43408277,0.04115467,0.00247869,0.17458662,0.03175847,0.08205910,0.01764139,0.25421209
-4.67333667,0.41147590,0.03916996,0.00206705,0.16495026,0.02973807,0.07790441,0.01686018,0.24170331
-4.66733367,0.38823026,0.03710083,0.00173949,0.15519757,0.02775182,0.07351890,0.01601784,0.22864620
-4.66133067,0.36461339,0.03497998,0.00148200,0.14541076,0.02580100,0.06896341,0.01513204,0.21523445
-4.65532766,0.34092970,0.03284256,0.00128354,0.13569112,0.02389198,0.06430372,0.01422100,0.20167807
-4.64932466,0.31750714,0.03072496,0.00113581,0.12615355,0.02203505,0.05960817,0.01330309,0.18819607
-4.64332166,0.29468478,0.02866373,0.00103295,0.11692145,0.02024324,0.05494545,0.01239632,0.17500958
-4.63731866,0.27280145,0.02669459,0.00097134,0.10812204,0.01853136,0.05038262,0.01151796,0.16233559
-4.63131566,0.25218618,0.02485152,0.00094938,0.09988242,0.01691506,0.04598354,0.01068421,0.15038172
-4.62531266,0.23315026,0.02316609,0.00096736,0.09232631,0.01541011,0.04180754,0.00990993,0.13934185
-4.61930965,0.21598131,0.02166686,0.00102725,0.08557162,0.01403185,0.03790859,0.00920842,0.12939299
-4.61330665,0.20093920,0.02037907,0.00113265,0.07972875,0.01279473,0.03433476,0.00859134,0.12069305
-4.60730365,0.18825367,0.01932433,0.00128868,0.07489956,0.01171208,0.03112800,0.00806862,0.11337969
-4.60130065,0.17812345,0.01852059,0.00150183,0.07117693,0.01079592,0.02832431,0.00764846,0.10756999
-4.59529765,0.17071661,0.01798215,0.00177993,0.06864480,0.01005695,0.02595402,0.00733739,0.10336078
-4.58929465,0.16617167,0.01771974,0.00213200,0.06737840,0.00950457,0.02404234,0.00714035,0.10082952
-4.58329165,0.16459926,0.01774072,0.00256812,0.06744461,0.00914696,0.02260987,0.00706077,0.10003538
-4.57728864,0.16608383,0.01804924,0.00309925,0.06890231,0.00899112,0.02167327,0.00710070,0.10102044
-4.57128564,0.17068512,0.01864641,0.00373699,0.07180244,0.00904302,0.02124572,0.00726089,0.10381079
-4.56528264,0.17843903,0.01953048,0.00449332,0.07618770,0.00930754,0.02133738,0.00754088,0.10841724
-4.55927964,0.18935781,0.02069693,0.00538023,0.08209186,0.00978849,0.02195560,0.00793906,0.11483573
-4.55327664,0.20342922,0.02213847,0.00640934,0.08953849,0.01048850,0.02310494,0.00845270,0.12304716
-4.54727364,0.22061477,0.02384506,0.00759141,0.09853918,0.01140881,0.02478698,0.00907794,0.13301669
-4.54127064,0.24084692,0.02580378,0.00893580,0.10909125,0.01254903,0.02699990,0.00980975,0.14469253
-4.53526763,0.26402561,0.02799870,0.01044996,0.12117509,0.01390680,0.02973784,0.01064188,0.15800428
-4.52926463,0.29001405,0.03041068,0.01213879,0.13475121,0.01547742,0.03299006,0.01156680,0.17286096
-4.52326163,0.31863440,0.03301717,0.01400409,0.14975713,0.01725340,0.03674007,0.01257555,0.18914893
-4.51725863,0.34966348,0.03579203,0.01604399,0.16610448,0.01922409,0.04096458,0.01365774,0.20672978
-4.51125563,0.38282912,0.03870543,0.01825244,0.18367645,0.02137530,0.04563257,0.01480145,0.22543866
-4.50525263,0.41780748,0.04172375,0.02061883,0.20232575,0.02368895,0.05070444,0.01599319,0.24508307
-4.49924962,0.45422188,0.04480969,0.02312768,0.22187358,0.02614288,0.05613132,0.01721793,0.26544251
-4.49324662,0.49164352,0.04792244,0.02575855,0.24210960,0.02871083,0.06185470,0.01845923,0.28626908
