energy_ev,total_up,Al_p_up,Al_d_up,Nb_p_up,Nb_d_up,Se_s_up,Se_p_up
0.68734367,3.69916782,0.66702415,0.00000000,2.13734652,2.85583160,0.04809935,0.57707183
0.69334667,3.97287253,0.73431504,0.00000000,2.35454418,3.06130237,0.05214889,0.61958494
0.69934967,4.25378120,0.80300187,0.00000000,2.57734915,3.27327823,0.05620718,0.66331809
0.70535268,4.53943801,0.87227164,0.00000000,2.80331038,3.49013834,0.06021870,0.70790325
0.71135568,4.82698014,0.94123297,0.00000000,3.02970961,3.70993285,0.06412414,0.75290625
0.71735868,5.11318303,1.00893504,0.00000000,3.25361676,3.93040844,0.06786186,0.79783321
0.72336168,5.39452509,1.07439012,0.00000000,3.47195701,4.14904935,0.07136952,0.84214016
0.72936468,5.66727010,1.13659881,0.00000000,3.68158749,4.36313295,0.07458582,0.88524549
0.73536768,5.92756449,1.19457728,0.00000000,3.87938096,4.56979816,0.07745240,0.92654500
0.74137069,6.17154575,1.24738525,0.00000000,4.06231318,4.76612393,0.07991560,0.96542874
0.74737369,6.39545733,1.29415372,0.00000000,4.22755039,4.94921465,0.08192828,1.00129919
0.75337669,6.59576492,1.33411117,0.00000000,4.37253319,5.11628847,0.08345134,1.03358969
0.75937969,6.76926835,1.36660710,0.00000000,4.49505296,5.26476440,0.08445509,1.06178243
0.76538269,6.91320409,1.39113186,0.00000000,4.59331747,5.39234390,0.08492022,1.08542513
0.77138569,7.02533291,1.40733179,0.00000000,4.66600244,5.49708307,0.08483853,1.10414542
0.77738869,7.10400865,1.41501907,0.00000000,4.71228692,5.57745162,0.08421312,1.11766241
0.78339170,7.14822469,1.41417573,0.00000000,4.73187059,5.63237603,0.08305833,1.12579476
0.78939470,7.15763590,1.40495179,0.00000000,4.72497260,5.66126478,0.08139913,1.12846490
0.79539770,7.13255554,1.38765754,0.00000000,4.69231195,5.66401465,0.07927031,1.12569934
0.80140070,7.07392748,1.36275045,0.00000000,4.63507075,5.64099845,0.07671514,1.11762492
0.80740370,6.98327590,1.33081745,0.00000000,4.55484246,5.59303505,0.07378398,1.10446155
0.81340670,6.86263552,1.29255327,0.00000000,4.45356764,5.52134408,0.07053254,1.08651168
0.81940970,6.71446653,1.24873623,0.00000000,4.33346093,5.42748818,0.06702007,1.06414729
0.82541271,6.54155908,1.20020230,0.00000000,4.19693253,5.31330624,0.06330759,1.03779508
0.83141571,6.34693238,1.14781882,0.00000000,4.04650830,5.18084167,0.05945602,1.00792065
0.83741871,6.13373374,1.09245899,0.00000000,3.88475193,5.03226948,0.05552460,0.97501265
0.84342171,5.90514242,1.03497813,0.00000000,3.71419260,4.86982605,0.05156935,0.93956743
0.84942471,5.66428239,0.97619259,0.00000000,3.53726104,4.69574481,0.04764182,0.90207511
0.85542771,5.41414771,0.91686204,0.00000000,3.35623594,4.51220066,0.04378814,0.86300755
0.86143072,5.15754273,0.85767560,0.00000000,3.17320246,4.32126497,0.04004826,0.82280852
