energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Ir_p_up,Ir_d_up,S_s_up,S_p_up
-5.65182591,5.32156855,0.00592866,0.63926283,0.97136944,0.42609092,1.08575927,1.41594571,0.12146343,2.04422623
-5.64582291,5.26096133,0.00595120,0.62614943,0.97505642,0.43044190,1.05449334,1.40462809,0.11587865,2.02193557
-5.63981991,5.19291281,0.00596949,0.61226407,0.97522497,0.43398660,1.02260678,1.38983251,0.11059747,1.99768837
-5.63381691,5.11671206,0.00598108,0.59771917,0.97169519,0.43653565,0.99035319,1.37148115,0.10560705,1.97097746
-5.62781391,5.03179863,0.00598358,0.58265865,0.96434214,0.43790934,0.95802427,1.34958499,0.10088597,1.94131043
-5.62181091,4.93781801,0.00597471,0.56726094,0.95310228,0.43794452,0.92595557,1.32425347,0.09640638,1.90823709
-5.61580790,4.83466976,0.00595235,0.55174100,0.93797801,0.43650109,0.89453111,1.29570079,0.09213617,1.87137502
-5.60980490,4.72254623,0.00591467,0.53635125,0.91904027,0.43346777,0.86418630,1.26424888,0.08804118,1.83043205
-5.60380190,4.60195995,0.00586015,0.52138107,0.89642905,0.42876690,0.83540886,1.23032658,0.08408717,1.78522491
-5.59779890,4.47375855,0.00578770,0.50715505,0.87035171,0.42235816,0.80873756,1.19446533,0.08024165,1.73569316
-5.59179590,4.33912664,0.00569664,0.49402969,0.84107943,0.41424094,0.78475871,1.15729126,0.07647538,1.68190805
-5.58579290,4.19957452,0.00558683,0.48238875,0.80894163,0.40445538,0.76410006,1.11951420,0.07276360,1.62407601
-5.57978989,4.05691412,0.00545860,0.47263714,0.77431898,0.39308193,0.74742246,1.08191382,0.06908689,1.56253696
-5.57378689,3.91322333,0.00531281,0.46519360,0.73763495,0.38023963,0.73540909,1.04532351,0.06543170,1.49775748
-5.56778389,3.77079989,0.00515083,0.46048205,0.69934660,0.36608304,0.72875250,1.01061244,0.06179051,1.43031955
-5.56178089,3.63210674,0.00497449,0.45892205,0.65993460,0.35079799,0.72813976,0.97866636,0.05816174,1.36090532
-5.55577789,3.49971082,0.00478602,0.46091837,0.61989321,0.33459647,0.73423585,0.95036789,0.05454935,1.29027876
-5.54977489,3.37621747,0.00458799,0.46685005,0.57972027,0.31771072,0.74766580,0.92657660,0.05096224,1.21926509
