energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-4.94947474,9.24292953,0.63473795,0.58895487,0.01070979,0.59174955,4.94293456,3.72885061,0.05704332,5.05839977
-4.94347174,9.28774378,0.62857752,0.59067931,0.01038879,0.59949456,5.00274357,3.73878733,0.05732682,5.08930873
-4.93746873,9.31129048,0.62118645,0.59098574,0.01006667,0.60573871,5.05231999,3.73858845,0.05755309,5.10897764
-4.93146573,9.31259363,0.61262625,0.58988148,0.00974149,0.61044112,5.09098224,3.72780372,0.05771586,5.11677592
-4.92546273,9.29121775,0.60298736,0.58740824,0.00941204,0.61359526,5.11825961,3.70624807,0.05781072,5.11236076
-4.91945973,9.24726758,0.59238771,0.58364109,0.00907785,0.61522898,5.13389718,3.67400001,0.05783511,5.09567827
-4.91345673,9.18136812,0.58097021,0.57868640,0.00873908,0.61540369,5.13785362,3.63139046,0.05778819,5.06695409
-4.90745373,9.09462683,0.56889931,0.57267881,0.00839648,0.61421265,5.13029241,3.57898266,0.05767075,5.02667434
-4.90145073,8.98858024,0.55635670,0.56577746,0.00805127,0.61177842,5.11156729,3.51754450,0.05748494,4.97555812
-4.89544772,8.86512818,0.54353651,0.55816147,0.00770501,0.60824981,5.08220288,3.44801489,0.05723406,4.91452315
-4.88944472,8.72645908,0.53064012,0.55002510,0.00735956,0.60379821,5.04287170,3.37146570,0.05692234,4.84464657
-4.88344172,8.57497006,0.51787094,0.54157256,0.00701691,0.59861366,4.99436860,3.28906152,0.05655462,4.76712269
-4.87743872,8.41318575,0.50542925,0.53301286,0.00667912,0.59290076,4.93758406,3.20201889,0.05613620,4.68321984
-4.87143572,8.24367943,0.49350756,0.52455472,0.00634824,0.58687447,4.87347727,3.11156708,0.05567262,4.59423828
-4.86543272,8.06899979,0.48228632,0.51640177,0.00602620,0.58075613,4.80305031,3.01891203,0.05516951,4.50147090
-4.85942971,7.89160621,0.47193049,0.50874824,0.00571480,0.57476959,4.72732422,2.92520489,0.05463251,4.40616837
-4.85342671,7.71381481,0.46258674,0.50177508,0.00541563,0.56913775,4.64731780,2.83151631,0.05406726,4.30950987
-4.84742371,7.53775671,0.45438153,0.49564676,0.00513007,0.56407936,4.56402977,2.73881718,0.05347942,4.21258030
-4.84142071,7.36534938,0.44741991,0.49050863,0.00485927,0.55980636,4.47842463,2.64796622,0.05287475,4.11635449
-4.83541771,7.19828100,0.44178510,0.48648495,0.00460418,0.55652151,4.39142235,2.55970430,0.05225929,4.02168843
-4.82941471,7.03800723,0.43753863,0.48367752,0.00436551,0.55441652,4.30389188,2.47465516,0.05163947,3.92931720
-4.82341171,6.88575898,0.43472096,0.48216482,0.00414383,0.55367049,4.21664813,2.39333172,0.05102234,3.83985897
-4.81740870,6.74255937,0.43335246,0.48200173,0.00393954,0.55444859,4.13045195,2.31614690,0.05041575,3.75382413
-4.81140570,6.60924752,0.43343457,0.48321965,0.00375295,0.55690110,4.04601256,2.24342793,0.04982851,3.67162826
-4.80540270,6.48650678,0.43495096,0.48582697,0.00358427,0.56116242,3.96399144,2.17543262,0.04927051,3.59360771
-4.79939970,6.37489465,0.43786867,0.48980992,0.00343370,0.56735032,3.88500710,2.11236630,0.04875282,3.52003631
-4.79339670,6.27487199,0.44213900,0.49513361,0.00330143,0.57556500,3.80963964,2.05439827,0.04828767,3.45114178
