energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Li_s_up,Se_s_up,Se_p_up
2.53626813,0.02069871,0.01938037,0.00015119,0.00000000,0.00234256,0.00108191,0.00186113,0.00205192
2.54227114,0.01708594,0.01600578,0.00012285,0.00000000,0.00192488,0.00089380,0.00153753,0.00169120
2.54827414,0.01400386,0.01312435,0.00009928,0.00000000,0.00157132,0.00073309,0.00126108,0.00138427
2.55427714,0.01139631,0.01068472,0.00007979,0.00000000,0.00127421,0.00059696,0.00102690,0.00112519
2.56028014,0.00920840,0.00863636,0.00006376,0.00000000,0.00102637,0.00048261,0.00083021,0.00090823
2.56628314,0.00738760,0.00693074,0.00005065,0.00000000,0.00082117,0.00038737,0.00066637,0.00072798
2.57228614,0.00588462,0.00552215,0.00004000,0.00000000,0.00065252,0.00030869,0.00053102,0.00057941
2.57828914,0.00465401,0.00436834,0.00003139,0.00000000,0.00051497,0.00024423,0.00042013,0.00045792
2.58429215,0.00365449,0.00343085,0.00002448,0.00000000,0.00040361,0.00019184,0.00033001,0.00035936
2.59029515,0.00284918,0.00267527,0.00001897,0.00000000,0.00031415,0.00014961,0.00025736,0.00028002
2.59629815,0.00220550,0.00207116,0.00001461,0.00000000,0.00024282,0.00011583,0.00019927,0.00021666
2.60230115,0.00169510,0.00159201,0.00001117,0.00000000,0.00018638,0.00008905,0.00015319,0.00016646
2.60830415,0.00129362,0.00121500,0.00000849,0.00000000,0.00014206,0.00006797,0.00011693,0.00012700
2.61430715,0.00098034,0.00092072,0.00000641,0.00000000,0.00010753,0.00005151,0.00008863,0.00009623
2.62031016,0.00073789,0.00069286,0.00000481,0.00000001,0.00008083,0.00003878,0.00006673,0.00007243
2.62631316,0.00055186,0.00051789,0.00000359,0.00000001,0.00006035,0.00002900,0.00004992,0.00005419
2.63231616,0.00041044,0.00038468,0.00000267,0.00000002,0.00004477,0.00002156,0.00003715,0.00004035
2.63831916,0.00030407,0.00028423,0.00000198,0.00000003,0.00003301,0.00001596,0.00002754,0.00002997
2.64432216,0.00022516,0.00020932,0.00000147,0.00000004,0.00002424,0.00001180,0.00002043,0.00002232
2.65032516,0.00016776,0.00015426,0.00000110,0.00000006,0.00001776,0.00000876,0.00001527,0.00001681
2.65632816,0.00012735,0.00011464,0.00000085,0.00000008,0.00001306,0.00000660,0.00001165,0.00001303
2.66233117,0.00010065,0.00008717,0.00000069,0.00000012,0.00000974,0.00000516,0.00000930,0.00001067
2.66833417,0.00008545,0.00006945,0.00000062,0.00000018,0.00000750,0.00000429,0.00000802,0.00000955
2.67433717,0.00008051,0.00005992,0.00000062,0.00000026,0.00000614,0.00000395,0.00000770,0.00000960
2.68034017,0.00008553,0.00005772,0.00000069,0.00000038,0.00000552,0.00000409,0.00000834,0.00001084
2.68634317,0.00010114,0.00006266,0.00000086,0.00000054,0.00000558,0.00000473,0.00001001,0.00001343
2.69234617,0.00012897,0.00007523,0.00000112,0.00000077,0.00000633,0.00000596,0.00001288,0.00001763
2.69834917,0.00017175,0.00009661,0.00000152,0.00000109,0.00000783,0.00000788,0.00001724,0.00002387
