energy_ev,total_up,Pb_p_up,Pb_d_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
3.34667334,0.39110596,0.01990588,0.00000030,0.21010973,0.01817510,0.01570533,0.25998199
3.35267634,0.38582820,0.01728218,0.00000031,0.20339211,0.01781565,0.01560984,0.26730065
3.35867934,0.38393112,0.01515529,0.00000032,0.19765621,0.01761562,0.01568154,0.27671113
3.36468234,0.38536915,0.01347777,0.00000033,0.19295476,0.01757129,0.01591782,0.28818423
3.37068534,0.39004072,0.01220459,0.00000034,0.18931868,0.01767734,0.01631313,0.30163943
3.37668834,0.39778899,0.01129397,0.00000036,0.18675506,0.01792673,0.01685915,0.31694448
3.38269135,0.40840438,0.01070785,0.00000037,0.18524633,0.01831069,0.01754508,0.33391668
3.38869435,0.42162890,0.01041232,0.00000039,0.18475091,0.01881882,0.01835793,0.35232605
3.39469735,0.43716234,0.01037783,0.00000041,0.18520526,0.01943931,0.01928291,0.37190020
3.40070035,0.45467004,0.01057928,0.00000044,0.18652703,0.02015915,0.02030385,0.39233082
3.40670335,0.47379207,0.01099602,0.00000046,0.18861945,0.02096452,0.02140366,0.41328170
3.41270635,0.49415348,0.01161174,0.00000049,0.19137651,0.02184120,0.02256477,0.43439777
3.41870935,0.51537515,0.01241432,0.00000052,0.19468868,0.02277494,0.02376965,0.45531500
3.42471236,0.53708487,0.01339555,0.00000055,0.19844897,0.02375199,0.02500124,0.47567071
3.43071536,0.55892810,0.01455085,0.00000059,0.20255890,0.02475951,0.02624340,0.49511372
3.43671836,0.58057791,0.01587893,0.00000062,0.20693411,0.02578596,0.02748129,0.51331417
3.44272136,0.60174377,0.01738138,0.00000066,0.21150922,0.02682151,0.02870170,0.52997233
3.44872436,0.62217857,0.01906222,0.00000070,0.21624173,0.02785824,0.02989331,0.54482625
3.45472736,0.64168373,0.02092739,0.00000074,0.22111466,0.02889041,0.03104683,0.55765775
3.46073037,0.66011217,0.02298422,0.00000078,0.22613778,0.02991447,0.03215513,0.56829681
3.46673337,0.67736892,0.02524082,0.00000082,0.23134730,0.03092909,0.03321320,0.57662395
3.47273637,0.69340955,0.02770551,0.00000087,0.23680394,0.03193499,0.03421804,0.58257083
3.47873937,0.70823648,0.03038613,0.00000091,0.24258953,0.03293475,0.03516853,0.58611903
3.48474237,0.72189346,0.03328946,0.00000097,0.24880214,0.03393245,0.03606516,0.58729735
3.49074537,0.73445870,0.03642056,0.00000102,0.25555007,0.03493337,0.03690977,0.58617766
3.49674837,0.74603692,0.03978228,0.00000108,0.26294490,0.03594350,0.03770524,0.58286993
3.50275138,0.75675097,0.04337473,0.00000114,0.27109397,0.03696915,0.03845515,0.57751650
3.50875438,0.76673347,0.04719497,0.00000121,0.28009273,0.03801657,0.03916352,0.57028621
3.51475738,0.77611905,0.05123680,0.00000128,0.29001724,0.03909154,0.03983448,0.56136854
3.52076038,0.78503756,0.05549078,0.00000136,0.30091744,0.04019912,0.04047206,0.55096822
3.52676338,0.79360872,0.05994443,0.00000145,0.31281140,0.04134345,0.04108003,0.53930040
3.53276638,0.80193846,0.06458274,0.00000154,0.32568103,0.04252767,0.04166175,0.52658674
3.53876938,0.81011716,0.06938885,0.00000165,0.33946953,0.04375396,0.04222015,0.51305231
3.54477239,0.81821982,0.07434512,0.00000176,0.35408078,0.04502375,0.04275770,0.49892342
3.55077539,0.82630808,0.07943434,0.00000188,0.36938082,0.04633802,0.04327653,0.48442637
3.55677839,0.83443393,0.08464123,0.00000202,0.38520139,0.04769768,0.04377848,0.46978679
3.56278139,0.84264471,0.08995411,0.00000217,0.40134549,0.04910412,0.04426526,0.45522960
3.56878439,0.85098904,0.09536663,0.00000233,0.41759469,0.05055974,0.04473857,0.44097915
3.57478739,0.85952323,0.10087959,0.00000251,0.43371788,0.05206853,0.04520024,0.42725953
3.58079040,0.86831746,0.10650261,0.00000271,0.44948104,0.05363668,0.04565232,0.41429457
3.58679340,0.87746139,0.11225570,0.00000293,0.46465759,0.05527300,0.04609709,0.40230750
3.59279640,0.88706852,0.11817041,0.00000318,0.47903866,0.05698932,0.04653712,0.39151998
3.59879940,0.89727886,0.12429063,0.00000346,0.49244286,0.05880075,0.04697513,0.38215034
3.60480240,0.90825954,0.13067284,0.00000376,0.50472489,0.06072564,0.04741388,0.37441107
3.61080540,0.92020305,0.13738570,0.00000410,0.51578258,0.06278542,0.04785592,0.36850534
3.61680840,0.93332299,0.14450900,0.00000448,0.52556192,0.06500414,0.04830332,0.36462281
3.62281141,0.94784739,0.15213184,0.00000489,0.53405979,0.06740775,0.04875737,0.36293465
3.62881441,0.96400968,0.16035011,0.00000535,0.54132411,0.07002321,0.04921819,0.36358802
3.63481741,0.98203785,0.16926328,0.00000585,0.54745159,0.07287727,0.04968445,0.36670025
3.64082041,1.00214212,0.17897069,0.00000640,0.55258301,0.07599520,0.05015296,0.37235291
3.64682341,1.02450194,0.18956736,0.00000699,0.55689635,0.07939930,0.05061847,0.38058616
3.65282641,1.04925296,0.20113954,0.00000764,0.56059823,0.08310745,0.05107348,0.39139358
3.65882941,1.07647487,0.21376035,0.00000833,0.56391408,0.08713165,0.05150813,0.40471798
3.66483242,1.10618085,0.22748557,0.00000908,0.56707763,0.09147666,0.05191028,0.42044831
3.67083542,1.13830957,0.24234988,0.00000987,0.57032042,0.09613893,0.05226567,0.43841809
3.67683842,1.17272025,0.25836395,0.00001071,0.57386185,0.10110574,0.05255828,0.45840561
3.68284142,1.20919148,0.27551231,0.00001159,0.57790038,0.10635470,0.05277072,0.48013598
3.68884442,1.24742408,0.29375248,0.00001252,0.58260644,0.11185378,0.05288490,0.50328526
3.69484742,1.28704818,0.31301518,0.00001348,0.58811724,0.11756160,0.05288262,0.52748661
3.70085043,1.32763430,0.33320594,0.00001449,0.59453402,0.12342837,0.05274637,0.55233837
3.70685343,1.36870813,0.35420786,0.00001552,0.60192145,0.12939714,0.05246010,0.57741395
3.71285643,1.40976828,0.37588548,0.00001659,0.61030941,0.13540553,0.05200994,0.60227318
3.71885943,1.45030618,0.39808955,0.00001769,0.61969670,0.14138766,0.05138498,0.62647474
3.72486243,1.48982698,0.42066244,0.00001881,0.63005628,0.14727649,0.05057781,0.64958918
3.73086543,1.52787027,0.44344375,0.00001997,0.64134173,0.15300606,0.04958508,0.67121200
3.73686843,1.56402948,0.46627591,0.00002115,0.65349399,0.15851387,0.04840780,0.69097622
3.74287144,1.59796847,0.48900917,0.00002236,0.66644814,0.16374301,0.04705150,0.70856384
3.74887444,1.62943441,0.51150581,0.00002360,0.68013924,0.16864404,0.04552621,0.72371555
3.75487744,1.65826596,0.53364311,0.00002487,0.69450698,0.17317646,0.04384622,0.73623830
3.76088044,1.68439592,0.55531493,0.00002619,0.70949846,0.17730968,0.04202968,0.74601019
3.76688344,1.70784823,0.57643158,0.00002754,0.72506892,0.18102344,0.04009804,0.75298250
3.77288644,1.72872905,0.59691819,0.00002894,0.74118021,0.18430763,0.03807535,0.75717856
3.77888944,1.74721255,0.61671152,0.00003038,0.75779712,0.18716152,0.03598748,0.75868955
3.78489245,1.76352192,0.63575533,0.00003186,0.77488173,0.18959246,0.03386124,0.75766752
3.79089545,1.77790684,0.65399500,0.00003339,0.79238622,0.19161415,0.03172354,0.75431564
3.79689845,1.79061866,0.67137137,0.00003495,0.81024477,0.19324450,0.02960054,0.74887652
3.80290145,1.80188485,0.68781471,0.00003655,0.82836505,0.19450340,0.02751683,0.74161904
3.80890445,1.81188442,0.70323912,0.00003817,0.84662032,0.19541034,0.02549480,0.73282432
3.81490745,1.82072588,0.71753793,0.00003980,0.86484261,0.19598222,0.02355399,0.72277174
3.82091046,1.82842928,0.73058067,0.00004142,0.88281793,0.19623141,0.02171074,0.71172567
3.82691346,1.83491362,0.74221181,0.00004301,0.90028394,0.19616426,0.01997782,0.69992359
3.83291646,1.83999068,0.75225182,0.00004455,0.91693062,0.19578004,0.01836437,0.68756627
3.83891946,1.84336577,0.76050037,0.00004601,0.93240428,0.19507060,0.01687587,0.67481054
3.84492246,1.84464565,0.76674180,0.00004736,0.94631481,0.19402056,0.01551430,0.66176483
3.85092546,1.84335326,0.77075267,0.00004858,0.95824609,0.19260819,0.01427842,0.64848788
3.85692846,1.83894867,0.77231093,0.00004963,0.96776915,0.19080682,0.01316414,0.63499038
3.86293147,1.83085496,0.77120622,0.00005050,0.97445746,0.18858676,0.01216494,0.62123947
3.86893447,1.81848774,0.76725089,0.00005115,0.97790362,0.18591753,0.01127237,0.60716568
3.87493747,1.80128652,0.76029076,0.00005156,0.97773652,0.18277037,0.01047658,0.59267186
3.88094047,1.77874625,0.75021531,0.00005171,0.97363804,0.17912071,0.00976679,0.57764345
3.88694347,1.75044713,0.73696638,0.00005158,0.96535838,0.17495060,0.00913183,0.56195940
3.89294647,1.71608103,0.72054502,0.00005118,0.95272917,0.17025082,0.00856055,0.54550318
3.89894947,1.67547312,0.70101588,0.00005049,0.93567350,0.16502262,0.00804225,0.52817310
3.90495248,1.62859737,0.67850907,0.00004952,0.91421245,0.15927893,0.00756696,0.50989140
3.91095548,1.57558529,0.65321903,0.00004828,0.88846767,0.15304500,0.00712574,0.49061171
3.91695848,1.51672748,0.62540082,0.00004678,0.85865980,0.14635839,0.00671085,0.47032436
3.92296148,1.45246793,0.59536366,0.00004505,0.82510297,0.13926843,0.00631583,0.44905946
3.92896448,1.38339174,0.56346239,0.00004310,0.78819564,0.13183504,0.00593562,0.42688769
3.93496748,1.31020682,0.53008699,0.00004098,0.74840816,0.12412707,0.00556644,0.40391881
3.94097049,1.23372088,0.49565105,0.00003871,0.70626802,0.11622027,0.00520582,0.38029809
3.94697349,1.15481500,0.46057942,0.00003632,0.66234318,0.10819496,0.00485241,0.35620117
3.95297649,1.07441513,0.42529597,0.00003386,0.61722475,0.10013359,0.00450589,0.33182743
3.95897949,0.99346321,0.39021179,0.00003135,0.57150945,0.09211824,0.00416681,0.30739266
3.96498249,0.91288914,0.35571451,0.00002883,0.52578310,0.08422829,0.00383640,0.28312129
3.97098549,0.83358508,0.32215907,0.00002634,0.48060542,0.07653824,0.00351647,0.25923861
3.97698849,0.75638293,0.28986026,0.00002390,0.43649715,0.06911587,0.00320918,0.23596365
3.98299150,0.68203618,0.25908731,0.00002155,0.39392963,0.06202082,0.00291699,0.21350274
3.98899450,0.61120629,0.23006056,0.00001929,0.35331733,0.05530350,0.00264252,0.19204426
3.99499750,0.54445417,0.20295016,0.00001716,0.31501335,0.04900451,0.00238849,0.17175473
4.00100050,0.48223664,0.17787677,0.00001517,0.27930790,0.04315445,0.00215765,0.15277626
4.00700350,0.42490757,0.15491393,0.00001332,0.24642957,0.03777416,0.00195279,0.13522541
4.01300650,0.37272327,0.13409197,0.00001163,0.21654902,0.03287527,0.00177676,0.11919344
4.01900950,0.32585153,0.11540302,0.00001010,0.18978485,0.02846109,0.00163245,0.10474774
4.02501251,0.28438341,0.09880695,0.00000874,0.16621092,0.02452770,0.00152292,0.09193424
4.03101551,0.24834709,0.08423771,0.00000753,0.14586488,0.02106524,0.00145137,0.08078065
4.03701851,0.21772278,0.07161001,0.00000649,0.12875722,0.01805928,0.00142131,0.07130016
4.04302151,0.19245794,0.06082590,0.00000560,0.11488033,0.01549214,0.00143656,0.06349540
4.04902451,0.17248203,0.05178104,0.00000486,0.10421721,0.01334435,0.00150132,0.05736238
4.05502751,0.15771998,0.04437058,0.00000426,0.09674924,0.01159584,0.00162025,0.05289418
4.06103052,0.14810388,0.03849435,0.00000381,0.09246284,0.01022712,0.00179846,0.05008413
4.06703352,0.14358238,0.03406143,0.00000349,0.09135453,0.00922028,0.00204154,0.04892834
4.07303652,0.14412745,0.03099391,0.00000331,0.09343435,0.00855981,0.00235547,0.04942743
4.07903952,0.14973818,0.02922990,0.00000326,0.09872740,0.00823319,0.00274662,0.05158731
4.08504252,0.16044166,0.02872576,0.00000334,0.10727347,0.00823134,0.00322155,0.05541908
4.09104552,0.17629085,0.02945759,0.00000355,0.11912487,0.00854884,0.00378694,0.06093786
4.09704852,0.19735957,0.03142196,0.00000391,0.13434247,0.00918392,0.00444933,0.06816077
4.10305153,0.22373489,0.03463600,0.00000440,0.15299015,0.01013832,0.00521491,0.07710403
4.10905453,0.25550723,0.03913683,0.00000505,0.17512793,0.01141693,0.00608925,0.08777936
4.11505753,0.29275861,0.04498031,0.00000585,0.20080415,0.01302726,0.00707703,0.10018979
4.12106053,0.33554946,0.05223928,0.00000683,0.23004683,0.01497882,0.00818171,0.11432513
4.12706353,0.38390469,0.06100117,0.00000798,0.26285496,0.01728226,0.00940521,0.13015733
4.13306653,0.43779951,0.07136503,0.00000932,0.29918970,0.01994850,0.01074765,0.14763588
4.13906953,0.49714562,0.08343810,0.00001086,0.33896639,0.02298773,0.01220704,0.16668359
4.14507254,0.56177854,0.09733171,0.00001261,0.38204731,0.02640830,0.01377903,0.18719299
4.15107554,0.63144652,0.11315685,0.00001458,0.42823601,0.03021567,0.01545673,0.20902354
4.15707854,0.70580171,0.13101913,0.00001678,0.47727320,0.03441124,0.01723060,0.23199989
4.16308154,0.78439407,0.15101342,0.00001920,0.52883471,0.03899133,0.01908833,0.25591140
4.16908454,0.86666842,0.17321820,0.00002186,0.58253164,0.04394607,0.02101493,0.28051294
4.17508754,0.95196496,0.19768962,0.00002475,0.63791276,0.04925856,0.02299280,0.30552724
4.18109055,1.03952343,0.22445562,0.00002786,0.69446921,0.05490409,0.02500197,0.33064854
4.18709355,1.12849090,0.25351007,0.00003118,0.75164146,0.06084951,0.02702032,0.35554777
4.19309655,1.21793317,0.28480729,0.00003468,0.80882824,0.06705292,0.02902405,0.37987887
4.19909955,1.30684947,0.31825709,0.00003836,0.86539717,0.07346352,0.03098805,0.40328628
4.20510255,1.39419007,0.35372053,0.00004217,0.92069684,0.08002187,0.03288646,0.42541323
4.21110555,1.47887634,0.39100681,0.00004608,0.97406972,0.08666034,0.03469318,0.44591056
