energy_ev,total_up,Os_p_up,Os_d_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up
4.31315658,0.88449371,0.67466751,0.31393381,0.28194932,0.03333121,0.06464199,0.06892699
4.31915958,0.82837085,0.63595294,0.29708487,0.26216807,0.02970375,0.05671126,0.06490663
4.32516258,0.77569062,0.59939021,0.28098225,0.24306637,0.02641161,0.04951093,0.06120279
4.33116558,0.72664037,0.56514687,0.26566246,0.22482602,0.02346754,0.04305942,0.05781633
4.33716858,0.68133555,0.53334248,0.25114113,0.20759797,0.02087892,0.03736309,0.05474458
4.34317159,0.63983941,0.50406261,0.23741924,0.19150490,0.01864893,0.03241856,0.05198389
4.34917459,0.60218364,0.47737339,0.22448958,0.17664485,0.01677775,0.02821500,0.04953205
4.35517759,0.56838860,0.45333574,0.21234317,0.16309569,0.01526374,0.02473658,0.04739070
4.36118059,0.53848226,0.43201862,0.20097531,0.15091999,0.01410460,0.02196463,0.04556750
4.36718359,0.51251670,0.41351032,0.19039082,0.14017003,0.01329827,0.01987980,0.04407797
4.37318659,0.49058156,0.39792759,0.18060845,0.13089268,0.01284384,0.01846376,0.04294702
4.37918959,0.47281381,0.38542183,0.17166411,0.12313382,0.01274218,0.01770070,0.04221005
4.38519260,0.45940353,0.37618241,0.16361285,0.11694204,0.01299632,0.01757835,0.04191361
4.39119560,0.45059545,0.37043684,0.15652965,0.11237159,0.01361171,0.01808872,0.04211555
4.39719860,0.44668640,0.36844782,0.15050888,0.10948419,0.01459618,0.01922831,0.04288474
4.40320160,0.44801868,0.37050748,0.14566255,0.10834984,0.01595968,0.02099805,0.04430020
4.40920460,0.45496986,0.37692891,0.14211753,0.10904648,0.01771386,0.02340274,0.04644978
4.41520760,0.46793922,0.38803551,0.14001166,0.11165846,0.01987142,0.02645023,0.04942831
4.42121061,0.48733147,0.40414838,0.13948906,0.11627398,0.02244532,0.03015027,0.05333524
4.42721361,0.51353837,0.42557249,0.14069476,0.12298149,0.02544780,0.03451306,0.05827184
4.43321661,0.54691865,0.45258180,0.14376873,0.13186512,0.02888938,0.03954764,0.06433792
4.43921961,0.58777715,0.48540409,0.14883958,0.14299944,0.03277772,0.04526011,0.07162820
4.44522261,0.63634367,0.52420597,0.15601804,0.15644359,0.03711651,0.05165183,0.08022836
4.45122561,0.69275234,0.56907840,0.16539045,0.17223501,0.04190434,0.05871748,0.09021080
4.45722861,0.75702217,0.62002345,0.17701240,0.19038306,0.04713363,0.06644341,0.10163042
4.46323162,0.82903953,0.67694263,0.19090278,0.21086274,0.05278973,0.07480592,0.11452027
4.46923462,0.90854323,0.73962727,0.20703839,0.23360876,0.05885013,0.08376994,0.12888749
4.47523762,0.99511295,0.80775134,0.22534944,0.25851034,0.06528379,0.09328794,0.14470957
4.48124062,1.08816158,0.88086716,0.24571596,0.28540697,0.07205087,0.10329922,0.16193120
4.48724362,1.18693213,0.95840417,0.26796565,0.31408543,0.07910258,0.11372963,0.18046179
4.49324662,1.29049958,1.03967123,0.29187299,0.34427833,0.08638136,0.12449176,0.20017395
4.49924962,1.39777815,1.12386234,0.31716015,0.37566448,0.09382138,0.13548566,0.22090309
4.50525263,1.50753402,1.21006607,0.34349958,0.40787113,0.10134931,0.14660002,0.24244817
4.51125563,1.61840364,1.29727855,0.37051848,0.44047836,0.10888540,0.15771382,0.26457381
4.51725863,1.72891731,1.38441986,0.39780510,0.47302550,0.11634485,0.16869855,0.28701374
4.52326163,1.83752762,1.47035354,0.42491683,0.50501970,0.12363937,0.17942065,0.30947556
4.52926463,1.94264210,1.55390879,0.45138993,0.53594626,0.13067893,0.18974445,0.33164673
4.53526763,2.04265912,1.63390477,0.47675063,0.56528069,0.13737376,0.19953517,0.35320166
4.54127064,2.13600599,1.70917638,0.50052721,0.59250194,0.14363624,0.20866212,0.37380962
4.54727364,2.22117802,1.77860072,0.52226280,0.61710653,0.14938298,0.21700192,0.39314327
4.55327664,2.29677713,1.84112348,0.54152833,0.63862291,0.15453672,0.22444150,0.41088742
4.55927964,2.36154871,1.89578426,0.55793512,0.65662556,0.15902811,0.23088098,0.42674777
4.56528264,2.41441524,1.94174019,0.57114670,0.67074825,0.16279739,0.23623613,0.44045913
4.57128564,2.45450554,1.97828685,0.58088923,0.68069584,0.16579573,0.24044046,0.45179295
4.57728864,2.48117843,2.00487603,0.58696025,0.68625417,0.16798630,0.24344682,0.46056375
4.58329165,2.49404003,2.02112951,0.58923519,0.68729750,0.16934509,0.24522846,0.46663422
4.58929465,2.49295412,2.02684865,0.58767157,0.68379323,0.16986128,0.24577961,0.46991873
4.59529765,2.47804515,2.02201949,0.58231055,0.67580364,0.16953742,0.24511544,0.47038528
4.60130065,2.44969422,2.00681330,0.57327591,0.66348453,0.16838916,0.24327168,0.46805569
4.60730365,2.40852814,1.98158277,0.56077051,0.64708099,0.16644478,0.24030370,0.46300416
4.61330665,2.35540245,1.94685415,0.54507045,0.62692026,0.16374441,0.23628528,0.45535426
4.61930965,2.29137917,1.90331583,0.52651718,0.60340220,0.16033909,0.23130714,0.44527464
