energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-5.50175088,1.77974226,0.00457078,0.15455461,0.21475258,0.53555131,0.94828124,0.02680043,0.59636054
-5.49574787,1.78862279,0.00465939,0.15342579,0.20802172,0.53959148,0.95510818,0.02683573,0.60032655
-5.48974487,1.79596706,0.00474907,0.15220240,0.20132350,0.54451975,0.96040785,0.02673615,0.60432529
-5.48374187,1.80173032,0.00483880,0.15091492,0.19476595,0.55040031,0.96409934,0.02650469,0.60834056
-5.47773887,1.80578786,0.00492720,0.14958659,0.18844147,0.55725603,0.96607559,0.02614630,0.61231515
-5.47173587,1.80794360,0.00501249,0.14823337,0.18242585,0.56507177,0.96620845,0.02566772,0.61615421
-5.46573287,1.80794354,0.00509260,0.14686434,0.17677813,0.57379936,0.96435578,0.02507730,0.61973082
-5.45972986,1.80549310,0.00516522,0.14548247,0.17154105,0.58336417,0.96037002,0.02438479,0.62289329
-5.45372686,1.80027747,0.00522796,0.14408563,0.16674225,0.59367261,0.95410779,0.02360107,0.62547404
-5.44772386,1.79198384,0.00527838,0.14266788,0.16239597,0.60462026,0.94544013,0.02273800,0.62729945
-5.44172086,1.78032428,0.00531419,0.14122082,0.15850512,0.61609997,0.93426253,0.02180806,0.62820018
-5.43571786,1.76505804,0.00533335,0.13973497,0.15506364,0.62800959,0.92050450,0.02082421,0.62802153
-5.42971486,1.74601208,0.00533419,0.13820115,0.15205901,0.64025880,0.90413800,0.01979962,0.62663318
-5.42371186,1.72309882,0.00531557,0.13661168,0.14947481,0.65277474,0.88518426,0.01874748,0.62393800
-5.41770885,1.69633019,0.00527696,0.13496143,0.14729310,0.66550614,0.86371875,0.01768078,0.61987938
-5.41170585,1.66582747,0.00521857,0.13324856,0.14549677,0.67842584,0.83987396,0.01661217,0.61444685
-5.40570285,1.63182642,0.00514142,0.13147506,0.14407150,0.69153159,0.81384001,0.01555380,0.60767979
-5.39969985,1.59467770,0.00504741,0.12964702,0.14300752,0.70484523,0.78586291,0.01451724,0.59966903
-5.39369685,1.55484276,0.00493935,0.12777458,0.14230109,0.71841048,0.75624087,0.01351334,0.59055652
-5.38769385,1.51288559,0.00482100,0.12587170,0.14195556,0.73228942,0.72531867,0.01255223,0.58053302
-5.38169085,1.46946095,0.00469706,0.12395574,0.14198225,0.74655819,0.69348062,0.01164326,0.56983413
-5.37568784,1.42529983,0.00457313,0.12204683,0.14240094,0.76130205,0.66114244,0.01079503,0.55873493
-5.36968484,1.38119308,0.00445569,0.12016733,0.14324020,0.77661026,0.62874238,0.01001537,0.54754346
-5.36368184,1.33797390,0.00435201,0.11834101,0.14453738,0.79257111,0.59673232,0.00931142,0.53659359
-5.35767884,1.29650015,0.00427005,0.11659251,0.14633839,0.80926731,0.56556884,0.00868970,0.52623731
-5.35167584,1.25763717,0.00421839,0.11494666,0.14869734,0.82677206,0.53570503,0.00815613,0.51683710
-5.34567284,1.22224155,0.00420606,0.11342804,0.15167578,0.84514581,0.50758291,0.00771614,0.50875832
-5.33966983,1.19114641,0.00424243,0.11206048,0.15534176,0.86443392,0.48162700,0.00737470,0.50236204
-5.33366683,1.16514831,0.00433700,0.11086687,0.15976861,0.88466512,0.45823880,0.00713641,0.49799831
-5.32766383,1.14499570,0.00449925,0.10986884,0.16503332,0.90585066,0.43779245,0.00700550,0.49599990
-5.32166083,1.13137893,0.00473841,0.10908668,0.17121455,0.92798406,0.42063120,0.00698581,0.49667662
-5.31565783,1.12492143,0.00506323,0.10853923,0.17839028,0.95104128,0.40706473,0.00708081,0.50030998
-5.30965483,1.12617164,0.00548173,0.10824374,0.18663496,0.97498105,0.39736697,0.00729348,0.50714817
-5.30365183,1.13559537,0.00600095,0.10821576,0.19601636,0.99974524,0.39177423,0.00762621,0.51740126
-5.29764882,1.15356815,0.00662663,0.10846896,0.20659197,1.02525904,0.39048336,0.00808066,0.53123637
-5.29164582,1.18036732,0.00736295,0.10901490,0.21840516,1.05143090,0.39364972,0.00865760,0.54877289
-5.28564282,1.21616354,0.00821226,0.10986263,0.23148112,1.07815208,0.40138487,0.00935663,0.57007762
-5.27963982,1.26101190,0.00917475,0.11101835,0.24582287,1.10529588,0.41375380,0.01017602,0.59515984
-5.27363682,1.31484264,0.01024825,0.11248492,0.26140734,1.13271661,0.43077171,0.01111244,0.62396645
-5.26763382,1.37745187,0.01142800,0.11426139,0.27818187,1.16024839,0.45240051,0.01216074,0.65637743
-5.26163082,1.44849296,0.01270646,0.11634256,0.29606133,1.18770403,0.47854508,0.01331376,0.69220172
-5.25562781,1.52746904,0.01407326,0.11871857,0.31492599,1.21487417,0.50904971,0.01456213,0.73117401
-5.24962481,1.61372776,0.01551515,0.12137468,0.33462048,1.24152695,0.54369494,0.01589420,0.77295266
-5.24362181,1.70645884,0.01701606,0.12429116,0.35495397,1.26740853,0.58219524,0.01729599,0.81711930
-5.23761881,1.80469552,0.01855732,0.12744346,0.37570166,1.29224456,0.62419790,0.01875122,0.86318026
-5.23161581,1.90732058,0.02011790,0.13080261,0.39660775,1.31574294,0.66928360,0.02024146,0.91057039
-5.22561281,2.01307758,0.02167480,0.13433589,0.41738985,1.33759795,0.71696886,0.02174633,0.95865933
-5.21960980,2.12058777,0.02320353,0.13800780,0.43774481,1.35749574,0.76671090,0.02324387,1.00676056
-5.21360680,2.22837273,0.02467868,0.14178127,0.45735578,1.37512133,0.81791485,0.02471092,1.05414313
-5.20760380,2.33488279,0.02607452,0.14561909,0.47590032,1.39016675,0.86994350,0.02612361,1.10004596
-5.20160080,2.43853045,0.02736576,0.14948554,0.49305933,1.40234033,0.92212958,0.02745796,1.14369457
-5.19559780,2.53772826,0.02852818,0.15334800,0.50852640,1.41137665,0.97379022,0.02869043,1.18431969
-5.18959480,2.63092983,0.02953939,0.15717864,0.52201716,1.41704680,1.02424330,0.02979858,1.22117720
-5.18359180,2.71667263,0.03037949,0.16095596,0.53327839,1.41916848,1.07282518,0.03076170,1.25356888
-5.17758879,2.79362105,0.03103169,0.16466606,0.54209636,1.41761543,1.11890928,0.03156140,1.28086296
-5.17158579,2.86060778,0.03148281,0.16830365,0.54830407,1.41232569,1.16192459,0.03218214,1.30251386
-5.16558279,2.91667193,0.03172374,0.17187257,0.55178706,1.40330805,1.20137367,0.03261174,1.31808021
-5.15957979,2.96109207,0.03174968,0.17538586,0.55248760,1.39064648,1.23684900,0.03284170,1.32724033
-5.15357679,2.99341262,0.03156031,0.17886530,0.55040687,1.37450188,1.26804735,0.03286752,1.32980454
-5.14757379,3.01346233,0.03115975,0.18234028,0.54560530,1.35511119,1.29478110,0.03268877,1.32572366
-5.14157079,3.02136390,0.03055647,0.18584628,0.53820086,1.33278346,1.31698626,0.03230914,1.31509325
