energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
1.35967984,0.62720225,0.00159779,0.10338975,0.20789332,0.09840410,0.46540143,0.00000000,0.08377925,0.00180165
1.36568284,0.67572914,0.00183087,0.11811001,0.22828039,0.10482821,0.49661412,0.00000000,0.08830689,0.00195118
1.37168584,0.72802416,0.00208295,0.13398520,0.24942720,0.11180389,0.53006790,0.00000000,0.09338315,0.00211361
1.37768884,0.78341356,0.00235283,0.15092749,0.27110269,0.11922237,0.56524230,0.00000000,0.09891867,0.00228709
1.38369185,0.84111820,0.00263874,0.16881361,0.29304666,0.12696019,0.60155550,0.00000000,0.10481155,0.00246939
1.38969485,0.90026824,0.00293838,0.18748414,0.31497466,0.13488196,0.63837800,0.00000000,0.11094978,0.00265798
1.39569785,0.95992118,0.00324885,0.20674418,0.33658404,0.14284343,0.67504801,0.00000000,0.11721399,0.00285003
1.40170085,1.01908297,0.00356678,0.22636543,0.35756105,0.15069498,0.71088845,0.00000000,0.12348041,0.00304251
1.40770385,1.07673184,0.00388833,0.24608968,0.37758885,0.15828533,0.74522496,0.00000000,0.12962413,0.00323222
1.41370685,1.13184412,0.00420929,0.26563393,0.39635617,0.16546549,0.77740454,0.00000000,0.13552244,0.00341589
1.41970985,1.18342154,0.00452522,0.28469675,0.41356632,0.17209272,0.80681406,0.00000000,0.14105819,0.00359026
1.42571286,1.23051904,0.00483157,0.30296602,0.42894622,0.17803447,0.83289827,0.00000000,0.14612319,0.00375214
1.43171586,1.27227219,0.00512385,0.32012751,0.44225520,0.18317214,0.85517644,0.00000000,0.15062133,0.00389856
1.43771886,1.30792325,0.00539781,0.33587428,0.45329311,0.18740447,0.87325717,0.00000000,0.15447158,0.00402678
1.44372186,1.33684480,0.00564964,0.34991623,0.46190743,0.19065055,0.88685067,0.00000000,0.15761049,0.00413444
1.44972486,1.35856002,0.00587615,0.36198965,0.46799908,0.19285222,0.89577802,0.00000000,0.15999434,0.00421959
1.45572786,1.37275868,0.00607499,0.37186617,0.47152664,0.19397576,0.89997705,0.00000000,0.16160069,0.00428080
1.46173087,1.37930816,0.00624481,0.37936079,0.47250877,0.19401295,0.89950431,0.00000000,0.16242934,0.00431715
1.46773387,1.37825876,0.00638545,0.38433847,0.47102469,0.19298118,0.89453326,0.00000000,0.16250258,0.00432831
1.47373687,1.36984324,0.00649808,0.38671918,0.46721257,0.19092287,0.88534843,0.00000000,0.16186490,0.00431453
1.47973987,1.35447015,0.00658532,0.38648089,0.46126602,0.18790396,0.87233570,0.00000000,0.16058189,0.00427667
1.48574287,1.33271152,0.00665131,0.38366051,0.45342862,0.18401174,0.85596926,0.00000000,0.15873860,0.00421612
1.49174587,1.30528499,0.00670176,0.37835273,0.44398679,0.17935195,0.83679536,0.00000000,0.15643738,0.00413479
1.49774887,1.27303136,0.00674394,0.37070668,0.43326122,0.17404534,0.81541370,0.00000000,0.15379523,0.00403506
1.50375188,1.23688833,0.00678665,0.36092075,0.42159723,0.16822376,0.79245717,0.00000000,0.15094083,0.00391967
1.50975488,1.19786160,0.00684009,0.34923561,0.40935443,0.16202605,0.76857052,0.00000000,0.14801142,0.00379169
1.51575788,1.15699451,0.00691577,0.33592605,0.39689611,0.15559376,0.74438912,0.00000000,0.14514962,0.00365436
1.52176088,1.11533756,0.00702630,0.32129172,0.38457877,0.14906697,0.72051832,0.00000000,0.14250035,0.00351104
1.52776388,1.07391897,0.00718519,0.30564751,0.37274222,0.14258034,0.69751457,0.00000000,0.14020800,0.00336511
1.53376688,1.03371756,0.00740661,0.28931369,0.36170068,0.13625953,0.67586875,0.00000000,0.13841399,0.00321986
1.53976988,0.99563900,0.00770507,0.27260659,0.35173510,0.13021816,0.65599255,0.00000000,0.13725474,0.00307843
1.54577289,0.96049610,0.00809519,0.25582987,0.34308711,0.12455535,0.63820829,0.00000000,0.13686015,0.00294374
1.55177589,0.92899399,0.00859129,0.23926694,0.33595465,0.11935393,0.62274257,0.00000000,0.13735262,0.00281839
1.55777889,0.90172036,0.00920715,0.22317470,0.33048944,0.11467942,0.60972395,0.00000000,0.13884654,0.00270469
1.56378189,0.87914070,0.00995562,0.20777870,0.32679631,0.11057970,0.59918449,0.00000000,0.14144819,0.00260459
1.56978489,0.86159865,0.01084833,0.19326988,0.32493423,0.10708531,0.59106519,0.00000000,0.14525592,0.00251966
1.57578789,0.84932053,0.01189533,0.17980291,0.32491891,0.10421039,0.58522470,0.00000000,0.15036051,0.00245112
1.58179090,0.84242367,0.01310484,0.16749591,0.32672666,0.10195416,0.58145102,0.00000000,0.15684548,0.00239986
1.58779390,0.84092751,0.01448293,0.15643148,0.33029929,0.10030277,0.57947532,0.00000000,0.16478715,0.00236642
