energy_ev,total_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-4.43321661,9.21375002,0.67478662,0.00398327,0.08761162,6.46996634,6.21288625,3.20651120
-4.42721361,8.99398412,0.65853237,0.00389078,0.08774422,6.32416359,6.12707369,3.10882632
-4.42121061,8.76253556,0.64117589,0.00379351,0.08781782,6.17008200,6.02880800,3.00907866
-4.41520760,8.52142406,0.62296153,0.00369302,0.08783057,6.00886863,5.91831723,2.90790281
-4.40920460,8.27259660,0.60410144,0.00359074,0.08777473,5.84168384,5.79596239,2.80589217
-4.40320160,8.01791420,0.58477277,0.00348782,0.08763719,5.66969683,5.66224744,2.70359948
-4.39719860,7.75915270,0.56511710,0.00338523,0.08740027,5.49408782,5.51783105,2.60154267
-4.39119560,7.49801566,0.54524212,0.00328372,0.08704291,5.31605586,5.36353916,2.50021509
-4.38519260,7.23615683,0.52522526,0.00318382,0.08654207,5.13683054,5.20037701,2.40009908
-4.37918959,6.97520915,0.50511876,0.00308592,0.08587425,4.95768584,5.02953911,2.30168140
-4.37318659,6.71681657,0.48495592,0.00299023,0.08501713,4.77995397,4.85241578,2.20546929
-4.36718359,6.46266542,0.46475803,0.00289687,0.08395111,4.60503734,4.67059480,2.11200546
-4.36118059,6.21451182,0.44454132,0.00280591,0.08266077,4.43441681,4.48585716,2.02188080
-4.35517759,5.97420252,0.42432379,0.00271734,0.08113607,4.26965484,4.30016604,1.93574368
-4.34917459,5.74368669,0.40413119,0.00263118,0.07937333,4.11239246,4.11564866,1.85430472
-4.34317159,5.52501744,0.38400217,0.00254745,0.07737583,3.96433957,3.93457090,1.77833667
-4.33716858,5.32034229,0.36399202,0.00246620,0.07515413,3.82725839,3.75930505,1.70866885
-4.33116558,5.13188251,0.34417513,0.00238755,0.07272598,3.70294051,3.59229150,1.64617640
-4.32516258,4.96190240,0.32464602,0.00231166,0.07011589,3.59317822,3.43599513,1.59176436
-4.31915958,4.81266950,0.30551897,0.00223874,0.06735445,3.49973112,3.29285786,1.54634743
-4.31315658,4.68640771,0.28692632,0.00216907,0.06447738,3.42428930,3.16524862,1.51082595
-4.30715358,4.58524538,0.26901575,0.00210293,0.06152437,3.36843445,3.05541211,1.48605927
-4.30115058,4.51116036,0.25194664,0.00204066,0.05853784,3.33360010,2.96541792,1.47283728
-4.29514757,4.46592437,0.23588573,0.00198259,0.05556164,3.32103261,2.89711134,1.47185155
-4.28914457,4.45104877,0.22100241,0.00192906,0.05263974,3.33175378,2.85206714,1.48366697
-4.28314157,4.46773347,0.20746378,0.00188039,0.04981507,3.36652655,2.83154761,1.50869511
-4.27713857,4.51682084,0.19542973,0.00183688,0.04712840,3.42582440,2.83646584,1.54717035
-4.27113557,4.59875588,0.18504819,0.00179878,0.04461747,3.50980561,2.86735526,1.59912982
-4.26513257,4.71355395,0.17645069,0.00176632,0.04231625,3.61829282,2.92434630,1.66439788
-4.25912956,4.86077693,0.16974841,0.00173966,0.04025440,3.75075877,3.00715079,1.74257605
-4.25312656,5.03951866,0.16502862,0.00171895,0.03845694,3.90631860,3.11505491,1.83303888
-4.24712356,5.24840012,0.16235181,0.00170426,0.03694412,4.08372924,3.24692105,1.93493615
-4.24112056,5.48557491,0.16174928,0.00169563,0.03573136,4.28139636,3.40119894,2.04720170
-4.23511756,5.74874514,0.16322146,0.00169307,0.03482939,4.49738910,3.57594645,2.16856885
-4.22911456,6.03518799,0.16673676,0.00169654,0.03424446,4.72946283,3.76885982,2.29759210
-4.22311156,6.34179255,0.17223115,0.00170596,0.03397863,4.97508985,3.97731315,2.43267478
-4.21710855,6.66510664,0.17960832,0.00172123,0.03403002,5.23149785,4.19840671,2.57210175
-4.21110555,7.00139295,0.18874063,0.00174220,0.03439317,5.49571560,4.42902302,2.71407633
-4.20510255,7.34669317,0.19947059,0.00176869,0.03505934,5.76462493,4.66588952,2.85676010
-4.19909955,7.69689879,0.21161327,0.00180050,0.03601676,6.03501786,4.90564622,2.99831434
-4.19309655,8.04782672,0.22495918,0.00183738,0.03725091,6.30365732,5.14491646,3.13694150
-4.18709355,8.39529738,0.23927801,0.00187906,0.03874471,6.56733954,5.38037836,3.27092514
-4.18109055,8.73521282,0.25432290,0.00192521,0.04047878,6.82295605,5.60883481,3.39866676
-4.17508754,9.06363224,0.26983533,0.00197549,0.04243153,7.06755301,5.82727920,3.51871800
-4.16908454,9.37684217,0.28555041,0.00202951,0.04457938,7.29838553,6.03295470,3.62980703
-4.16308154,9.67141860,0.30120255,0.00208684,0.04689693,7.51296499,6.22340462,3.73085785
-4.15707854,9.94427892,0.31653123,0.00214703,0.04935709,7.70909723,6.39651195,3.82100203
-4.15107554,10.19272170,0.33128674,0.00220959,0.05193130,7.88491034,6.55052673,3.89958246
-4.14507254,10.41445304,0.34523573,0.00227401,0.05458978,8.03887097,6.68408021,3.96614916
-4.13906953,10.60759902,0.35816623,0.00233974,0.05730170,8.16978891,6.79618568,4.02044775
-4.13306653,10.77070447,0.36989213,0.00240622,0.06003555,8.27681025,6.88622642,4.06240159
-4.12706353,10.90271896,0.38025680,0.00247287,0.06275940,8.35940016,6.95393204,4.09208867
-4.12106053,11.00297199,0.38913574,0.00253909,0.06544127,8.41731688,6.99934492,4.10971499
