energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up
-5.23761881,2.06437050,0.05410125,0.21472002,0.01803397,0.00000000,1.00615934,0.53823569,0.01756600,1.09701114
-5.23161581,2.06814988,0.05497754,0.21448726,0.01811298,0.00000000,1.00832990,0.53622447,0.01749072,1.10204344
-5.22561281,2.06644493,0.05581400,0.21333876,0.01814105,0.00000000,1.00605231,0.53314804,0.01735627,1.10392561
-5.21960980,2.05885066,0.05657069,0.21128879,0.01811681,0.00000000,0.99930497,0.52890866,0.01716440,1.10242077
-5.21360680,2.04510201,0.05720800,0.20837018,0.01803983,0.00000000,0.98815385,0.52344957,0.01691793,1.09736552
-5.20760380,2.02507994,0.05768830,0.20463321,0.01791061,0.00000000,0.97275025,0.51675351,0.01662055,1.08867467
-5.20160080,1.99881321,0.05797749,0.20014383,0.01773050,0.00000000,0.95332590,0.50884023,0.01627674,1.07634360
-5.19559780,1.96647611,0.05804634,0.19498166,0.01750170,0.00000000,0.93018603,0.49976323,0.01589160,1.06044841
-5.18959480,1.92838267,0.05787175,0.18923749,0.01722717,0.00000000,0.90370052,0.48960602,0.01547069,1.04114400
-5.18359180,1.88497765,0.05743759,0.18301083,0.01691053,0.00000000,0.87429370,0.47847808,0.01501988,1.01866030
-5.17758879,1.83682522,0.05673542,0.17640718,0.01655601,0.00000000,0.84243328,0.46651084,0.01454521,0.99329688
-5.17158579,1.78459557,0.05576479,0.16953556,0.01616831,0.00000000,0.80861883,0.45385380,0.01405278,0.96541622
-5.16558279,1.72905033,0.05453324,0.16250610,0.01575257,0.00000000,0.77337031,0.44067095,0.01354863,0.93543600
-5.15957979,1.67102704,0.05305610,0.15542789,0.01531426,0.00000000,0.73721704,0.42713759,0.01303865,0.90382054
-5.15357679,1.61142319,0.05135584,0.14840717,0.01485911,0.00000000,0.70068738,0.41343751,0.01252857,0.87107173
-5.14757379,1.55118007,0.04946134,0.14154574,0.01439306,0.00000000,0.66429943,0.39976055,0.01202391,0.83771963
-5.14157079,1.49126658,0.04740680,0.13493986,0.01392222,0.00000000,0.62855287,0.38630042,0.01152995,0.80431280
-5.13556778,1.43266306,0.04523066,0.12867923,0.01345276,0.00000000,0.59392200,0.37325260,0.01105173,0.77140862
-5.12956478,1.37634520,0.04297420,0.12284642,0.01299092,0.00000000,0.56084997,0.36081238,0.01059409,0.73956350
-5.12356178,1.32326783,0.04068031,0.11751637,0.01254289,0.00000000,0.52974413,0.34917258,0.01016159,0.70932308
-5.11755878,1.27434862,0.03839210,0.11275606,0.01211480,0.00000000,0.50097229,0.33852109,0.00975859,0.68121256
-5.11155578,1.23045163,0.03615158,0.10862422,0.01171260,0.00000000,0.47485983,0.32903801,0.00938918,0.65572691
-5.10555278,1.19237060,0.03399850,0.10517111,0.01134196,0.00000000,0.45168739,0.32089231,0.00905713,0.63332135
-5.09954977,1.16081226,0.03196924,0.10243812,0.01100822,0.00000000,0.43168901,0.31423805,0.00876586,0.61440186
-5.09354677,1.13637963,0.03009585,0.10045739,0.01071620,0.00000000,0.41505053,0.30921024,0.00851836,0.59931603
-5.08754377,1.11955590,0.02840531,0.09925132,0.01047013,0.00000000,0.40190821,0.30592034,0.00831709,0.58834441
-5.08154077,1.11068917,0.02691894,0.09883191,0.01027348,0.00000000,0.39234752,0.30445172,0.00816387,0.58169243
-5.07553777,1.10997860,0.02565198,0.09920014,0.01012885,0.00000000,0.38640197,0.30485524,0.00805982,0.57948335
-5.06953477,1.11746287,0.02461343,0.10034525,0.01003782,0.00000000,0.38405228,0.30714510,0.00800519,0.58175246
-5.06353177,1.13301135,0.02380599,0.10224413,0.01000089,0.00000000,0.38522583,0.31129547,0.00799930,0.58844281
-5.05752876,1.15631890,0.02322621,0.10486078,0.01001734,0.00000000,0.38979654,0.31723793,0.00804047,0.59940290
-5.05152576,1.18690495,0.02286484,0.10814606,0.01008520,0.00000000,0.39758553,0.32486019,0.00812597,0.61438657
-5.04552276,1.22411728,0.02270726,0.11203763,0.01020124,0.00000000,0.40836255,0.33400612,0.00825198,0.63305535
-5.03951976,1.26714110,0.02273406,0.11646030,0.01036099,0.00000000,0.42184845,0.34447739,0.00841363,0.65498354
