energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,S_s_up,S_p_up,W_p_up,W_d_up
4.89544772,0.02151502,0.00491308,0.00088665,0.00113484,0.00094072,0.00107825,0.00719375,0.00711177,0.00955259
4.90145073,0.01697261,0.00387615,0.00069955,0.00089488,0.00074197,0.00085049,0.00567565,0.00561002,0.00753504
4.90745373,0.01329338,0.00303614,0.00054798,0.00070064,0.00058104,0.00066604,0.00444579,0.00439373,0.00590113
4.91345673,0.01033715,0.00236112,0.00042616,0.00054466,0.00045177,0.00051787,0.00345744,0.00341652,0.00458847
4.91945973,0.00798074,0.00182300,0.00032904,0.00042039,0.00034875,0.00039978,0.00266951,0.00263762,0.00354228
4.92546273,0.00611733,0.00139742,0.00025224,0.00032216,0.00026729,0.00030641,0.00204635,0.00202172,0.00271505
4.93146573,0.00465539,0.00106351,0.00019197,0.00024512,0.00020340,0.00023317,0.00155740,0.00153852,0.00206609
4.93746873,0.00351742,0.00080358,0.00014505,0.00018517,0.00015367,0.00017616,0.00117677,0.00116242,0.00156099
4.94347174,0.00263857,0.00060282,0.00010882,0.00013888,0.00011527,0.00013214,0.00088278,0.00087197,0.00117092
4.94947474,0.00196510,0.00044897,0.00008105,0.00010342,0.00008584,0.00009841,0.00065749,0.00064940,0.00087203
4.95547774,0.00145303,0.00033198,0.00005993,0.00007646,0.00006347,0.00007276,0.00048617,0.00048017,0.00064477
4.96148074,0.00106668,0.00024372,0.00004400,0.00005613,0.00004659,0.00005341,0.00035692,0.00035249,0.00047332
4.96748374,0.00077745,0.00017764,0.00003207,0.00004090,0.00003396,0.00003893,0.00026014,0.00025691,0.00034497
4.97348674,0.00056257,0.00012854,0.00002320,0.00002960,0.00002457,0.00002817,0.00018825,0.00018590,0.00024962
4.97948974,0.00040416,0.00009235,0.00001667,0.00002126,0.00001765,0.00002024,0.00013524,0.00013356,0.00017933
4.98549275,0.00028827,0.00006587,0.00001189,0.00001516,0.00001259,0.00001443,0.00009646,0.00009526,0.00012791
4.99149575,0.00020414,0.00004665,0.00000842,0.00001074,0.00000892,0.00001022,0.00006831,0.00006746,0.00009058
4.99749875,0.00014352,0.00003280,0.00000592,0.00000755,0.00000627,0.00000719,0.00004803,0.00004743,0.00006368
5.00350175,0.00010018,0.00002289,0.00000413,0.00000527,0.00000438,0.00000502,0.00003352,0.00003310,0.00004445
5.00950475,0.00006942,0.00001586,0.00000286,0.00000365,0.00000303,0.00000348,0.00002323,0.00002294,0.00003080
5.01550775,0.00004777,0.00001091,0.00000197,0.00000251,0.00000209,0.00000239,0.00001598,0.00001578,0.00002119
