energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-5.49574787,3.46208048,0.00738947,0.15381979,0.03211383,1.54215605,1.19496475,1.13842853
-5.48974487,3.43366451,0.00703104,0.14673234,0.03279425,1.52998255,1.18637951,1.13431016
-5.48374187,3.40994578,0.00667456,0.14042714,0.03348921,1.51950404,1.17992811,1.13157852
-5.47773887,3.39023516,0.00632854,0.13485683,0.03419588,1.51044657,1.17536851,1.12996640
-5.47173587,3.37381063,0.00600141,0.12996117,0.03491169,1.50251396,1.17245214,1.12921241
-5.46573287,3.35997654,0.00570134,0.12567187,0.03563472,1.49541333,1.17094205,1.12908081
-5.45972986,3.34811973,0.00543610,0.12191755,0.03636412,1.48887993,1.17062939,1.12937955
-5.45372686,3.33775916,0.00521285,0.11862843,0.03710036,1.48269988,1.17134708,1.12997533
-5.44772386,3.32858618,0.00503798,0.11574069,0.03784553,1.47672938,1.17297995,1.13080486
-5.44172086,3.32049296,0.00491699,0.11320019,0.03860335,1.47090933,1.17547061,1.13188152
-5.43571786,3.31358719,0.00485438,0.11096546,0.03937923,1.46527437,1.17882066,1.13329688
-5.42971486,3.30819206,0.00485356,0.10900986,0.04018002,1.45995572,1.18308709,1.13521692
-5.42371186,3.30483132,0.00491679,0.10732284,0.04101370,1.45517777,1.18837397,1.13787289
-5.41770885,3.30420005,0.00504516,0.10591031,0.04188892,1.45124821,1.19482009,1.14154739
-5.41170585,3.30712271,0.00523857,0.10479401,0.04281439,1.44854249,1.20258298,1.14655615
-5.40570285,3.31450079,0.00549582,0.10401012,0.04379821,1.44748342,1.21182061,1.15322665
-5.39969985,3.32725303,0.00581465,0.10360711,0.04484717,1.44851691,1.22267181,1.16187452
-5.39369685,3.34625168,0.00619186,0.10364290,0.04596598,1.45208544,1.23523671,1.17277927
-5.38769385,3.37225859,0.00662348,0.10418164,0.04715659,1.45860068,1.24955862,1.18616051
-5.38169085,3.40586492,0.00710496,0.10529015,0.04841763,1.46841700,1.26560864,1.20215623
-5.37568784,3.44743818,0.00763143,0.10703424,0.04974387,1.48180727,1.28327414,1.22080433
-5.36968484,3.49707981,0.00819792,0.10947504,0.05112601,1.49894265,1.30235216,1.24202862
-5.36368184,3.55459619,0.00879973,0.11266571,0.05255049,1.51987735,1.32254823,1.26563016
-5.35767884,3.61948483,0.00943272,0.11664839,0.05399969,1.54453955,1.34348123,1.29128457
-5.35167584,3.69093706,0.01009363,0.12145177,0.05545221,1.57272891,1.36469389,1.31854569
-5.34567284,3.76785736,0.01078049,0.12708937,0.05688349,1.60412104,1.38566898,1.34685556
-5.33966983,3.84889856,0.01149285,0.13355845,0.05826653,1.63827868,1.40584999,1.37556031
-5.33366683,3.93251134,0.01223214,0.14083977,0.05957284,1.67466907,1.42466562,1.40393138
-5.32766383,4.01700556,0.01300188,0.14889817,0.06077346,1.71268667,1.44155652,1.43119107
-5.32166083,4.10062043,0.01380781,0.15768384,0.06184013,1.75167991,1.45600289,1.45654129
-5.31565783,4.18159970,0.01465799,0.16713429,0.06274642,1.79098065,1.46755144,1.47919412
-5.30965483,4.25826817,0.01556274,0.17717692,0.06346883,1.82993470,1.47583996,1.49840289
-5.30365183,4.32910553,0.01653447,0.18773189,0.06398785,1.86793166,1.48061834,1.51349214
-5.29764882,4.39281344,0.01758734,0.19871532,0.06428885,1.90443251,1.48176447,1.52388532
-5.29164582,4.44837259,0.01873686,0.21004246,0.06436276,1.93899342,1.47929436,1.52912876
-5.28564282,4.49508656,0.01999928,0.22163066,0.06420659,1.97128428,1.47336550,1.52891107
-5.27963982,4.53261019,0.02139087,0.23340199,0.06382368,2.00110099,1.46427349,1.52307691
-5.27363682,4.56096091,0.02292708,0.24528533,0.06322372,2.02837080,1.45244175,1.51163475
-5.26763382,4.58051248,0.02462169,0.25721766,0.06242248,2.05315009,1.43840495,1.49475834
-5.26163082,4.59197132,0.02648579,0.26914464,0.06144136,2.07561496,1.42278691,1.47278182
-5.25562781,4.59633662,0.02852685,0.28102026,0.06030668,2.09604475,1.40627409,1.44618883
-5.24962481,4.59484639,0.03074779,0.29280570,0.05904883,2.11479963,1.38958593,1.41559627
-5.24362181,4.58891214,0.03314612,0.30446733,0.05770125,2.13229324,1.37344362,1.38173333
-5.23761881,4.58004549,0.03571329,0.31597416,0.05629932,2.14896195,1.35853883,1.34541690
-5.23161581,4.56978064,0.03843409,0.32729480,0.05487922,2.16523255,1.34550390,1.30752432
-5.22561281,4.55959655,0.04128645,0.33839417,0.05347677,2.18149003,1.33488491,1.26896472
-5.21960980,4.55084282,0.04424132,0.34923030,0.05212631,2.19804745,1.32711898,1.23064991
-5.21360680,4.54467294,0.04726301,0.35975143,0.05085969,2.21511958,1.32251671,1.19346614
-5.20760380,4.54198825,0.05030971,0.36989370,0.04970537,2.23280188,1.32125043,1.15824754
-5.20160080,4.54339521,0.05333433,0.37957965,0.04868764,2.25105614,1.32334886,1.12575221
-5.19559780,4.54917792,0.05628568,0.38871774,0.04782605,2.26970359,1.32869799,1.09664157
-5.18959480,4.55928683,0.05910978,0.39720300,0.04713499,2.28842602,1.33704806,1.07146364
-5.18359180,4.57334401,0.06175153,0.40491891,0.04662344,2.30677492,1.34802602,1.05064038
-5.17758879,4.59066407,0.06415633,0.41174035,0.04629491,2.32418812,1.36115271,1.03445956
-5.17158579,4.61028929,0.06627193,0.41753773,0.04614760,2.34001319,1.37586363,1.02307080
-5.16558279,4.63103690,0.06805015,0.42218189,0.04617457,2.35353623,1.39153230,1.01648596
-5.15957979,4.65155559,0.06944859,0.42554966,0.04636421,2.36401453,1.40749494,1.01458347
-5.15357679,4.67038838,0.07043214,0.42752968,0.04670069,2.37071154,1.42307533,1.01711629
-5.14757379,4.68603856,0.07097428,0.42802830,0.04716458,2.37293207,1.43760871,1.02372306
-5.14157079,4.69703556,0.07105801,0.42697499,0.04773349,2.37005618,1.45046385,1.03394215
-5.13556778,4.70199793,0.07067656,0.42432719,0.04838282,2.36156999,1.46106249,1.04722797
-5.12956478,4.69969072,0.06983361,0.42007410,0.04908646,2.34709205,1.46889553,1.06296920
-5.12356178,4.68907532,0.06854322,0.41423933,0.04981758,2.32639409,1.47353579,1.08050837
-5.11755878,4.66935020,0.06682935,0.40688212,0.05054939,2.29941543,1.47464703,1.09916250
-5.11155578,4.63998153,0.06472498,0.39809711,0.05125592,2.26627065,1.47198949,1.11824410
-5.10555278,4.60072340,0.06227105,0.38801269,0.05191272,2.22725033,1.46542208,1.13708223
-5.09954977,4.55162752,0.05951505,0.37678789,0.05249758,2.18281540,1.45490157,1.15504308
-5.09354677,4.49304312,0.05650943,0.36460806,0.05299121,2.13358539,1.44047932,1.17154945
-5.08754377,4.42560756,0.05330999,0.35167945,0.05337779,2.08032155,1.42229594,1.18609881
-5.08154077,4.35022884,0.04997409,0.33822304,0.05364551,2.02390570,1.40057435,1.19827920
-5.07553777,4.26806106,0.04655904,0.32446782,0.05378702,1.96531584,1.37561171,1.20778254
-5.06953477,4.18047386,0.04312048,0.31064392,0.05379971,1.90559960,1.34777055,1.21441489
-5.06353177,4.08901705,0.03971098,0.29697568,0.05368592,1.84584644,1.31746943,1.21810304
-5.05752876,3.99538148,0.03637882,0.28367525,0.05345302,1.78715965,1.28517332,1.21889738
-5.05152576,3.90135711,0.03316697,0.27093669,0.05311328,1.73062885,1.25138391,1.21697039
-5.04552276,3.80878919,0.03011241,0.25893091,0.05268368,1.67730384,1.21662990,1.21261113
-5.03951976,3.71953353,0.02724560,0.24780165,0.05218545,1.62817019,1.18145735,1.20621536
-5.03351676,3.63541185,0.02459026,0.23766252,0.05164360,1.58412729,1.14642032,1.19827191
-5.02751376,3.55816796,0.02216341,0.22859527,0.05108621,1.54596906,1.11207157,1.18934553
-5.02151076,3.48942606,0.01997556,0.22064924,0.05054363,1.51436779,1.07895374,1.18005689
-5.01550775,3.43065196,0.01803106,0.21384200,0.05004765,1.48986125,1.04759089,1.17106061
-5.00950475,3.38311855,0.01632873,0.20816114,0.04963052,1.47284335,1.01848066,1.16302207
-5.00350175,3.34787631,0.01486238,0.20356696,0.04932401,1.46355850,0.99208716,1.15659405
-4.99749875,3.32573020,0.01362161,0.19999618,0.04915850,1.46209967,0.96883472,1.15239421
-4.99149575,3.31722342,0.01259253,0.19736617,0.04916204,1.46841036,0.94910263,1.15098423
-4.98549275,3.32262892,0.01175846,0.19557985,0.04935957,1.48229022,0.93322101,1.15285164
-4.97948974,3.34194891,0.01110076,0.19453070,0.04977219,1.50340425,0.92146775,1.15839482
-4.97348674,3.37492228,0.01059943,0.19410803,0.05041663,1.53129529,0.91406652,1.16791189
-4.96748374,3.42103966,0.01023382,0.19420196,0.05130475,1.56539937,0.91118576,1.18159358
-4.96148074,3.47956514,0.00998318,0.19470810,0.05244333,1.60506336,0.91293847,1.19952029
-4.95547774,3.54956367,0.00982717,0.19553168,0.05383387,1.64956428,0.91938255,1.22166305
-4.94947474,3.62993247,0.00974627,0.19659096,0.05547265,1.69812946,0.93052142,1.24788805
-4.94347174,3.71943487,0.00972216,0.19781975,0.05735082,1.74995682,0.94630474,1.27796415
-4.93746873,3.81673464,0.00973798,0.19916900,0.05945463,1.80423429,0.96662884,1.31157268
-4.93146573,3.92042921,0.00977856,0.20060735,0.06176579,1.86015769,0.99133684,1.34831881
-4.92546273,4.02907976,0.00983050,0.20212064,0.06426179,1.91694633,1.02021823,1.38774364
-4.91945973,4.14123723,0.00988231,0.20371049,0.06691634,1.97385553,1.05300795,1.42933636
-4.91345673,4.25546287,0.00992438,0.20539194,0.06969986,2.03018606,1.08938512,1.47254583
-4.90745373,4.37034301,0.00994897,0.20719036,0.07257983,2.08528982,1.12897157,1.51679115
-4.90145073,4.48449787,0.00995014,0.20913780,0.07552136,2.13857217,1.17133051,1.56147078
-4.89544772,4.59658496,0.00992359,0.21126896,0.07848758,2.18949096,1.21596588,1.60597032
-4.88944472,4.70529796,0.00986656,0.21361699,0.08144012,2.23755279,1.26232264,1.64966886
-4.88344172,4.80936231,0.00977767,0.21620947,0.08433961,2.28230720,1.30978854,1.69194413
-4.87743872,4.90752920,0.00965667,0.21906455,0.08714614,2.32333948,1.35769794,1.73217696
-4.87143572,4.99856956,0.00950433,0.22218778,0.08981975,2.36026301,1.40533773,1.76975534
-4.86543272,5.08126983,0.00932218,0.22556953,0.09232103,2.39271209,1.45195590,1.80407863
-4.85942971,5.15443093,0.00911237,0.22918323,0.09461165,2.42033584,1.49677260,1.83456236
-4.85342671,5.21687184,0.00887746,0.23298459,0.09665500,2.44279410,1.53899370,1.86064402
-4.84742371,5.26743836,0.00862029,0.23691173,0.09841676,2.45975576,1.57782658,1.88179002
-4.84142071,5.30501767,0.00834381,0.24088629,0.09986562,2.47089971,1.61249761,1.89750400
-4.83541771,5.32855834,0.00805100,0.24481536,0.10097388,2.47591874,1.64227085,1.90733635
-4.82941471,5.33709509,0.00774475,0.24859426,0.10171809,2.47452600,1.66646709,1.91089481
-4.82341171,5.32977739,0.00742781,0.25210994,0.10207960,2.46646382,1.68448261,1.90785553
-4.81740870,5.30590006,0.00710275,0.25524477,0.10204511,2.45151424,1.69580659,1.89797434
-4.81140570,5.26493438,0.00677192,0.25788074,0.10160704,2.42951060,1.70003669,1.88109736
-4.80540270,5.20655765,0.00643747,0.25990366,0.10076384,2.40034940,1.69689173,1.85717047
-4.79939970,5.13067939,0.00610138,0.26120725,0.09952016,2.36400170,1.68622114,1.82624690
-4.79339670,5.03746237,0.00576541,0.26169706,0.09788689,2.32052309,1.66801061,1.78849233
-4.78739370,4.92733709,0.00543123,0.26129382,0.09588099,2.27006177,1.64238369,1.74418719
-4.78139070,4.80100857,0.00510038,0.25993639,0.09352522,2.21286401,1.60959931,1.69372559
-4.77538769,4.65945472,0.00477432,0.25758388,0.09084776,2.14927660,1.57004535,1.63761097
-4.76938469,4.50391614,0.00445446,0.25421723,0.08788165,2.07974619,1.52422850,1.57644826
-4.76338169,4.33587749,0.00414219,0.24983994,0.08466413,2.00481518,1.47276102,1.51093294
-4.75737869,4.15704119,0.00383886,0.24447805,0.08123592,1.92511457,1.41634474,1.44183725
-4.75137569,3.96929431,0.00354584,0.23817948,0.07764045,1.84135384,1.35575329,1.36999409
-4.74537269,3.77467007,0.00326444,0.23101260,0.07392298,1.75430835,1.29181288,1.29627913
-4.73936968,3.57530528,0.00299597,0.22306432,0.07012982,1.66480470,1.22538268,1.22159189
-4.73336668,3.37339541,0.00274166,0.21443758,0.06630749,1.57370468,1.15733521,1.14683644
-4.72736368,3.17114878,0.00250269,0.20524853,0.06250191,1.48188824,1.08853749,1.07290223
-4.72136068,2.97074139,0.00228013,0.19562335,0.05875766,1.39023633,1.01983337,1.00064593
-4.71535768,2.77427378,0.00207494,0.18569495,0.05511732,1.29961388,0.95202754,0.93087449
-4.70935468,2.58373119,0.00188791,0.17559950,0.05162081,1.21085370,0.88587152,0.86433020
-4.70335168,2.40094790,0.00171969,0.16547314,0.04830491,1.12474156,0.82205173,0.80167775
-4.69734867,2.22757666,0.00157070,0.15544867,0.04520278,1.04200303,0.76117999,0.74349382
-4.69134567,2.06506384,0.00144120,0.14565258,0.04234362,0.96329228,0.70378631,0.69025922
-4.68534267,1.91463064,0.00133122,0.13620233,0.03975241,0.88918314,0.65031405,0.64235356
-4.67933967,1.77726065,0.00124059,0.12720400,0.03744976,0.82016265,0.60111739,0.60005271
-4.67333667,1.65369398,0.00116892,0.11875044,0.03545185,0.75662721,0.55646098,0.56352873
-4.66733367,1.54442775,0.00111565,0.11091980,0.03377053,0.69888128,0.51652170,0.53285239
-4.66133067,1.44972299,0.00108002,0.10377468,0.03241349,0.64713888,0.48139241,0.50799799
-4.65532766,1.36961760,0.00106112,0.09736170,0.03138452,0.60152749,0.45108745,0.48885053
-4.64932466,1.30394504,0.00105789,0.09171165,0.03068401,0.56209447,0.42554981,0.47521488
-4.64332166,1.25235831,0.00106920,0.08684014,0.03030942,0.52881572,0.40465988,0.46682689
-4.63731866,1.21435849,0.00109381,0.08274870,0.03025593,0.50160623,0.38824532,0.46336613
-4.63131566,1.18932723,0.00113047,0.07942626,0.03051722,0.48033228,0.37609209,0.46447005
-4.62531266,1.17656207,0.00117791,0.07685102,0.03108621,0.46482484,0.36795622,0.46974908
-4.61930965,1.17531374,0.00123491,0.07499259,0.03195596,0.45489363,0.36357603,0.47880250
-4.61330665,1.18482394,0.00130029,0.07381422,0.03312048,0.45034145,0.36268453,0.49123443
-4.60730365,1.20436239,0.00137300,0.07327516,0.03457561,0.45097806,0.36502147,0.50666945
-4.60130065,1.23326175,0.00145211,0.07333297,0.03631976,0.45663316,0.37034480,0.52476736
-4.59529765,1.27094860,0.00153684,0.07394564,0.03835453,0.46716769,0.37844093,0.54523632
-4.58929465,1.31696938,0.00162661,0.07507350,0.04068526,0.48248313,0.38913354,0.56784390
-4.58329165,1.37100955,0.00172098,0.07668078,0.04332122,0.50252802,0.40229041,0.59242532
-4.57728864,1.43290501,0.00181973,0.07873673,0.04627572,0.52730150,0.41782787,0.61888843
-4.57128564,1.50264465,0.00192282,0.08121628,0.04956584,0.55685339,0.43571278,0.64721488
-4.56528264,1.58036351,0.00203034,0.08410024,0.05321191,0.59128068,0.45596159,0.67745729
-4.55927964,1.66632640,0.00214256,0.08737486,0.05723671,0.63072047,0.47863654,0.70973227
-4.55327664,1.76090209,0.00225983,0.09103106,0.06166435,0.67533938,0.50383904,0.74420928
-4.54727364,1.86452906,0.00238254,0.09506310,0.06651895,0.72531984,0.53170027,0.78109572
-4.54127064,1.97767378,0.00251112,0.09946693,0.07182303,0.78084380,0.56236952,0.82061872
-4.53526763,2.10078357,0.00264594,0.10423831,0.07759583,0.84207437,0.59600055,0.86300442
-4.52926463,2.23423590,0.00278726,0.10937071,0.08385150,0.90913636,0.63273663,0.90845554
-4.52326163,2.37828671,0.00293522,0.11485329,0.09059727,0.98209652,0.67269490,0.95712854
-4.51725863,2.53302041,0.00308974,0.12066894,0.09783177,1.06094447,0.71595089,1.00911136
-4.51125563,2.69830427,0.00325049,0.12679263,0.10554344,1.14557535,0.76252387,1.06440311
-4.50525263,2.87374983,0.00341690,0.13319010,0.11370931,1.23577515,0.81236387,1.12289690
-4.49924962,3.05868388,0.00358809,0.13981711,0.12229404,1.33120953,0.86534117,1.18436690
-4.49324662,3.25213094,0.00376292,0.14661916,0.13124939,1.43141698,0.92123887,1.24846065
-4.48724362,3.45280896,0.00393997,0.15353194,0.14051423,1.53580690,0.97974908,1.31469730
-4.48124062,3.65913909,0.00411755,0.16048230,0.15001499,1.64366289,1.04047312,1.38247222
-4.47523762,3.86926985,0.00429381,0.16738991,0.15966664,1.75415144,1.10292601,1.45106818
-4.46923462,4.08111524,0.00446675,0.17416938,0.16937421,1.86633593,1.16654510,1.51967272
-4.46323162,4.29240559,0.00463428,0.18073287,0.17903475,1.97919553,1.23070276,1.58740134
-4.45722861,4.50074921,0.00479434,0.18699295,0.18853972,2.09164831,1.29472267,1.65332537
-4.45122561,4.70370235,0.00494495,0.19286574,0.19777771,2.20257782,1.35789897,1.71650352
-4.44522261,4.89884445,0.00508428,0.19827384,0.20663742,2.31086200,1.41951771,1.77601550
-4.43921961,5.08385513,0.00521076,0.20314933,0.21501068,2.41540321,1.47887944,1.83099625
-4.43321661,5.25658962,0.00532311,0.20743623,0.22279559,2.51515813,1.53532202,1.88066900
-4.42721361,5.41514865,0.00542043,0.21109259,0.22989939,2.60916620,1.58824257,1.92437554
-4.42121061,5.55793976,0.00550222,0.21409197,0.23624117,2.69657525,1.63711756,1.96160208
-4.41520760,5.68372669,0.00556838,0.21642420,0.24175419,2.77666321,1.68151992,1.99199945
-4.40920460,5.79166462,0.00561926,0.21809540,0.24638769,2.84885487,1.72113244,2.01539643
-4.40320160,5.88131928,0.00565562,0.21912730,0.25010817,2.91273285,1.75575668,2.03180554
-4.39719860,5.95266919,0.00567858,0.21955579,0.25290009,2.96804242,1.78531707,2.04142088
-4.39119560,6.00609062,0.00568959,0.21942884,0.25476587,3.01468978,1.80985976,2.04460814
-4.38519260,6.04232644,0.00569040,0.21880393,0.25572529,3.05273419,1.82954642,2.04188723
-4.37918959,6.06244027,0.00568294,0.21774506,0.25581431,3.08237426,1.84464330,2.03390836
-4.37318659,6.06775852,0.00566926,0.21631951,0.25508328,3.10392927,1.85550597,2.02142287
-4.36718359,6.05980339,0.00565153,0.21459463,0.25359477,3.11781662,1.86256073,2.00525029
-4.36118059,6.04022049,0.00563189,0.21263466,0.25142101,3.12452670,1.86628340,1.98624327
-4.35517759,6.01070504,0.00561248,0.21049797,0.24864112,3.12459658,1.86717691,1.96525236
-4.34917459,5.97293053,0.00559539,0.20823468,0.24533824,3.11858416,1.86574854,1.94309236
-4.34317159,5.92848379,0.00558266,0.20588487,0.24159675,3.10704416,1.86248820,1.92051205
-4.33716858,5.87880989,0.00557632,0.20347749,0.23749961,3.09050738,1.85784880,1.89816882
-4.33116558,5.82516991,0.00557843,0.20103002,0.23312606,3.06946437,1.85222964,1.87660957
-4.32516258,5.76861352,0.00559114,0.19854885,0.22854965,3.04435449,1.84596378,1.85625875
-4.31915958,5.70996794,0.00561683,0.19603037,0.22383682,3.01556085,1.83930978,1.83741417
-4.31315658,5.64984343,0.00565820,0.19346273,0.21904589,2.98341137,1.83244834,1.82025069
-4.30715358,5.58865492,0.00571841,0.19082815,0.21422675,2.94818581,1.82548378,1.80483142
