energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
2.02601301,2.13849013,0.01411677,0.09533326,0.19037821,0.56487015,0.76572524,1.24374117,0.05323127,0.16785010
2.03201601,2.12406164,0.01386813,0.09276172,0.18804367,0.55896436,0.76216866,1.24166743,0.05328891,0.16891389
2.03801901,2.10857074,0.01363565,0.09011034,0.18596411,0.55398389,0.75875337,1.23777448,0.05326201,0.17048571
2.04402201,2.09262251,0.01343370,0.08742822,0.18417973,0.55022473,0.75560104,1.23217965,0.05316611,0.17262470
2.05002501,2.07685319,0.01327592,0.08476365,0.18273541,0.54797710,0.75284759,1.22505273,0.05301708,0.17538108
2.05602801,2.06189816,0.01317469,0.08216243,0.18167823,0.54751421,0.75063246,1.21660166,0.05283050,0.17879256
2.06203102,2.04835923,0.01314066,0.07966630,0.18105463,0.54908082,0.74908778,1.20705667,0.05262097,0.18288092
2.06803402,2.03677320,0.01318234,0.07731152,0.18090747,0.55288214,0.74832806,1.19665391,0.05240152,0.18764920
2.07403702,2.02758311,0.01330572,0.07512780,0.18127304,0.55907356,0.74844110,1.18561965,0.05218309,0.19307940
2.08004002,2.02111399,0.01351398,0.07313737,0.18217824,0.56775180,0.74948067,1.17415593,0.05197406,0.19913105
2.08604302,2.01755435,0.01380731,0.07135452,0.18363809,0.57894774,0.75146146,1.16242864,0.05177990,0.20574053
2.09204602,2.01694439,0.01418280,0.06978537,0.18565369,0.59262151,0.75435665,1.15055878,0.05160296,0.21282143
2.09804902,2.01917191,0.01463447,0.06842810,0.18821076,0.60866017,0.75809833,1.13861740,0.05144240,0.22026586
2.10405203,2.02397601,0.01515334,0.06727343,0.19127888,0.62687803,0.76258069,1.12662455,0.05129416,0.22794670
2.11005503,2.03095862,0.01572771,0.06630542,0.19481139,0.64701992,0.76766592,1.11455225,0.05115118,0.23572080
2.11605803,2.03960345,0.01634344,0.06550263,0.19874618,0.66876736,0.77319250,1.10233124,0.05100371,0.24343298
2.12206103,2.04930127,0.01698438,0.06483939,0.20300709,0.69174750,0.77898524,1.08986119,0.05083964,0.25092078
2.12806403,2.05938066,0.01763288,0.06428730,0.20750608,0.71554450,0.78486671,1.07702343,0.05064511,0.25801962
2.13406703,2.06914236,0.01827029,0.06381680,0.21214596,0.73971314,0.79066918,1.06369565,0.05040504,0.26456840
2.14007004,2.07789585,0.01887764,0.06339883,0.21682368,0.76379405,0.79624637,1.04976738,0.05010384,0.27041514
2.14607304,2.08499617,0.01943619,0.06300641,0.22143385,0.78732991,0.80148437,1.03515546,0.04972607,0.27542245
2.15207604,2.08987918,0.01992806,0.06261613,0.22587254,0.80988215,0.80631091,1.01981829,0.04925720,0.27947279
2.15807904,2.09209352,0.02033685,0.06220956,0.23004105,0.83104724,0.81070237,1.00376814,0.04868427,0.28247295
2.16408204,2.09132773,0.02064815,0.06177437,0.23384949,0.85047188,0.81468823,0.98708059,0.04799655,0.28435791
2.17008504,2.08743091,0.02085002,0.06130526,0.23722010,0.86786648,0.81835230,0.96990056,0.04718614,0.28509366
2.17608804,2.08042618,0.02093337,0.06080465,0.24009004,0.88301613,0.82183087,0.95244446,0.04624844,0.28467897
2.18209105,2.07051590,0.02089224,0.06028297,0.24241360,0.89578856,0.82530754,0.93499826,0.04518248,0.28314593
2.18809405,2.05807852,0.02072395,0.05975877,0.24416377,0.90613863,0.82900518,0.91791152,0.04399122,0.28055935
2.19409705,2.04365697,0.02042917,0.05925839,0.24533291,0.91410911,0.83317503,0.90158755,0.04268154,0.27701490
