energy_ev,total_up,Al_p_up,Al_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-5.44772386,1.97524521,0.25704960,0.00000000,0.89548921,0.00000000,0.97244266,0.57783368
-5.44172086,1.92626883,0.25375659,0.00000000,0.86556440,0.00000000,0.94645297,0.56192268
-5.43571786,1.87118165,0.24913780,0.00000000,0.83325907,0.00000000,0.91771536,0.54454121
-5.42971486,1.81063562,0.24326098,0.00000000,0.79891072,0.00000000,0.88663004,0.52586443
-5.42371186,1.74535556,0.23621643,0.00000000,0.76288653,0.00000000,0.85361807,0.50608030
-5.41770885,1.67612602,0.22811480,0.00000000,0.72557759,0.00000000,0.81911143,0.48538718
-5.41170585,1.60377713,0.21908434,0.00000000,0.68739260,0.00000000,0.78354365,0.46399139
-5.40570285,1.52917018,0.20926766,0.00000000,0.64875112,0.00000000,0.74734137,0.44210475
-5.39969985,1.45318318,0.19881824,0.00000000,0.61007683,0.00000000,0.71091715,0.41994204
-5.39369685,1.37669690,0.18789672,0.00000000,0.57179075,0.00000000,0.67466362,0.39771861
-5.38769385,1.30058158,0.17666717,0.00000000,0.53430493,0.00000000,0.63894908,0.37564800
-5.38169085,1.22568475,0.16529330,0.00000000,0.49801639,0.00000000,0.60411448,0.35393973
-5.37568784,1.15282003,0.15393506,0.00000000,0.46330185,0.00000000,0.57047162,0.33279723
-5.36968484,1.08275721,0.14274529,0.00000000,0.43051303,0.00000000,0.53830244,0.31241591
-5.36368184,1.01621361,0.13186686,0.00000000,0.39997275,0.00000000,0.50785908,0.29298137
-5.35767884,0.95384658,0.12143025,0.00000000,0.37197180,0.00000000,0.47936452,0.27466787
-5.35167584,0.89624729,0.11155152,0.00000000,0.34676655,0.00000000,0.45301358,0.25763691
-5.34567284,0.84393559,0.10233082,0.00000000,0.32457739,0.00000000,0.42897396,0.24203606
-5.33966983,0.79735604,0.09385146,0.00000000,0.30558774,0.00000000,0.40738732,0.22799796
-5.33366683,0.75687508,0.08617942,0.00000000,0.28994383,0.00000000,0.38837021,0.21563955
-5.32766383,0.72277927,0.07936336,0.00000000,0.27775493,0.00000000,0.37201478,0.20506152
-5.32166083,0.69527465,0.07343510,0.00000000,0.26909418,0.00000000,0.35838945,0.19634801
-5.31565783,0.67448728,0.06841049,0.00000000,0.26399974,0.00000000,0.34753936,0.18956649
-5.30965483,0.66046499,0.06429064,0.00000000,0.26247639,0.00000000,0.33948697,0.18476790
-5.30365183,0.65318023,0.06106343,0.00000000,0.26449731,0.00000000,0.33423271,0.18198688
-5.29764882,0.65253418,0.05870526,0.00000000,0.27000613,0.00000000,0.33175587,0.18124233
-5.29164582,0.65836191,0.05718304,0.00000000,0.27891911,0.00000000,0.33201588,0.18253787
-5.28564282,0.67043857,0.05645617,0.00000000,0.29112729,0.00000000,0.33495390,0.18586250
-5.27963982,0.68848635,0.05647867,0.00000000,0.30649875,0.00000000,0.34049482,0.19119119
-5.27363682,0.71218207,0.05720126,0.00000000,0.32488063,0.00000000,0.34854959,0.19848539
-5.26763382,0.74116504,0.05857336,0.00000000,0.34610109,0.00000000,0.35901782,0.20769344
-5.26163082,0.77504496,0.06054496,0.00000000,0.36997097,0.00000000,0.37179040,0.21875067
-5.25562781,0.81340933,0.06306828,0.00000000,0.39628516,0.00000000,0.38675211,0.23157945
-5.24962481,0.85583036,0.06609920,0.00000000,0.42482367,0.00000000,0.40378388,0.24608877
-5.24362181,0.90187067,0.06959837,0.00000000,0.45535228,0.00000000,0.42276463,0.26217374
-5.23761881,0.95108790,0.07353195,0.00000000,0.48762294,0.00000000,0.44357240,0.27971479
-5.23161581,1.00303773,0.07787205,0.00000000,0.52137376,0.00000000,0.46608466,0.29857675
-5.22561281,1.05727545,0.08259661,0.00000000,0.55632890,0.00000000,0.49017776,0.31860792
-5.21960980,1.11335606,0.08768902,0.00000000,0.59219820,0.00000000,0.51572540,0.33963918
-5.21360680,1.17083285,0.09313722,0.00000000,0.62867698,0.00000000,0.54259624,0.36148334
-5.20760380,1.22925508,0.09893244,0.00000000,0.66544591,0.00000000,0.57065070,0.38393494
-5.20160080,1.28816469,0.10506759,0.00000000,0.70217126,0.00000000,0.59973725,0.40677048
-5.19559780,1.34709281,0.11153537,0.00000000,0.73850570,0.00000000,0.62968829,0.42974941
-5.18959480,1.40555637,0.11832619,0.00000000,0.77408978,0.00000000,0.66031605,0.45261585
-5.18359180,1.46305528,0.12542597,0.00000000,0.80855416,0.00000000,0.69140884,0.47510122
-5.17758879,1.51907086,0.13281399,0.00000000,0.84152288,0.00000000,0.72272786,0.49692768
-5.17158579,1.57306571,0.14046085,0.00000000,0.87261749,0.00000000,0.75400510,0.51781249
-5.16558279,1.62448548,0.14832671,0.00000000,0.90146214,0.00000000,0.78494252,0.53747307
-5.15957979,1.67276289,0.15635999,0.00000000,0.92768966,0.00000000,0.81521268,0.55563275
-5.15357679,1.71732381,0.16449649,0.00000000,0.95094820,0.00000000,0.84446119,0.57202687
-5.14757379,1.75759571,0.17265920,0.00000000,0.97090861,0.00000000,0.87231092,0.58640914
-5.14157079,1.79301807,0.18075875,0.00000000,0.98727200,0.00000000,0.89836797,0.59855798
-5.13556778,1.82305450,0.18869464,0.00000000,0.99977743,0.00000000,0.92222936,0.60828243
-5.12956478,1.84720623,0.19635715,0.00000000,1.00820923,0.00000000,0.94349215,0.61542760
-5.12356178,1.86502624,0.20362996,0.00000000,1.01240386,0.00000000,0.96176381,0.61987920
-5.11755878,1.87613373,0.21039345,0.00000000,1.01225580,0.00000000,0.97667326,0.62156717
-5.11155578,1.88022794,0.21652842,0.00000000,1.00772236,0.00000000,0.98788245,0.62046795
-5.10555278,1.87710096,0.22192026,0.00000000,0.99882706,0.00000000,0.99509763,0.61660568
-5.09954977,1.86664877,0.22646321,0.00000000,0.98566149,0.00000000,0.99808017,0.61005185
-5.09354677,1.84887997,0.23006470,0.00000000,0.96838541,0.00000000,0.99665613,0.60092382
-5.08754377,1.82392168,0.23264937,0.00000000,0.94722513,0.00000000,0.99072437,0.58938200
-5.08154077,1.79202236,0.23416272,0.00000000,0.92247015,0.00000000,0.98026258,0.57562592
-5.07553777,1.75355105,0.23457407,0.00000000,0.89446806,0.00000000,0.96533111,0.55988936
-5.06953477,1.70899314,0.23387873,0.00000000,0.86361783,0.00000000,0.94607409,0.54243466
-5.06353177,1.65894249,0.23209923,0.00000000,0.83036178,0.00000000,0.92271800,0.52354653
