energy_ev,total_up,total_down,Cu_p_up,Cu_p_down,Cu_d_up,Cu_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-3.53876938,5.01523877,-5.01523876,0.77451908,-0.77451908,3.83531448,-3.83531448,0.00178953,-0.00178953,0.20149544,-0.20149544,0.19330730,-0.19330730,0.67928469,-0.67928469,0.00865061,-0.00865061,0.25943362,-0.25943362
-3.53276638,5.04126636,-5.04126636,0.78353445,-0.78353444,3.85565515,-3.85565515,0.00187506,-0.00187506,0.19737877,-0.19737877,0.19169019,-0.19169019,0.68328483,-0.68328483,0.00875481,-0.00875481,0.26485694,-0.26485694
-3.52676338,5.07285863,-5.07285863,0.79432637,-0.79432637,3.87972511,-3.87972511,0.00196449,-0.00196449,0.19354102,-0.19354102,0.19031803,-0.19031803,0.68832896,-0.68832896,0.00886696,-0.00886696,0.27045663,-0.27045663
-3.52076038,5.10999458,-5.10999458,0.80683359,-0.80683359,3.90748880,-3.90748880,0.00205699,-0.00205699,0.19000173,-0.19000173,0.18921434,-0.18921435,0.69441153,-0.69441152,0.00898371,-0.00898371,0.27623170,-0.27623170
-3.51475738,5.15248887,-5.15248887,0.82096635,-0.82096635,3.93877918,-3.93877918,0.00215156,-0.00215156,0.18677737,-0.18677737,0.18839898,-0.18839898,0.70150229,-0.70150229,0.00910181,-0.00910181,0.28217861,-0.28217861
-3.50875438,5.19996747,-5.19996747,0.83659896,-0.83659896,3.97328093,-3.97328093,0.00224699,-0.00224699,0.18388023,-0.18388023,0.18788637,-0.18788637,0.70954333,-0.70954333,0.00921809,-0.00921809,0.28828967,-0.28828967
-3.50275138,5.25185157,-5.25185157,0.85356396,-0.85356396,4.01052035,-4.01052035,0.00234192,-0.00234192,0.18131737,-0.18131737,0.18768401,-0.18768402,0.71844725,-0.71844725,0.00932954,-0.00932954,0.29455153,-0.29455153
-3.49674837,5.30735106,-5.30735106,0.87164819,-0.87164819,4.04986294,-4.04986294,0.00243483,-0.00243483,0.17908976,-0.17908976,0.18779122,-0.18779122,0.72809657,-0.72809657,0.00943340,-0.00943340,0.30094394,-0.30094394
-3.49074537,5.36546885,-5.36546885,0.89059132,-0.89059132,4.09051963,-4.09051963,0.00252410,-0.00252410,0.17719157,-0.17719157,0.18819818,-0.18819819,0.73834457,-0.73834457,0.00952722,-0.00952722,0.30743870,-0.30743870
-3.48474237,5.42501634,-5.42501633,0.91008683,-0.91008683,4.13156177,-4.13156177,0.00260804,-0.00260804,0.17560971,-0.17560971,0.18888553,-0.18888553,0.74901745,-0.74901745,0.00960890,-0.00960890,0.31399910,-0.31399910
-3.47873937,5.48464016,-5.48464016,0.92978576,-0.92978576,4.17194482,-4.17194482,0.00268496,-0.00268496,0.17432355,-0.17432355,0.18982422,-0.18982423,0.75991795,-0.75991795,0.00967680,-0.00967680,0.32057971,-0.32057971
-3.47273637,5.54285936,-5.54285936,0.94930303,-0.94930303,4.21054005,-4.21054005,0.00275319,-0.00275319,0.17330497,-0.17330497,0.19097600,-0.19097601,0.77083015,-0.77083015,0.00972980,-0.00972980,0.32712671,-0.32712671
-3.46673337,5.59811169,-5.59811168,0.96822626,-0.96822626,4.24617296,-4.24617296,0.00281120,-0.00281120,0.17251869,-0.17251869,0.19229429,-0.19229429,0.78152540,-0.78152540,0.00976734,-0.00976734,0.33357875,-0.33357875
-3.46073037,5.64880717,-5.64880717,0.98612666,-0.98612666,4.27766685,-4.27766685,0.00285759,-0.00285759,0.17192292,-0.17192292,0.19372552,-0.19372552,0.79176909,-0.79176909,0.00978945,-0.00978945,0.33986826,-0.33986826
-3.45472736,5.69338652,-5.69338652,1.00257159,-1.00257159,4.30388956,-4.30388956,0.00289123,-0.00289123,0.17147022,-0.17147022,0.19521087,-0.19521087,0.80132800,-0.80132800,0.00979677,-0.00979677,0.34592331,-0.34592331
-3.44872436,5.73038165,-5.73038165,1.01713824,-1.01713824,4.32380099,-4.32380099,0.00291127,-0.00291127,0.17110875,-0.17110875,0.19668830,-0.19668830,0.80997789,-0.80997789,0.00979053,-0.00979053,0.35166983,-0.35166984
-3.44272136,5.75847530,-5.75847530,1.02942774,-1.02942774,4.33649910,-4.33649910,0.00291718,-0.00291718,0.17078368,-0.17078368,0.19809482,-0.19809483,0.81751106,-0.81751106,0.00977255,-0.00977255,0.35703419,-0.35703419
-3.43671836,5.77655677,-5.77655677,1.03907903,-1.03907903,4.34126190,-4.34126190,0.00290883,-0.00290883,0.17043886,-0.17043886,0.19936891,-0.19936891,0.82374347,-0.82374347,0.00974510,-0.00974510,0.36194597,-0.36194597
-3.43071536,5.78377094,-5.78377094,1.04578186,-1.04578186,4.33758309,-4.33758309,0.00288650,-0.00288650,0.17001851,-0.17001851,0.20045283,-0.20045283,0.82852111,-0.82852111,0.00971088,-0.00971088,0.36634080,-0.36634080
-3.42471236,5.77955771,-5.77955771,1.04928818,-1.04928818,4.32519943,-4.32519943,0.00285090,-0.00285090,0.16946914,-0.16946914,0.20129493,-0.20129493,0.83172538,-0.83172538,0.00967287,-0.00967287,0.37016320,-0.37016320
-3.41870935,5.76368000,-5.76368000,1.04942145,-1.04942144,4.30410813,-4.30410813,0.00280316,-0.00280316,0.16874130,-0.16874129,0.20185167,-0.20185167,0.83327721,-0.83327721,0.00963421,-0.00963421,0.37336912,-0.37336912
