energy_ev,total_up,Bi_p_up,Bi_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-5.54377189,0.03345182,0.00039712,0.00004434,0.00000473,0.02669504,0.02384791,0.01609839
-5.53776888,0.02658910,0.00034990,0.00003545,0.00000386,0.02118474,0.01895525,0.01280139
-5.53176588,0.02104941,0.00032467,0.00002834,0.00000324,0.01672099,0.01499984,0.01013214
-5.52576288,0.01662477,0.00032255,0.00002275,0.00000285,0.01313448,0.01183341,0.00799135
-5.51975988,0.01313806,0.00034594,0.00001849,0.00000268,0.01027935,0.00932927,0.00629391
-5.51375688,0.01044128,0.00039877,0.00001538,0.00000274,0.00803148,0.00738090,0.00496800
-5.50775388,0.00841379,0.00048678,0.00001330,0.00000304,0.00628679,0.00590068,0.00395417
-5.50175088,0.00696053,0.00061789,0.00001219,0.00000360,0.00495944,0.00481857,0.00320447
-5.49574787,0.00601058,0.00080261,0.00001200,0.00000448,0.00398020,0.00408089,0.00268161
-5.48974487,0.00551584,0.00105449,0.00001275,0.00000574,0.00329489,0.00364934,0.00235827
-5.48374187,0.00545001,0.00139068,0.00001451,0.00000746,0.00286294,0.00350009,0.00221641
-5.47773887,0.00580781,0.00183249,0.00001738,0.00000975,0.00265615,0.00362308,0.00224683
-5.47173587,0.00660457,0.00240603,0.00002153,0.00001275,0.00265761,0.00402156,0.00244869
-5.46573287,0.00787598,0.00314284,0.00002717,0.00001662,0.00286083,0.00471170,0.00282929
-5.45972986,0.00967800,0.00408053,0.00003458,0.00002155,0.00326897,0.00572238,0.00340381
-5.45372686,0.01208696,0.00526338,0.00004410,0.00002778,0.00389419,0.00709510,0.00419517
-5.44772386,0.01519961,0.00674282,0.00005613,0.00003557,0.00475717,0.00888381,0.00523390
-5.44172086,0.01913299,0.00857786,0.00007115,0.00004524,0.00588660,0.01115477,0.00655800
-5.43571786,0.02402409,0.01083518,0.00008969,0.00005714,0.00731866,0.01398624,0.00821268
-5.42971486,0.03002901,0.01358913,0.00011236,0.00007166,0.00909648,0.01746791,0.01025001
-5.42371186,0.03732162,0.01692128,0.00013982,0.00008923,0.01126946,0.02170000,0.01272838
-5.41770885,0.04609128,0.02091961,0.00017280,0.00011032,0.01389240,0.02679198,0.01571165
-5.41170585,0.05653983,0.02567728,0.00021206,0.00013540,0.01702437,0.03286070,0.01926813
-5.40570285,0.06887742,0.03129084,0.00025839,0.00016500,0.02072740,0.04002793,0.02346904
-5.39969985,0.08331719,0.03785795,0.00031259,0.00019963,0.02506472,0.04841731,0.02838674
-5.39369685,0.10006891,0.04547447,0.00037547,0.00023980,0.03009877,0.05815054,0.03409250
-5.38769385,0.11933129,0.05423114,0.00044776,0.00028597,0.03588886,0.06934298,0.04065389
-5.38169085,0.14128338,0.06420962,0.00053015,0.00033859,0.04248852,0.08209858,0.04813180
-5.37568784,0.16607502,0.07547820,0.00062318,0.00039801,0.04994256,0.09650433,0.05657722
-5.36968484,0.19381670,0.08808724,0.00072728,0.00046450,0.05828406,0.11262441,0.06602773
-5.36368184,0.22456915,0.10206446,0.00084268,0.00053821,0.06753116,0.13049407,0.07650398
-5.35767884,0.25833314,0.11741026,0.00096938,0.00061913,0.07768402,0.15011373,0.08800622
-5.35167584,0.29503992,0.13409344,0.00110712,0.00070711,0.08872192,0.17144343,0.10051101
-5.34567284,0.33454286,0.15204741,0.00125536,0.00080178,0.10060071,0.19439795,0.11396839
-5.33966983,0.37661095,0.17116718,0.00141322,0.00090260,0.11325090,0.21884304,0.12829964
-5.33366683,0.42092453,0.19130750,0.00157951,0.00100881,0.12657635,0.24459294,0.14339587
-5.32766383,0.46707390,0.21228218,0.00175268,0.00111941,0.14045384,0.27140957,0.15911750
-5.32166083,0.51456120,0.23386494,0.00193088,0.00123322,0.15473362,0.29900361,0.17529491
-5.31565783,0.56280578,0.25579193,0.00211192,0.00134885,0.16924109,0.32703764,0.19173031
-5.30965483,0.61115334,0.27776576,0.00229335,0.00146472,0.18377943,0.35513142,0.20820076
-5.30365183,0.65888863,0.29946141,0.00247248,0.00157912,0.19813354,0.38286928,0.22446262
-5.29764882,0.70525162,0.32053347,0.00264648,0.00169024,0.21207481,0.40980953,0.24025695
-5.29164582,0.74945673,0.34062496,0.00281238,0.00179618,0.22536693,0.43549559,0.25531611
-5.28564282,0.79071430,0.35937706,0.00296723,0.00189505,0.23777232,0.45946847,0.26937108
-5.27963982,0.82825377,0.37643965,0.00310814,0.00198501,0.24905912,0.48128026,0.28215932
-5.27363682,0.86134748,0.39148215,0.00323239,0.00206432,0.25900832,0.50050788,0.29343290
-5.26763382,0.88933414,0.40420421,0.00333750,0.00213138,0.26742078,0.51676677,0.30296650
-5.26163082,0.91164095,0.41434573,0.00342134,0.00218482,0.27412386,0.52972363,0.31056492
-5.25562781,0.92780326,0.42169588,0.00348217,0.00222353,0.27897736,0.53910790,0.31606978
-5.24962481,0.93748103,0.42610054,0.00351874,0.00224669,0.28187835,0.54472121,0.31936513
-5.24362181,0.94047105,0.42746794,0.00353031,0.00225381,0.28276486,0.54644447,0.32038158
-5.23761881,0.93671464,0.42577217,0.00351669,0.00224474,0.28161812,0.54424224,0.31909897
-5.23161581,0.92630014,0.42105433,0.00347826,0.00221970,0.27846326,0.53816411,0.31554712
-5.22561281,0.90946033,0.41342145,0.00341593,0.00217922,0.27336846,0.52834313,0.30980503
-5.21960980,0.88656488,0.40304307,0.00333116,0.00212419,0.26644256,0.51499124,0.30199824
-5.21360680,0.85810813,0.39014580,0.00322589,0.00205578,0.25783138,0.49839209,0.29229464
-5.20760380,0.82469295,0.37500598,0.00310248,0.00197543,0.24771266,0.47889147,0.28089900
-5.20160080,0.78701143,0.35794103,0.00296366,0.00188477,0.23629023,0.45688592,0.26804635
-5.19559780,0.74582335,0.33929972,0.00281242,0.00178561,0.22378741,0.43281004,0.25399460
-5.18959480,0.70193350,0.31945194,0.00265197,0.00167985,0.21044005,0.40712304,0.23901682
-5.18359180,0.65616878,0.29877833,0.00248563,0.00156944,0.19648959,0.38029529,0.22339343
-5.17758879,0.60935614,0.27766031,0.00231674,0.00145634,0.18217631,0.35279519,0.20740464
-5.17158579,0.56230222,0.25647090,0.00214863,0.00134243,0.16773320,0.32507718,0.19132350
-5.16558279,0.51577542,0.23556651,0.00198450,0.00122953,0.15338052,0.29757104,0.17540983
-5.15957979,0.47049095,0.21528018,0.00182743,0.00111929,0.13932137,0.27067308,0.15990505
-5.15357679,0.42709915,0.19591618,0.00168025,0.00101322,0.12573826,0.24473917,0.14502828
-5.14757379,0.38617738,0.17774615,0.00154560,0.00091266,0.11279084,0.22007998,0.13097357
-5.14157079,0.34822518,0.16100682,0.00142582,0.00081872,0.10061476,0.19695816,0.11790830
-5.13556778,0.31366272,0.14589896,0.00132300,0.00073238,0.08932148,0.17558752,0.10597267
-5.12956478,0.28283192,0.13258765,0.00123895,0.00065437,0.07899919,0.15613397,0.09528021
-5.12356178,0.25599988,0.12120340,0.00117518,0.00058529,0.06971428,0.13871784,0.08591900
-5.11755878,0.23336398,0.11184406,0.00113294,0.00052555,0.06151366,0.12341740,0.07795353
-5.11155578,0.21505807,0.10457706,0.00111320,0.00047542,0.05442729,0.11027313,0.07142692
-5.10555278,0.20115908,0.09944197,0.00111665,0.00043505,0.04847102,0.09929248,0.06636336
-5.09954977,0.19169363,0.09645279,0.00114371,0.00040449,0.04364945,0.09045471,0.06277045
-5.09354677,0.18664401,0.09560023,0.00119452,0.00038368,0.03995857,0.08371565,0.06064145
-5.08754377,0.18595332,0.09685338,0.00126894,0.00037251,0.03738813,0.07901193,0.05995716
-5.08154077,0.18952934,0.10016105,0.00136654,0.00037078,0.03592349,0.07626479,0.06068743
-5.07553777,0.19724725,0.10545263,0.00148657,0.00037828,0.03554705,0.07538312,0.06279218
-5.06953477,0.20895090,0.11263839,0.00162797,0.00039470,0.03623899,0.07626573,0.06622196
-5.06353177,0.22445311,0.12160958,0.00178934,0.00041974,0.03797740,0.07880302,0.07091815
-5.05752876,0.24353489,0.13223821,0.00196896,0.00045301,0.04073790,0.08287784,0.07681273
-5.05152576,0.26594414,0.14437683,0.00216472,0.00049409,0.04449263,0.08836585,0.08382780
-5.04552276,0.29139411,0.15785847,0.00237422,0.00054251,0.04920886,0.09513553,0.09187502
-5.03951976,0.31956200,0.17249688,0.00259469,0.00059771,0.05484727,0.10304781,0.10085501
-5.03351676,0.35008825,0.18808730,0.00282311,0.00065908,0.06136000,0.11195574,0.11065693
-5.02751376,0.38257675,0.20440794,0.00305616,0.00072592,0.06868871,0.12170415,0.12115835
-5.02151076,0.41659644,0.22122218,0.00329034,0.00079747,0.07676276,0.13212971,0.13222548
-5.01550775,0.45168450,0.23828170,0.00352202,0.00087286,0.08549766,0.14306120,0.14371399
-5.00950475,0.48735134,0.25533039,0.00374752,0.00095117,0.09479403,0.15432049,0.15547039
-5.00350175,0.52308753,0.27210920,0.00396317,0.00103139,0.10453710,0.16572395,0.16733400
-4.99749875,0.55837242,0.28836160,0.00416548,0.00111246,0.11459689,0.17708451,0.17913962
-4.99149575,0.59268449,0.30383967,0.00435116,0.00119328,0.12482922,0.18821439,0.19072072
-4.98549275,0.62551307,0.31831048,0.00451726,0.00127275,0.13507751,0.19892824,0.20191312
-4.97948974,0.65637090,0.33156263,0.00466129,0.00134975,0.14517535,0.20904681,0.21255915
-4.97348674,0.68480726,0.34341248,0.00478125,0.00142320,0.15494989,0.21840093,0.22251184
-4.96748374,0.71042097,0.35371003,0.00487574,0.00149210,0.16422580,0.22683553,0.23163932
-4.96148074,0.73287260,0.36234391,0.00494400,0.00155554,0.17282979,0.23421375,0.23982895
-4.95547774,0.75189553,0.36924536,0.00498594,0.00161273,0.18059547,0.24042072,0.24699105
-4.94947474,0.76730498,0.37439091,0.00500217,0.00166304,0.18736829,0.24536695,0.25306212
-4.94347174,0.77900465,0.37780360,0.00499398,0.00170601,0.19301044,0.24899111,0.25800719
-4.93746873,0.78699063,0.37955256,0.00496328,0.00174138,0.19740538,0.25126202,0.26182132
-4.93146573,0.79135205,0.37975096,0.00491257,0.00176907,0.20046194,0.25217984,0.26452993
-4.92546273,0.79226852,0.37855236,0.00484484,0.00178923,0.20211753,0.25177622,0.26618815
-4.91945973,0.79000432,0.37614547,0.00476347,0.00180220,0.20234072,0.25011353,0.26687888
-4.91345673,0.78489942,0.37274770,0.00467214,0.00180850,0.20113260,0.24728313,0.26670986
-4.90745373,0.77735795,0.36859754,0.00457467,0.00180882,0.19852729,0.24340275,0.26580978
-4.90145073,0.76783430,0.36394629,0.00447494,0.00180397,0.19459131,0.23861318,0.26432349
-4.89544772,0.75681782,0.35904945,0.00437671,0.00179490,0.18942206,0.23307434,0.26240673
-4.88944472,0.74481669,0.35415811,0.00428355,0.00178259,0.18314530,0.22696106,0.26022054
-4.88344172,0.73234182,0.34951086,0.00419874,0.00176806,0.17591206,0.22045871,0.25792557
-4.87743872,0.71989168,0.34532662,0.00412514,0.00175232,0.16789489,0.21375893,0.25567681
-4.87143572,0.70793886,0.34179869,0.00406518,0.00173634,0.15928387,0.20705579,0.25361878
-4.86543272,0.69691897,0.33909043,0.00402077,0.00172101,0.15028239,0.20054244,0.25188167
-4.85942971,0.68722270,0.33733273,0.00399334,0.00170709,0.14110312,0.19440851,0.25057850
-4.85342671,0.67919121,0.33662344,0.00398383,0.00169525,0.13196416,0.18883840,0.24980363
-4.84742371,0.67311529,0.33702893,0.00399271,0.00168601,0.12308561,0.18401043,0.24963246
-4.84142071,0.66923808,0.33858738,0.00402012,0.00167977,0.11468662,0.18009695,0.25012262
-4.83541771,0.66776124,0.34131397,0.00406586,0.00167680,0.10698300,0.17726519,0.25131638
-4.82941471,0.66885395,0.34520740,0.00412958,0.00167727,0.10018537,0.17567878,0.25324411
-4.82341171,0.67266402,0.35025739,0.00421082,0.00168125,0.09449775,0.17549971,0.25592860
-4.81740870,0.67933033,0.35645275,0.00430918,0.00168879,0.09011651,0.17689043,0.25938996
-4.81140570,0.68899525,0.36378924,0.00442440,0.00169988,0.08722957,0.18001567,0.26365050
-4.80540270,0.70181630,0.37227693,0.00455645,0.00171456,0.08601563,0.18504383,0.26873944
-4.79939970,0.71797551,0.38194612,0.00470561,0.00173287,0.08664316,0.19214743,0.27469686
-4.79339670,0.73768567,0.39285160,0.00487254,0.00175495,0.08926917,0.20150238,0.28157656
-4.78739370,0.76119249,0.40507455,0.00505826,0.00178099,0.09403739,0.21328573,0.28944744
-4.78139070,0.78877178,0.41872184,0.00526413,0.00181129,0.10107580,0.22767184,0.29839313
-4.77538769,0.82072155,0.43392251,0.00549184,0.00184623,0.11049348,0.24482677,0.30850981
-4.76938469,0.85734849,0.45082132,0.00574324,0.00188626,0.12237671,0.26490092,0.31990193
-4.76338169,0.89894959,0.46956962,0.00602028,0.00193188,0.13678431,0.28802014,0.33267616
-4.75737869,0.94578907,0.49031374,0.00632478,0.00198359,0.15374254,0.31427559,0.34693361
-4.75137569,0.99807195,0.51318159,0.00665829,0.00204190,0.17323962,0.34371269,0.36276072
-4.74537269,1.05591553,0.53826796,0.00702188,0.00210720,0.19522009,0.37631980,0.38021929
-4.73936968,1.11932021,0.56561943,0.00741593,0.00217975,0.21957964,0.41201722,0.39933621
-4.73336668,1.18814180,0.59521981,0.00783996,0.00225966,0.24616044,0.45064719,0.42009348
-4.72736368,1.26206681,0.62697698,0.00829243,0.00234677,0.27474763,0.49196569,0.44241923
-4.72136068,1.34059288,0.66071213,0.00877061,0.00244064,0.30506729,0.53563663,0.46618035
-4.71535768,1.42301599,0.69615221,0.00927052,0.00254055,0.33678617,0.58122923,0.49117735
-4.70935468,1.50842577,0.73292632,0.00978686,0.00264543,0.36951363,0.62821899,0.51714204
-4.70335168,1.59571023,0.77056663,0.01031305,0.00275387,0.40280597,0.67599274,0.54373821
-4.69734867,1.68357029,0.80851413,0.01084129,0.00286416,0.43617312,0.72385785,0.57056585
-4.69134567,1.77054440,0.84612919,0.01136278,0.00297428,0.46908791,0.77105569,0.59716862
-4.68534267,1.85504261,0.88270690,0.01186786,0.00308197,0.50099749,0.81677901,0.62304470
-4.67933967,1.93538913,0.91749643,0.01234631,0.00318482,0.53133686,0.86019270,0.64766054
-4.67333667,2.00987182,0.94972403,0.01278770,0.00328027,0.55954378,0.90045728,0.67046697
-4.66733367,2.07679648,0.97861826,0.01318165,0.00336577,0.58507480,0.93675419,0.69091706
-4.66133067,2.13454363,1.00343673,0.01351826,0.00343882,0.60742154,0.96831175,0.70848498
-4.65532766,2.18162511,1.02349282,0.01378846,0.00349709,0.62612661,0.99443074,0.72268472
-4.64932466,2.21673783,1.03818119,0.01398430,0.00353852,0.64079843,1.01450829,0.73308816
-4.64332166,2.23881201,1.04700086,0.01409930,0.00356134,0.65112425,1.02805911,0.73934121
-4.63731866,2.24705170,1.04957464,0.01412867,0.00356421,0.65688077,1.03473282,0.74117753
-4.63131566,2.24096526,1.04566408,0.01406953,0.00354624,0.65794172,1.03432672,0.73842901
-4.62531266,2.22038475,1.03517906,0.01392100,0.00350701,0.65428223,1.02679324,0.73103246
-4.61930965,2.18547289,1.01818176,0.01368427,0.00344664,0.64597952,1.01224181,0.71903237
-4.61330665,2.13671769,0.99488468,0.01336253,0.00336574,0.63321002,0.99093495,0.70257944
-4.60730365,2.07491491,0.96564306,0.01296086,0.00326538,0.61624306,0.96327890,0.68192522
-4.60130065,2.00113943,0.93094204,0.01248608,0.00314712,0.59543134,0.92980923,0.65741293
-4.59529765,1.91670712,0.89137931,0.01194647,0.00301287,0.57119878,0.89117218,0.62946521
-4.58929465,1.82312912,0.84764419,0.01135152,0.00286486,0.54402618,0.84810263,0.59856928
-4.58329165,1.72206088,0.80049421,0.01071156,0.00270559,0.51443552,0.80139981,0.56526039
-4.57728864,1.61524842,0.75073032,0.01003747,0.00253769,0.48297352,0.75190182,0.53010426
-4.57128564,1.50447434,0.69917193,0.00934033,0.00236387,0.45019522,0.70046021,0.49367941
-4.56528264,1.39150591,0.64663290,0.00863109,0.00218685,0.41664826,0.64791560,0.45656019
-4.55927964,1.27804732,0.59389944,0.00792028,0.00200927,0.38285852,0.59507531,0.41930112
-4.55327664,1.16569812,0.54171081,0.00721776,0.00183360,0.34931755,0.54269398,0.38242321
-4.54727364,1.05591881,0.49074340,0.00653252,0.00166214,0.31647226,0.49145752,0.34640269
-4.54127064,0.95000493,0.44159869,0.00587249,0.00149695,0.28471708,0.44197100,0.31166245
-4.53526763,0.84906964,0.39479524,0.00524448,0.00133981,0.25438873,0.39475058,0.27856630
-4.52926463,0.75403504,0.35076470,0.00465409,0.00119224,0.22576351,0.35021939,0.24741609
-4.52326163,0.66563160,0.30985156,0.00410576,0.00105546,0.19905708,0.30870730,0.21845150
-4.51725863,0.58440494,0.27231643,0.00360277,0.00093046,0.17442638,0.27045392,0.19185220
-4.51125563,0.51072876,0.23834212,0.00314736,0.00081794,0.15197338,0.23561463,0.16774213
-4.50525263,0.44482274,0.20804197,0.00274084,0.00071842,0.13175035,0.20426878,0.14619529
-4.49924962,0.38677381,0.18146991,0.00238371,0.00063222,0.11376615,0.17642958,0.12724274
-4.49324662,0.33655957,0.15863128,0.00207582,0.00055954,0.09799316,0.15205496,0.11088022
-4.48724362,0.29407221,0.13949400,0.00181652,0.00050044,0.08437444,0.13105876,0.09707602
-4.48124062,0.25914177,0.12399933,0.00160480,0.00045494,0.07283081,0.11332175,0.08577852
-4.47523762,0.23155761,0.11207167,0.00143947,0.00042301,0.06326748,0.09870198,0.07692324
-4.46923462,0.21108708,0.10362707,0.00131918,0.00040461,0.05557993,0.08704389,0.07043886
-4.46323162,0.19749068,0.09857985,0.00124260,0.00039972,0.04965901,0.07818616,0.06625210
-4.45722861,0.19053324,0.09684739,0.00120846,0.00040833,0.04539495,0.07196787,0.06429131
-4.45122561,0.18999075,0.09835266,0.00121557,0.00043046,0.04268035,0.06823292,0.06448856
-4.44522261,0.19565297,0.10302465,0.00126286,0.00046614,0.04141205,0.06683277,0.06678028
-4.43921961,0.20732182,0.11079672,0.00134933,0.00051541,0.04149202,0.06762751,0.07110662
-4.43321661,0.22480597,0.12160304,0.00147405,0.00057831,0.04282730,0.07048535,0.07740938
-4.42721361,0.24791221,0.13537343,0.00163606,0.00065479,0.04532913,0.07528090,0.08562896
-4.42121061,0.27643421,0.15202685,0.00183431,0.00074476,0.04891149,0.08189233,0.09570045
-4.41520760,0.31013960,0.17146410,0.00206756,0.00084799,0.05348913,0.09019775,0.10754905
-4.40920460,0.34875606,0.19356015,0.00233429,0.00096410,0.05897540,0.10007124,0.12108534
-4.40320160,0.39195764,0.21815648,0.00263258,0.00109249,0.06527996,0.11137865,0.13620049
-4.39719860,0.43935206,0.24505418,0.00296006,0.00123236,0.07230670,0.12397368,0.15276190
-4.39119560,0.49047009,0.27400811,0.00331378,0.00138262,0.07995187,0.13769441,0.17060958
-4.38519260,0.54475776,0.30472276,0.00369022,0.00154193,0.08810276,0.15236066,0.18955347
-4.37918959,0.60157231,0.33685005,0.00408517,0.00170861,0.09663692,0.16777237,0.20937210
-4.37318659,0.66018234,0.36998965,0.00449379,0.00188074,0.10542214,0.18370917,0.22981270
-4.36718359,0.71977269,0.40369179,0.00491061,0.00205608,0.11431710,0.19993128,0.25059292
-4.36118059,0.77945412,0.43746288,0.00532963,0.00223217,0.12317286,0.21618183,0.27140430
-4.35517759,0.83827789,0.47077375,0.00574434,0.00240632,0.13183504,0.23219050,0.29191736
-4.34917459,0.89525465,0.50307043,0.00614791,0.00257570,0.14014667,0.24767847,0.31178822
-4.34317159,0.94937730,0.53378709,0.00653333,0.00273741,0.14795167,0.26236436,0.33066662
-4.33716858,0.99964678,0.56236070,0.00689359,0.00288851,0.15509860,0.27597119,0.34820496
-4.33116558,1.04509991,0.58824683,0.00722185,0.00302617,0.16144480,0.28823369,0.36406797
-4.32516258,1.08483797,0.61093592,0.00751167,0.00314768,0.16686043,0.29890601,0.37794281
-4.31915958,1.11805470,0.62996920,0.00775719,0.00325061,0.17123246,0.30776912,0.38954878
-4.31315658,1.14406258,0.64495377,0.00795335,0.00333283,0.17446823,0.31463785,0.39864660
-4.30715358,1.16231591,0.65557579,0.00809600,0.00339261,0.17649847,0.31936696,0.40504643
