energy_ev,total_up,Hg_p_up,Hg_d_up,Pb_p_up,Pb_d_up,Te_p_up,Te_d_up
3.43071536,2.29972417,2.09048456,0.00888741,1.20176943,0.00009553,0.63365034,0.00000000
3.43671836,2.33596632,2.07913893,0.00920657,1.24847312,0.00009758,0.65583714,0.00000000
3.44272136,2.37026761,2.06509765,0.00952473,1.29339233,0.00009944,0.67798142,0.00000000
3.44872436,2.40174157,2.04804098,0.00983354,1.33529625,0.00010106,0.69967854,0.00000000
3.45472736,2.42958494,2.02766682,0.01012505,1.37300908,0.00010242,0.72056178,0.00000000
3.46073037,2.45310427,2.00370291,0.01039185,1.40544370,0.00010348,0.74031505,0.00000000
3.46673337,2.47174225,1.97592194,0.01062740,1.43163369,0.00010421,0.75868441,0.00000000
3.47273637,2.48510255,1.94415832,0.01082615,1.45076230,0.00010459,0.77548795,0.00000000
3.47873937,2.49297140,1.90832562,0.01098375,1.46218721,0.00010460,0.79062332,0.00000000
3.48474237,2.49533454,1.86843317,0.01109722,1.46545989,0.00010425,0.80407255,0.00000000
3.49074537,2.49238783,1.82460046,0.01116502,1.46033851,0.00010353,0.81590375,0.00000000
3.49674837,2.48454066,1.77706806,0.01118712,1.44679396,0.00010245,0.82626943,0.00000000
3.50275138,2.47241101,1.72620374,0.01116503,1.42500833,0.00010104,0.83540135,0.00000000
3.50875438,2.45681194,1.67250315,0.01110172,1.39536621,0.00009931,0.84360197,0.00000000
3.51475738,2.43872948,1.61658427,0.01100153,1.35843874,0.00009732,0.85123283,0.00000000
3.52076038,2.41929251,1.55917561,0.01087003,1.31496147,0.00009511,0.85870025,0.00000000
3.52676338,2.39973563,1.50109833,0.01071376,1.26580687,0.00009273,0.86643888,0.00000000
3.53276638,2.38135642,1.44324285,0.01054005,1.21195265,0.00009025,0.87489387,0.00000000
3.53876938,2.36546890,1.38654097,0.01035672,1.15444749,0.00008772,0.88450244,0.00000000
3.54477239,2.35335510,1.33193462,0.01017176,1.09437556,0.00008520,0.89567556,0.00000000
3.55077539,2.34621685,1.28034264,0.00999306,1.03282134,0.00008277,0.90878062,0.00000000
3.55677839,2.34512986,1.23262726,0.00982811,0.97083629,0.00008047,0.92412579,0.00000000
3.56278139,2.35100192,1.18956161,0.00968371,0.90940852,0.00007836,0.94194666,0.00000000
3.56878439,2.36453707,1.15179997,0.00956573,0.84943661,0.00007649,0.96239575,0.00000000
3.57478739,2.38620698,1.11985201,0.00947890,0.79170847,0.00007490,0.98553514,0.00000000
3.58079040,2.41623065,1.09406213,0.00942662,0.73688565,0.00007361,1.01133253,0.00000000
3.58679340,2.45456298,1.07459508,0.00941089,0.68549349,0.00007264,1.03966064,0.00000000
3.59279640,2.50089257,1.06142820,0.00943219,0.63791703,0.00007199,1.07029995,0.00000000
3.59879940,2.55464841,1.05435089,0.00948954,0.59440244,0.00007166,1.10294440,0.00000000
3.60480240,2.61501517,1.05297125,0.00958049,0.55506354,0.00007164,1.13720983,0.00000000
3.61080540,2.68095627,1.05672969,0.00970129,0.51989263,0.00007189,1.17264465,0.00000000
3.61680840,2.75124371,1.06491909,0.00984699,0.48877501,0.00007239,1.20874229,0.00000000
3.62281141,2.82449350,1.07671064,0.01001166,0.46150631,0.00007309,1.24495488,0.00000000
3.62881441,2.89920564,1.09118458,0.01018860,0.43781172,0.00007394,1.28070776,0.00000000
3.63481741,2.97380716,1.10736463,0.01037061,0.41736635,0.00007490,1.31541430,0.00000000
3.64082041,3.04669705,1.12425498,0.01055028,0.39981590,0.00007591,1.34849065,0.00000000
3.64682341,3.11629194,1.14087850,0.01072021,0.38479694,0.00007693,1.37937005,0.00000000
3.65282641,3.18107125,1.15631483,0.01087334,0.37195622,0.00007792,1.40751642,0.00000000
3.65882941,3.23962081,1.16973717,0.01100317,0.36096848,0.00007883,1.43243704,0.00000000
3.66483242,3.29067407,1.18044643,0.01110403,0.35155238,0.00007965,1.45369405,0.00000000
3.67083542,3.33314982,1.18790166,0.01117128,0.34348427,0.00008035,1.47091472,0.00000000
3.67683842,3.36618595,1.19174576,0.01120151,0.33660959,0.00008093,1.48380047,0.00000000
