energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-5.63381691,2.74722622,0.54727176,0.78930178,0.01451894,0.11710606,0.38910757,1.45117261,0.40260994,0.00000000
-5.62781391,2.71635891,0.55234207,0.75786508,0.01388885,0.11772781,0.38466641,1.46058470,0.40070970,0.00000000
-5.62181091,2.69237696,0.56057946,0.72979337,0.01321326,0.11838538,0.38248400,1.47176127,0.40041899,0.00000000
-5.61580790,2.67611198,0.57227202,0.70544183,0.01250069,0.11910477,0.38270596,1.48490095,0.40189709,0.00000000
-5.60980490,2.66814813,0.58763105,0.68505722,0.01176051,0.11991162,0.38543057,1.50010961,0.40525863,0.00000000
-5.60380190,2.66881073,0.60677935,0.66877612,0.01100264,0.12082965,0.39070456,1.51739942,0.41056933,0.00000000
-5.59779890,2.67816510,0.62974136,0.65662722,0.01023724,0.12187929,0.39852026,1.53669260,0.41784299,0.00000000
-5.59179590,2.69602532,0.65643579,0.64853734,0.00947436,0.12307626,0.40881403,1.55782968,0.42704013,0.00000000
-5.58579290,2.72197210,0.68667105,0.64434063,0.00872366,0.12443039,0.42146624,1.58058190,0.43806819,0.00000000
-5.57978989,2.75537850,0.72014382,0.64379036,0.00799416,0.12594462,0.43630267,1.60466681,0.45078330,0.00000000
-5.57378689,2.79544237,0.75644114,0.64657277,0.00729401,0.12761425,0.45309745,1.62976622,0.46499373,0.00000000
-5.56778389,2.84122337,0.79504611,0.65232207,0.00663033,0.12942655,0.47157742,1.65554548,0.48046470,0.00000000
-5.56178089,2.89168309,0.83534728,0.66063611,0.00600907,0.13136057,0.49142791,1.68167288,0.49692458,0.00000000
-5.55577789,2.94572617,0.87665162,0.67109192,0.00543498,0.13338750,0.51229973,1.70783803,0.51407223,0.00000000
-5.54977489,3.00224073,0.91820087,0.68326055,0.00491154,0.13547115,0.53381733,1.73376822,0.53158529,0.00000000
-5.54377189,3.06013625,0.95919079,0.69672075,0.00444105,0.13756893,0.55558777,1.75924164,0.54912906,0.00000000
-5.53776888,3.11837751,0.99879294,0.71107091,0.00402465,0.13963300,0.57721051,1.78409695,0.56636585,0.00000000
-5.53176588,3.17601336,1.03617796,0.72593912,0.00366244,0.14161176,0.59828755,1.80823847,0.58296428,0.00000000
-5.52576288,3.23219932,1.07053988,0.74099098,0.00335358,0.14345149,0.61843366,1.83163677,0.59860840,0.00000000
-5.51975988,3.28621351,1.10112035,0.75593512,0.00309648,0.14509808,0.63728654,1.85432479,0.61300625,0.00000000
-5.51375688,3.33746558,1.12723191,0.77052640,0.00288889,0.14649891,0.65451640,1.87638958,0.62589748,0.00000000
-5.50775388,3.38549890,1.14827927,0.78456690,0.00272811,0.14760466,0.66983474,1.89796039,0.63705997,0.00000000
-5.50175088,3.42998628,1.16377787,0.79790481,0.00261112,0.14837099,0.68300202,1.91919373,0.64631502,0.00000000
-5.49574787,3.47072007,1.17336878,0.81043152,0.00253471,0.14876016,0.69383388,1.94025638,0.65353109,0.00000000
-5.48974487,3.50759742,1.17682933,0.82207721,0.00249562,0.14874236,0.70220571,1.96130745,0.65862590,0.00000000
-5.48374187,3.54060213,1.17407903,0.83280519,0.00249067,0.14829677,0.70805549,1.98248042,0.66156696,0.00000000
-5.47773887,3.56978389,1.16518058,0.84260547,0.00251680,0.14741236,0.71138447,2.00386645,0.66237042,0.00000000
-5.47173587,3.59523667,1.15033586,0.85148786,0.00257119,0.14608825,0.71225608,2.02549975,0.66109844,0.00000000
-5.46573287,3.61707713,1.12987717,0.85947495,0.00265130,0.14433386,0.71079267,2.04734610,0.65785517,0.00000000
-5.45972986,3.63542450,1.10425417,0.86659545,0.00275486,0.14216853,0.70717050,2.06929499,0.65278170,0.00000000
-5.45372686,3.65038281,1.07401716,0.87287799,0.00287990,0.13962095,0.70161305,2.09115602,0.64604990,0.00000000
-5.44772386,3.66202640,1.03979737,0.87834589,0.00302472,0.13672820,0.69438284,2.11265971,0.63785585,0.00000000
-5.44172086,3.67038935,1.00228536,0.88301289,0.00318786,0.13353454,0.68577223,2.13346272,0.62841273,0.00000000
-5.43571786,3.67545914,0.96220833,0.88688019,0.00336802,0.13008998,0.67609337,2.15315729,0.61794378,0.00000000
-5.42971486,3.67717478,0.92030730,0.88993474,0.00356403,0.12644871,0.66566785,2.17128430,0.60667532,0.00000000
-5.42371186,3.67542922,0.87731524,0.89214893,0.00377472,0.12266737,0.65481632,2.18734943,0.59483031,0.00000000
-5.41770885,3.67007578,0.83393675,0.89348147,0.00399888,0.11880339,0.64384847,2.20084156,0.58262240,0.00000000
-5.41170585,3.66093796,0.79083021,0.89387960,0.00423515,0.11491323,0.63305389,2.21125246,0.57025090,0.00000000
-5.40570285,3.64782209,0.74859275,0.89328221,0.00448195,0.11105088,0.62269379,2.21809694,0.55789651,0.00000000
-5.39969985,3.63053191,0.70774861,0.89162389,0.00473742,0.10726635,0.61299423,2.22093241,0.54571808,0.00000000
-5.39369685,3.60888427,0.66874089,0.88883950,0.00499933,0.10360446,0.60414079,2.21937705,0.53385036,0.00000000
-5.38769385,3.58272502,0.63192685,0.88486917,0.00526510,0.10010384,0.59627491,2.21312578,0.52240267,0.00000000
-5.38169085,3.55194432,0.59757657,0.87966330,0.00553172,0.09679617,0.58949197,2.20196332,0.51145859,0.00000000
-5.37568784,3.51649055,0.56587471,0.87318742,0.00579580,0.09370578,0.58384112,2.18577398,0.50107642,0.00000000
-5.36968484,3.47638199,0.53692494,0.86542658,0.00605359,0.09084942,0.57932666,2.16454768,0.49129049,0.00000000
-5.36368184,3.43171599,0.51075669,0.85638905,0.00630107,0.08823640,0.57591104,2.13838217,0.48211302,0.00000000
-5.35767884,3.38267483,0.48733353,0.84610915,0.00653399,0.08586895,0.57351906,2.10748138,0.47353663,0.00000000
-5.35167584,3.32952821,0.46656281,0.83464900,0.00674801,0.08374278,0.57204317,2.07215017,0.46553714,0.00000000
-5.34567284,3.27263209,0.44830598,0.82209912,0.00693881,0.08184785,0.57134957,2.03278557,0.45807666,0.00000000
-5.33966983,3.21242386,0.43238908,0.80857771,0.00710223,0.08016927,0.57128475,1.98986513,0.45110675,0.00000000
-5.33366683,3.14941389,0.41861292,0.79422868,0.00723441,0.07868826,0.57168221,1.94393270,0.44457162,0.00000000
-5.32766383,3.08417385,0.40676273,0.77921846,0.00733193,0.07738318,0.57236907,1.89558226,0.43841108,0.00000000
-5.32166083,3.01732181,0.39661680,0.76373151,0.00739193,0.07623052,0.57317223,1.84544033,0.43256327,0.00000000
-5.31565783,2.94950498,0.38795399,0.74796488,0.00741224,0.07520581,0.57392389,1.79414756,0.42696690,0.00000000
-5.30965483,2.88138031,0.38056001,0.73212192,0.00739146,0.07428446,0.57446621,1.74234010,0.42156317,0.00000000
-5.30365183,2.81359382,0.37423227,0.71640524,0.00732902,0.07344243,0.57465488,1.69063133,0.41629704,0.00000000
-5.29764882,2.74675931,0.36878355,0.70100946,0.00722524,0.07265683,0.57436171,1.63959449,0.41111805,0.00000000
-5.29164582,2.68143727,0.36404427,0.68611381,0.00708130,0.07190623,0.57347602,1.58974672,0.40598054,0.00000000
-5.28564282,2.61811499,0.35986384,0.67187501,0.00689925,0.07117095,0.57190499,1.54153513,0.40084344,0.00000000
-5.27963982,2.55718854,0.35611095,0.65842084,0.00668189,0.07043312,0.56957307,1.49532509,0.39566969,0.00000000
-5.27363682,2.49894774,0.35267321,0.64584451,0.00643275,0.06967669,0.56642065,1.45139144,0.39042532,0.00000000
-5.26763382,2.44356470,0.34945627,0.63420033,0.00615595,0.06888730,0.56240206,1.40991268,0.38507841,0.00000000
-5.26163082,2.39108681,0.34638265,0.62350090,0.00585605,0.06805214,0.55748340,1.37096848,0.37959800,0.00000000
-5.25562781,2.34143463,0.34339043,0.61371587,0.00553794,0.06715976,0.55164016,1.33454072,0.37395316,0.00000000
-5.24962481,2.29440511,0.34043203,0.60477262,0.00520668,0.06619991,0.54485505,1.30051786,0.36811231,0.00000000
-5.24362181,2.24968008,0.33747309,0.59655868,0.00486738,0.06516344,0.53711623,1.26870279,0.36204285,0.00000000
-5.23761881,2.20684006,0.33449171,0.58892604,0.00452500,0.06404219,0.52841598,1.23882365,0.35571126,0.00000000
-5.23161581,2.16538271,0.33147781,0.58169700,0.00418432,0.06282908,0.51875014,1.21054747,0.34908366,0.00000000
-5.22561281,2.12474540,0.32843280,0.57467153,0.00384974,0.06151811,0.50811809,1.18349595,0.34212688,0.00000000
-5.21960980,2.08433077,0.32536941,0.56763563,0.00352526,0.06010460,0.49652350,1.15726284,0.33480979,0.00000000
-5.21360680,2.04353418,0.32231156,0.56037046,0.00321438,0.05858530,0.48397559,1.13143209,0.32710516,0.00000000
-5.20760380,2.00177165,0.31929416,0.55266166,0.00292005,0.05695874,0.47049087,1.10559614,0.31899153,0.00000000
-5.20160080,1.95850704,0.31636270,0.54430862,0.00264469,0.05522537,0.45609510,1.07937340,0.31045521,0.00000000
-5.19559780,1.91327692,0.31357247,0.53513302,0.00239014,0.05338784,0.44082526,1.05242422,0.30149221,0.00000000
-5.18959480,1.86571201,0.31098743,0.52498638,0.00215769,0.05145112,0.42473145,1.02446465,0.29210977,0.00000000
-5.18359180,1.81555402,0.30867843,0.51375628,0.00194811,0.04942263,0.40787828,0.99527728,0.28232764,0.00000000
-5.17758879,1.76266709,0.30672104,0.50137080,0.00176171,0.04731222,0.39034579,0.96471887,0.27217865,0.00000000
-5.17158579,1.70704341,0.30519275,0.48780124,0.00159834,0.04513208,0.37222964,0.93272433,0.26170887,0.00000000
-5.16558279,1.64880270,0.30416990,0.47306287,0.00145752,0.04289649,0.35364053,0.89930707,0.25097693,0.00000000
-5.15957979,1.58818583,0.30372422,0.45721378,0.00133841,0.04062157,0.33470284,0.86455579,0.24005287,0.00000000
-5.15357679,1.52554318,0.30391946,0.44035199,0.00123993,0.03832482,0.31555250,0.82862801,0.22901635,0.00000000
-5.14757379,1.46131840,0.30480802,0.42261103,0.00116081,0.03602470,0.29633425,0.79174078,0.21795432,0.00000000
-5.14157079,1.39602877,0.30642816,0.40415431,0.00109962,0.03374013,0.27719831,0.75415927,0.20695849,0.00000000
-5.13556778,1.33024330,0.30880173,0.38516852,0.00105484,0.03148995,0.25829680,0.71618382,0.19612251,0.00000000
-5.12956478,1.26455994,0.31193283,0.36585668,0.00102492,0.02929240,0.23977998,0.67813627,0.18553913,0.00000000
-5.12356178,1.19958311,0.31580748,0.34643088,0.00100830,0.02716472,0.22179261,0.64034628,0.17529757,0.00000000
-5.11755878,1.13590276,0.32039438,0.32710539,0.00100349,0.02512269,0.20447057,0.60313844,0.16548109,0.00000000
-5.11155578,1.07407600,0.32564690,0.30809026,0.00100909,0.02318037,0.18793789,0.56682066,0.15616510,0.00000000
-5.10555278,1.01461204,0.33150608,0.28958570,0.00102384,0.02134986,0.17230442,0.53167443,0.14741563,0.00000000
-5.09954977,0.95796103,0.33790460,0.27177749,0.00104670,0.01964116,0.15766417,0.49794728,0.13928852,0.00000000
-5.09354677,0.90450688,0.34477146,0.25483339,0.00107682,0.01806222,0.14409437,0.46584768,0.13182910,0.00000000
-5.08754377,0.85456419,0.35203710,0.23890071,0.00111368,0.01661895,0.13165527,0.43554236,0.12507244,0.00000000
-5.08154077,0.80837893,0.35963850,0.22410492,0.00115707,0.01531541,0.12039063,0.40715597,0.11904411,0.00000000
-5.07553777,0.76613223,0.36752406,0.21054919,0.00120716,0.01415408,0.11032881,0.38077296,0.11376136,0.00000000
-5.06953477,0.72794681,0.37565774,0.19831472,0.00126456,0.01313604,0.10148442,0.35644107,0.10923454,0.00000000
-5.06353177,0.69389511,0.38402222,0.18746168,0.00133036,0.01226136,0.09386030,0.33417639,0.10546877,0.00000000
-5.05752876,0.66400847,0.39262075,0.17803061,0.00140621,0.01152935,0.08744976,0.31396922,0.10246559,0.00000000
-5.05152576,0.63828640,0.40147747,0.17004398,0.00149429,0.01093892,0.08223894,0.29579045,0.10022455,0.00000000
-5.04552276,0.61670551,0.41063621,0.16350789,0.00159743,0.01048884,0.07820911,0.27959801,0.09874471,0.00000000
-5.03951976,0.59922725,0.42015762,0.15841363,0.00171912,0.01017796,0.07533890,0.26534295,0.09802575,0.00000000
-5.03351676,0.58580433,0.43011496,0.15473916,0.00186351,0.01000550,0.07360625,0.25297490,0.09806891,0.00000000
-5.02751376,0.57638540,0.44058857,0.15245031,0.00203545,0.00997116,0.07299005,0.24244660,0.09887748,0.00000000
-5.02151076,0.57091796,0.45165957,0.15150182,0.00224046,0.01007523,0.07347144,0.23371745,0.10045700,0.00000000
-5.01550775,0.56934958,0.46340301,0.15183817,0.00248474,0.01031871,0.07503472,0.22675583,0.10281512,0.00000000
-5.00950475,0.57162765,0.47588101,0.15339423,0.00277509,0.01070331,0.07766784,0.22154043,0.10596110,0.00000000
-5.00350175,0.57769786,0.48913639,0.15609596,0.00311884,0.01123142,0.08136244,0.21806037,0.10990512,0.00000000
-4.99749875,0.58750177,0.50318705,0.15986104,0.00352375,0.01190604,0.08611351,0.21631440,0.11465733,0.00000000
-4.99149575,0.60097379,0.51802169,0.16459961,0.00399785,0.01273067,0.09191869,0.21630924,0.12022672,0.00000000
-4.98549275,0.61803784,0.53359696,0.17021521,0.00454927,0.01370918,0.09877708,0.21805724,0.12661985,0.00000000
-4.97948974,0.63860395,0.54983636,0.17660591,0.00518599,0.01484555,0.10668778,0.22157340,0.13383957,0.00000000
-4.97348674,0.66256503,0.56663086,0.18366555,0.00591560,0.01614368,0.11564809,0.22687207,0.14188359,0.00000000
-4.96748374,0.68979376,0.58384120,0.19128533,0.00674500,0.01760705,0.12565141,0.23396328,0.15074302,0.00000000
-4.96148074,0.72013983,0.60130175,0.19935534,0.00768004,0.01923841,0.13668484,0.24284900,0.16040101,0.00000000
-4.95547774,0.75342736,0.61882551,0.20776631,0.00872519,0.02103938,0.14872667,0.25351926,0.17083121,0.00000000
-4.94947474,0.78945259,0.63621006,0.21641122,0.00988313,0.02301000,0.16174377,0.26594841,0.18199647,0.00000000
-4.94347174,0.82798169,0.65324389,0.22518684,0.01115443,0.02514832,0.17568885,0.28009157,0.19384745,0.00000000
-4.93746873,0.86874877,0.66971290,0.23399500,0.01253716,0.02744991,0.19049800,0.29588136,0.20632149,0.00000000
-4.93146573,0.91145409,0.68540648,0.24274368,0.01402657,0.02990741,0.20608836,0.31322507,0.21934159,0.00000000
-4.92546273,0.95576271,0.70012301,0.25134764,0.01561485,0.03251005,0.22235627,0.33200255,0.23281570,0.00000000
-4.91945973,1.00130361,0.71367447,0.25972876,0.01729094,0.03524336,0.23917595,0.35206473,0.24663643,0.00000000
-4.91345673,1.04766980,0.72589003,0.26781613,0.01904040,0.03808878,0.25639896,0.37323325,0.26068121,0.00000000
-4.90745373,1.09441953,0.73661860,0.27554573,0.02084549,0.04102355,0.27385458,0.39530109,0.27481307,0.00000000
-4.90145073,1.14107928,0.74573044,0.28286008,0.02268529,0.04402069,0.29135123,0.41803467,0.28888215,0.00000000
-4.89544772,1.18714869,0.75311801,0.28970775,0.02453599,0.04704910,0.30867898,0.44117722,0.30272793,0.00000000
-4.88944472,1.23210792,0.75869626,0.29604302,0.02637132,0.05007398,0.32561339,0.46445380,0.31618242,0.00000000
-4.88344172,1.27542762,0.76240276,0.30182570,0.02816308,0.05305734,0.34192042,0.48757779,0.32907405,0.00000000
-4.87743872,1.31658166,0.76419791,0.30702141,0.02988186,0.05595880,0.35736256,0.51025888,0.34123253,0.00000000
-4.87143572,1.35506263,0.76406550,0.31160221,0.03149780,0.05873658,0.37170587,0.53221236,0.35249426,0.00000000
-4.86543272,1.39039959,0.76201398,0.31554783,0.03298146,0.06134867,0.38472782,0.55316945,0.36270844,0.00000000
-4.85942971,1.42217794,0.75807849,0.31884742,0.03430469,0.06375413,0.39622559,0.57288841,0.37174340,0.00000000
-4.85342671,1.45006033,0.75232372,0.32150185,0.03544158,0.06591455,0.40602453,0.59116577,0.37949307,0.00000000
-4.84742371,1.47380799,0.74484760,0.32352638,0.03636930,0.06779552,0.41398632,0.60784748,0.38588319,0.00000000
-4.84142071,1.49330122,0.73578562,0.32495367,0.03706894,0.06936808,0.42001655,0.62283908,0.39087699,0.00000000
-4.83541771,1.50855799,0.72531546,0.32583684,0.03752615,0.07061014,0.42407123,0.63611460,0.39447993,0.00000000
-4.82941471,1.51974943,0.71366167,0.32625245,0.03773175,0.07150767,0.42616190,0.64772348,0.39674333,0.00000000
-4.82341171,1.52721099,0.70109988,0.32630300,0.03768206,0.07205578,0.42635902,0.65779500,0.39776639,0.00000000
-4.81740870,1.53144842,0.68796009,0.32611885,0.03737908,0.07225944,0.42479332,0.66653987,0.39769666,0.00000000
-4.81140570,1.53313746,0.67462865,0.32585923,0.03683049,0.07213391,0.42165506,0.67424860,0.39672855,0.00000000
-4.80540270,1.53311690,0.66154842,0.32571213,0.03604942,0.07170483,0.41719104,0.68128658,0.39509999,0.00000000
-4.79939970,1.53237466,0.64921675,0.32589285,0.03505401,0.07100790,0.41169935,0.68808569,0.39308716,0.00000000
-4.79339670,1.53202689,0.63818108,0.32664123,0.03386685,0.07008820,0.40552211,0.69513285,0.39099751,0.00000000
-4.78739370,1.53329052,0.62903189,0.32821731,0.03251418,0.06899916,0.39903632,0.70295562,0.38916122,0.00000000
-4.78139070,1.53745011,0.62239309,0.33089570,0.03102509,0.06780116,0.39264320,0.71210542,0.38792138,0.00000000
-4.77538769,1.54581990,0.61890979,0.33495850,0.02943053,0.06655982,0.38675635,0.72313904,0.38762332,0.00000000
-4.76938469,1.55970250,0.61923393,0.34068717,0.02776237,0.06534415,0.38178917,0.73659903,0.38860345,0.00000000
-4.76338169,1.58034567,0.62400780,0.34835352,0.02605242,0.06422445,0.37814202,0.75299382,0.39117802,0.00000000
-4.75737869,1.60889889,0.63384629,0.35821015,0.02433150,0.06327009,0.37618954,0.77277847,0.39563236,0.00000000
-4.75137569,1.64637130,0.64931815,0.37048066,0.02262860,0.06254742,0.37626868,0.79633657,0.40221083,0.00000000
-4.74537269,1.69359286,0.67092709,0.38535009,0.02097014,0.06211756,0.37866768,0.82396436,0.41110813,0.00000000
-4.73936968,1.75118006,0.69909332,0.40295604,0.01937938,0.06203449,0.38361657,0.85585745,0.42246203,0.00000000
-4.73336668,1.81950766,0.73413630,0.42338064,0.01787592,0.06234321,0.39127939,0.89210079,0.43634798,0.00000000
-4.72736368,1.89868761,0.77625933,0.44664407,0.01647545,0.06307829,0.40174838,0.93266220,0.45277568,0.00000000
-4.72136068,1.98855589,0.82553676,0.47269968,0.01518957,0.06426265,0.41504034,0.97738969,0.47168783,0.00000000
-4.71535768,2.08866781,0.88190422,0.50143106,0.01402581,0.06590673,0.43109523,1.02601260,0.49296083,0.00000000
-4.70935468,2.19830200,0.94515257,0.53265138,0.01298773,0.06800805,0.44977705,1.07814645,0.51640771,0.00000000
-4.70335168,2.31647281,1.01492574,0.56610484,0.01207525,0.07055113,0.47087695,1.13330124,0.54178275,0.00000000
-4.69734867,2.44195081,1.09072283,0.60147046,0.01128492,0.07350785,0.49411840,1.19089275,0.56878788,0.00000000
-4.69134567,2.57329040,1.17190443,0.63836808,0.01061046,0.07683816,0.51916428,1.25025637,0.59708047,0.00000000
-4.68534267,2.70886366,1.25770308,0.67636625,0.01004317,0.08049114,0.54562562,1.31066294,0.62628208,0.00000000
-4.67933967,2.84689913,1.34723762,0.71499197,0.00957250,0.08440640,0.57307180,1.37133588,0.65598812,0.00000000
-4.67333667,2.98552412,1.43953090,0.75374170,0.00918657,0.08851573,0.60104168,1.43146910,0.68577771,0.00000000
-4.66733367,3.12280916,1.53353037,0.79209348,0.00887272,0.09274498,0.62905560,1.49024505,0.71522376,0.00000000
-4.66133067,3.25681299,1.62813069,0.82951952,0.00861796,0.09701608,0.65662760,1.54685231,0.74390260,0.00000000
-4.65532766,3.38562670,1.72219767,0.86549884,0.00840946,0.10124916,0.68327766,1.60050233,0.77140321,0.00000000
-4.64932466,3.50741562,1.81459263,0.89952969,0.00823494,0.10536471,0.70854362,1.65044491,0.79733550,0.00000000
-4.64332166,3.62045781,1.90419625,0.93114094,0.00808300,0.10928564,0.73199226,1.69598204,0.82133765,0.00000000
