energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Li_s_up,Te_p_up,Te_d_up
-0.14707354,2.91772784,0.01640338,0.25749729,0.34975439,1.22604567,0.12140531,0.65223148,0.00000000
-0.14107054,2.75564754,0.01516377,0.27185164,0.33541388,1.14331995,0.11654228,0.62678701,0.00000000
-0.13506753,2.60476055,0.01417266,0.28842575,0.32296689,1.06508154,0.11139813,0.60382426,0.00000000
-0.12906453,2.46700336,0.01345729,0.30710018,0.31273936,0.99216584,0.10605056,0.58396346,0.00000000
-0.12306153,2.34414681,0.01304525,0.32774150,0.30505505,0.92534738,0.10058256,0.56780455,0.00000000
-0.11705853,2.23778696,0.01296496,0.35020479,0.30023097,0.86533688,0.09508059,0.55591615,0.00000000
-0.11105553,2.14933917,0.01324609,0.37433629,0.29857239,0.81277977,0.08963281,0.54882446,0.00000000
-0.10505253,2.08003466,0.01391984,0.39997615,0.30036758,0.76825536,0.08432714,0.54700208,0.00000000
-0.09904952,2.03091795,0.01501910,0.42696102,0.30588215,0.73227626,0.07924954,0.55085695,0.00000000
-0.09304652,2.00284424,0.01657832,0.45512646,0.31535312,0.70528750,0.07448219,0.56072161,0.00000000
-0.08704352,1.99647553,0.01863319,0.48430881,0.32898271,0.68766480,0.07010192,0.57684297,0.00000000
-0.08104052,2.01227472,0.02122001,0.51434665,0.34693210,0.67971165,0.06617875,0.59937284,0.00000000
-0.07503752,2.05049720,0.02437480,0.54508155,0.36931507,0.68165489,0.06277457,0.62835965,0.00000000
-0.06903452,2.11117966,0.02813214,0.57635828,0.39619202,0.69363878,0.05994209,0.66374153,0.00000000
-0.06303152,2.19412663,0.03252370,0.60802438,0.42756424,0.71571750,0.05772381,0.70534142,0.00000000
-0.05702851,2.29889525,0.03757660,0.63992919,0.46336900,0.74784654,0.05615136,0.75286431,0.00000000
-0.05102551,2.42477950,0.04331148,0.67192272,0.50347562,0.78987328,0.05524482,0.80589726,0.00000000
-0.04502251,2.57079535,0.04974058,0.70385428,0.54768273,0.84152749,0.05501233,0.86391237,0.00000000
-0.03901951,2.73566863,0.05686566,0.73557142,0.59571726,0.90241248,0.05544980,0.92627314,0.00000000
-0.03301651,2.91782752,0.06467604,0.76691932,0.64723518,0.97199793,0.05654079,0.99224424,0.00000000
-0.02701351,3.11540169,0.07314677,0.79774088,0.70182451,1.04961512,0.05825657,1.06100499,0.00000000
-0.02101051,3.32622995,0.08223708,0.82787799,0.75901049,1.13445576,0.06055637,1.13166626,0.00000000
-0.01500750,3.54787807,0.09188915,0.85717386,0.81826335,1.22557495,0.06338779,1.20329063,0.00000000
-0.00900450,3.77766785,0.10202745,0.88547683,0.87900839,1.32189936,0.06668752,1.27491548,0.00000000
-0.00300150,4.01271825,0.11255858,0.91264542,0.94063842,1.42224071,0.07038222,1.34557826,0.00000000
0.00300150,4.24999838,0.12337178,0.93855466,1.00252834,1.52531501,0.07438974,1.41434324,0.00000000
0.00900450,4.48639157,0.13434016,0.96310346,1.06405140,1.62976734,0.07862056,1.48032890,0.00000000
0.01500750,4.71876904,0.14532261,0.98622251,1.12459665,1.73420167,0.08297957,1.54273478,0.00000000
0.02101051,4.94407068,0.15616645,1.00788244,1.18358704,1.83721489,0.08736801,1.60086675,0.00000000
0.02701351,5.15938996,0.16671074,1.02810154,1.24049733,1.93743383,0.09168575,1.65415963,0.00000000
0.03301651,5.36205932,0.17679009,1.04695251,1.29487110,2.03355394,0.09583366,1.70219591,0.00000000
0.03901951,5.54973210,0.18623905,1.06456750,1.34633599,2.12437764,0.09971615,1.74471966,0.00000000
0.04502251,5.72045674,0.19489663,1.08114100,1.39461628,2.20885077,0.10324369,1.78164475,0.00000000
0.05102551,5.87273935,0.20261105,1.09692993,1.43954224,2.28609515,0.10633532,1.81305666,0.00000000
0.05702851,6.00559068,0.20924436,1.11225048,1.48105528,2.35543546,0.10892096,1.83920762,0.00000000
0.06303152,6.11855458,0.21467676,1.12747162,1.51920867,2.41641881,0.11094347,1.86050475,0.00000000
0.06903452,6.21171557,0.21881048,1.14300498,1.55416334,2.46882588,0.11236040,1.87749174,0.00000000
0.07503752,6.28568413,0.22157295,1.15929141,1.58617878,2.51267256,0.11314521,1.89082432,0.00000000
0.08104052,6.34155976,0.22291919,1.17678448,1.61559908,2.54820184,0.11328809,1.90124060,0.00000000
0.08704352,6.38087279,0.22283324,1.19593146,1.64283478,2.57586598,0.11279615,1.90952741,0.00000000
0.09304652,6.40550717,0.22132863,1.21715268,1.66834091,2.59629977,0.11169303,1.91648401,0.00000000
0.09904952,6.41760777,0.21844776,1.24081996,1.69259248,2.61028587,0.11001796,1.92288487,0.00000000
