energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-5.61580790,3.97500047,0.06548921,0.31442101,0.52076070,0.19498593,2.13320139,1.35070705,0.08713341,2.16079285
-5.60980490,3.91843531,0.06275497,0.31003948,0.50529542,0.19132825,2.07860121,1.34369379,0.08648997,2.12633618
-5.60380190,3.85714981,0.05993285,0.30584038,0.48832886,0.18722988,2.02242711,1.33701764,0.08553664,2.08851215
-5.59779890,3.79221901,0.05705381,0.30194348,0.47007463,0.18276760,1.96558260,1.33085275,0.08428750,2.04796640
-5.59179590,3.72472874,0.05414855,0.29845800,0.45076820,0.17802255,1.90897066,1.32533704,0.08276097,2.00536590
-5.58579290,3.65574327,0.05124697,0.29547927,0.43065997,0.17307796,1.85346899,1.32056686,0.08097929,1.96137886
-5.57978989,3.58627663,0.04837774,0.29308577,0.41000810,0.16801701,1.79990693,1.31659396,0.07896796,1.91665631
-5.57378689,3.51726884,0.04556777,0.29133692,0.38907148,0.16292079,1.74904501,1.31342502,0.07675521,1.87181610
-5.56778389,3.44956799,0.04284193,0.29027166,0.36810292,0.15786655,1.70155806,1.31102390,0.07437140,1.82743010
-5.56178089,3.38391886,0.04022271,0.28990794,0.34734310,0.15292621,1.65802258,1.30931642,0.07184854,1.78401484
-5.55577789,3.32095826,0.03773000,0.29024305,0.32701521,0.14816522,1.61890873,1.30819775,0.06921975,1.74202595
-5.54977489,3.26121706,0.03538101,0.29125504,0.30732064,0.14364172,1.58457756,1.30754183,0.06651880,1.70185632
-5.54377189,3.20512836,0.03319014,0.29290493,0.28843574,0.13940612,1.55528312,1.30721262,0.06377964,1.66383782
-5.53776888,3.15304113,0.03116908,0.29513981,0.27050969,0.13550099,1.53117942,1.30707651,0.06103603,1.62824629
-5.53176588,3.10523798,0.02932683,0.29789661,0.25366348,0.13196127,1.51233179,1.30701539,0.05832113,1.59530907
-5.52576288,3.06195612,0.02766988,0.30110638,0.23798999,0.12881475,1.49873170,1.30693958,0.05566716,1.56521454
-5.51975988,3.02340967,0.02620239,0.30469885,0.22355492,0.12608283,1.49031431,1.30680017,0.05310507,1.53812295
-5.51375688,2.98981201,0.02492642,0.30860711,0.21039865,0.12378134,1.48697756,1.30659981,0.05066419,1.51417759
-5.50775388,2.96139666,0.02384216,0.31277200,0.19853859,0.12192157,1.48860165,1.30640156,0.04837194,1.49351566
-5.50175088,2.93843506,0.02294822,0.31714613,0.18797211,0.12051123,1.49506768,1.30633512,0.04625356,1.47627806
-5.49574787,2.92125022,0.02224188,0.32169719,0.17867961,0.11955544,1.50627432,1.30659996,0.04433178,1.46261744
-5.48974487,2.91022501,0.02171933,0.32641034,0.17062780,0.11905757,1.52215139,1.30746506,0.04262659,1.45270392
-5.48374187,2.90580450,0.02137594,0.33128954,0.16377284,0.11902001,1.54266951,1.30926508,0.04115498,1.44672818
-5.47773887,2.90849172,0.02120643,0.33635771,0.15806329,0.11944468,1.56784509,1.31239279,0.03993073,1.44490159
-5.47173587,2.91883704,0.02120507,0.34165556,0.15344277,0.12033334,1.59774032,1.31728805,0.03896424,1.44745341
-5.46573287,2.93742125,0.02136585,0.34723931,0.14985222,0.12168775,1.63245805,1.32442360,0.03826237,1.45462508
-5.45972986,2.96483312,0.02168250,0.35317718,0.14723174,0.12350949,1.67213179,1.33428805,0.03782835,1.46666188
-5.45372686,3.00164250,0.02214864,0.35954495,0.14552202,0.12579974,1.71691140,1.34736679,0.03766171,1.48380242
-5.44772386,3.04837014,0.02275772,0.36642074,0.14466527,0.12855873,1.76694530,1.36412159,0.03775835,1.50626658
