energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-5.20760380,5.87936222,0.00531342,1.01884941,1.38342061,0.96764204,3.82821306,1.55060777,0.02387079,2.32755567
-5.20160080,5.80838786,0.00514615,1.00780341,1.36762299,0.95370486,3.79130153,1.53476041,0.02346938,2.29809284
-5.19559780,5.72209385,0.00495585,0.99313349,1.34779143,0.93900648,3.73841743,1.51418808,0.02298900,2.26356485
-5.18959480,5.62114887,0.00474533,0.97500129,1.32405677,0.92359795,3.66981346,1.48917340,0.02243851,2.22413321
-5.18359180,5.50652064,0.00451775,0.95364863,1.29662256,0.90753474,3.58608499,1.46009922,0.02182841,2.18004161
-5.17758879,5.37946849,0.00427646,0.92939361,1.26576248,0.89087996,3.48816136,1.42744249,0.02117074,2.13161709
-5.17158579,5.24152159,0.00402499,0.90262335,1.23181462,0.87370647,3.37728340,1.39176366,0.02047874,2.07926687
-5.16558279,5.09444348,0.00376690,0.87378353,1.19517290,0.85609780,3.25496799,1.35369190,0.01976659,2.02347100
-5.15957979,4.94018452,0.00350572,0.84336521,1.15627615,0.83814780,3.12296152,1.31390679,0.01904902,1.96477114
-5.15357679,4.78082456,0.00324486,0.81188949,1.11559516,0.81995936,2.98318445,1.27311719,0.01834090,1.90375616
-5.14757379,4.61850857,0.00298754,0.77989069,1.07361876,0.80164192,2.83766986,1.23203826,0.01765681,1.84104549
-5.14157079,4.45537845,0.00273670,0.74789882,1.03083918,0.78330847,2.68849870,1.19136760,0.01701059,1.77727091
-5.13556778,4.29350439,0.00249496,0.71642214,0.98773780,0.76507185,2.53773516,1.15176178,0.01641491,1.71305798
-5.12956478,4.13481900,0.00226458,0.68593066,0.94477170,0.74704092,2.38736478,1.11381410,0.01588086,1.64900797
-5.12356178,3.98105753,0.00204741,0.65684119,0.90236162,0.72931665,2.23923825,1.07803488,0.01541757,1.58568114
-5.11755878,3.83370668,0.00184492,0.62950471,0.86088199,0.71198856,2.09502301,1.04483495,0.01503190,1.52358226
-5.11155578,3.69396440,0.00165812,0.60419656,0.82065319,0.69513162,1.95616446,1.01451324,0.01472822,1.46314892
-5.10555278,3.56271225,0.00148766,0.58110975,0.78193636,0.67880377,1.82385811,0.98724892,0.01450822,1.40474306
-5.09954977,3.44050126,0.00133376,0.56035175,0.74493084,0.66304434,1.69903295,0.96309844,0.01437088,1.34864606
-5.09354677,3.32755166,0.00119632,0.54194467,0.70977420,0.64787334,1.58234637,0.94199754,0.01431246,1.29505733
-5.08754377,3.22376601,0.00107491,0.52582890,0.67654469,0.63329173,1.47418978,0.92376810,0.01432665,1.24409641
-5.08154077,3.12875489,0.00096883,0.51186979,0.64526577,0.61928265,1.37470407,0.90812947,0.01440477,1.19580825
-5.07553777,3.04187351,0.00087714,0.49986714,0.61591255,0.60581356,1.28380334,0.89471373,0.01453607,1.15017118
-5.06953477,2.96226735,0.00079874,0.48956689,0.58841951,0.59283917,1.20120537,0.88308416,0.01470808,1.10710724
-5.06353177,2.88892462,0.00073237,0.48067457,0.56268925,0.58030511,1.12646672,0.87275605,0.01490708,1.06649407
-5.05752876,2.82073294,0.00067672,0.47286978,0.53860167,0.56815207,1.05902081,0.86321901,0.01511853,1.02817786
-5.05152576,2.75653768,0.00063041,0.46582117,0.51602330,0.55632018,0.99821688,0.85395977,0.01532759,0.99198660
-5.04552276,2.69519954,0.00059208,0.45920121,0.49481618,0.54475361,0.94335820,0.84448449,0.01551963,0.95774312
-5.03951976,2.63564868,0.00056039,0.45270016,0.47484610,0.53340485,0.89373803,0.83433970,0.01568071,0.92527720
-5.03351676,2.57693344,0.00053408,0.44603877,0.45598979,0.52223873,0.84867186,0.82313109,0.01579804,0.89443623
-5.02751376,2.51826159,0.00051199,0.43897916,0.43814083,0.51123574,0.80752522,0.81053934,0.01586043,0.86509413
-5.02151076,2.45903271,0.00049303,0.43133356,0.42121412,0.50039453,0.76973601,0.79633245,0.01585856,0.83715788
-5.01550775,2.39886049,0.00047630,0.42297066,0.40514884,0.48973347,0.73483133,0.78037426,0.01578535,0.81057181
-5.00950475,2.33758446,0.00046097,0.41381935,0.38990983,0.47929103,0.70243828,0.76262876,0.01563607,0.78531917
-5.00350175,2.27527093,0.00044641,0.40386983,0.37548744,0.46912503,0.67228914,0.74316032,0.01540845,0.76142123
-4.99749875,2.21220350,0.00043208,0.39317225,0.36189593,0.45931065,0.64422119,0.72212977,0.01510270,0.73893397
-4.99149575,2.14886387,0.00041760,0.38183286,0.34917072,0.44993738,0.61817156,0.69978675,0.01472141,0.71794256
-4.98549275,2.08590422,0.00040271,0.37000803,0.33736442,0.44110490,0.59416795,0.67645880,0.01426937,0.69855408
-4.97948974,2.02411251,0.00038727,0.35789652,0.32654223,0.43291821,0.57231576,0.65253746,0.01375331,0.68088876
-4.97348674,1.96437256,0.00037122,0.34573026,0.31677669,0.42548222,0.55278260,0.62846242,0.01318161,0.66507047
-4.96748374,1.90762082,0.00035460,0.33376406,0.30814218,0.41889594,0.53578092,0.60470403,0.01256394,0.65121670
-4.96148074,1.85480180,0.00033751,0.32226483,0.30070951,0.41324686,0.52154957,0.58174518,0.01191085,0.63942890
-4.95547774,1.80682423,0.00032012,0.31150061,0.29454071,0.40860559,0.51033508,0.56006305,0.01123342,0.62978342
-4.94947474,1.76451968,0.00030261,0.30172983,0.28968438,0.40502116,0.50237346,0.54011164,0.01054281,0.62232375
-4.94347174,1.72860553,0.00028519,0.29319132,0.28617179,0.40251729,0.49787307,0.52230546,0.00984993,0.61705447
-4.93746873,1.69965361,0.00026808,0.28609523,0.28401387,0.40108981,0.49699923,0.50700509,0.00916507,0.61393705
-4.93146573,1.67806569,0.00025147,0.28061534,0.28319918,0.40070540,0.49986106,0.49450501,0.00849764,0.61288802
-4.92546273,1.66405654,0.00023556,0.27688284,0.28369301,0.40130182,0.50650087,0.48502399,0.00785591,0.61377936
-4.91945973,1.65764519,0.00022050,0.27498179,0.28543758,0.40278952,0.51688645,0.47869841,0.00724684,0.61644129
-4.91345673,1.65865413,0.00020642,0.27494638,0.28835318,0.40505469,0.53090646,0.47557836,0.00667594,0.62066717
-4.90745373,1.66671643,0.00019341,0.27675999,0.29234047,0.40796355,0.54836896,0.47562681,0.00614726,0.62622036
-4.90145073,1.68129005,0.00018152,0.28035603,0.29728343,0.41136768,0.56900308,0.47872159,0.00566337,0.63284267
-4.89544772,1.70167848,0.00017078,0.28562040,0.30305311,0.41511009,0.59246365,0.48466001,0.00522540,0.64026392
-4.88944472,1.72705654,0.00016115,0.29239553,0.30951182,0.41903187,0.61833866,0.49316592,0.00483318,0.64821221
-4.88344172,1.75650016,0.00015258,0.30048571,0.31651762,0.42297880,0.64615916,0.50389880,0.00448539,0.65642427
-4.87743872,1.78901869,0.00014499,0.30966353,0.32392885,0.42680793,0.67541122,0.51646464,0.00417967,0.66465552
-4.87143572,1.82358837,0.00013829,0.31967712,0.33160855,0.43039347,0.70554945,0.53042802,0.00391287,0.67268919
-4.86543272,1.85918550,0.00013235,0.33025805,0.33942854,0.43363196,0.73601161,0.54532513,0.00368122,0.68034408
-4.85942971,1.89481802,0.00012705,0.34112933,0.34727293,0.43644622,0.76623371,0.56067721,0.00348054,0.68748069
-4.85342671,1.92955426,0.00012226,0.35201352,0.35504102,0.43878807,0.79566499,0.57600401,0.00330641,0.69400521
