energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-5.55577789,1.22798560,0.00772144,0.00000000,0.00693137,0.16933095,0.01706616,0.67209386,0.64594861,0.24733485
-5.54977489,1.19825974,0.00733014,0.00000000,0.00657217,0.16468734,0.01718608,0.65696779,0.61529264,0.24107510
-5.54377189,1.16666560,0.00694700,0.00000000,0.00622654,0.15987030,0.01721804,0.64066981,0.58494936,0.23444267
-5.53776888,1.13403241,0.00657910,0.00000000,0.00589674,0.15504232,0.01716189,0.62359121,0.55569219,0.22762361
-5.53176588,1.10121481,0.00623313,0.00000000,0.00558466,0.15036620,0.01701911,0.60614375,0.52826395,0.22080689
-5.52576288,1.06907721,0.00591535,0.00000000,0.00529192,0.14600105,0.01679290,0.58875361,0.50336005,0.21418038
-5.51975988,1.03847753,0.00563145,0.00000000,0.00501996,0.14209841,0.01648810,0.57185452,0.48161331,0.20792693
-5.51375688,1.01025029,0.00538647,0.00000000,0.00477005,0.13879852,0.01611104,0.55588030,0.46358040,0.20222036
-5.50775388,0.98518918,0.00518472,0.00000000,0.00454340,0.13622683,0.01566939,0.54125651,0.44973031,0.19722162
-5.50175088,0.96402931,0.00502973,0.00000000,0.00434119,0.13449077,0.01517194,0.52839156,0.44043471,0.19307503
-5.49574787,0.94742939,0.00492417,0.00000000,0.00416454,0.13367685,0.01462834,0.51766713,0.43596038,0.18990470
-5.48974487,0.93595420,0.00486982,0.00000000,0.00401458,0.13384820,0.01404880,0.50942822,0.43646366,0.18781125
-5.48374187,0.93005785,0.00486750,0.00000000,0.00389237,0.13504253,0.01344377,0.50397318,0.44198703,0.18686884
-5.47773887,0.93006847,0.00491706,0.00000000,0.00379894,0.13727062,0.01282365,0.50154388,0.45245777,0.18712268
-5.47173587,0.93617483,0.00501738,0.00000000,0.00373518,0.14051542,0.01219847,0.50231665,0.46768888,0.18858709
-5.46573287,0.94841591,0.00516633,0.00000000,0.00370187,0.14473180,0.01157760,0.50639425,0.48738218,0.19124424
-5.45972986,0.96667383,0.00536082,0.00000000,0.00369958,0.14984699,0.01096955,0.51379958,0.51113381,0.19504366
-5.45372686,0.99067111,0.00559681,0.00000000,0.00372868,0.15576186,0.01038173,0.52447136,0.53844210,0.19990271
-5.44772386,1.01997271,0.00586940,0.00000000,0.00378932,0.16235288,0.00982032,0.53826246,0.56871790,0.20570794
-5.44172086,1.05399337,0.00617289,0.00000000,0.00388139,0.16947495,0.00929022,0.55494104,0.60129738,0.21231752
-5.43571786,1.09201056,0.00650090,0.00000000,0.00400459,0.17696503,0.00879498,0.57419488,0.63545711,0.21956472
-5.42971486,1.13318304,0.00684653,0.00000000,0.00415847,0.18464643,0.00833691,0.59563906,0.67043140,0.22726231
-5.42371186,1.17657472,0.00720250,0.00000000,0.00434246,0.19233370,0.00791709,0.61882683,0.70543145,0.23520796
-5.41770885,1.22118348,0.00756136,0.00000000,0.00455601,0.19983817,0.00753559,0.64326358,0.73966604,0.24319039
-5.41170585,1.26597391,0.00791567,0.00000000,0.00479868,0.20697363,0.00719160,0.66842354,0.77236316,0.25099608
-5.40570285,1.30991308,0.00825826,0.00000000,0.00507028,0.21356227,0.00688365,0.69376861,0.80279187,0.25841637
-5.39969985,1.35200785,0.00858242,0.00000000,0.00537098,0.21944056,0.00660985,0.71876865,0.83028392,0.26525470
-5.39369685,1.39134231,0.00888215,0.00000000,0.00570145,0.22446477,0.00636809,0.74292245,0.85425404,0.27133360
-5.38769385,1.42711367,0.00915236,0.00000000,0.00606297,0.22851598,0.00615624,0.76577831,0.87421834,0.27650122
-5.38169085,1.45866498,0.00938903,0.00000000,0.00645753,0.23150442,0.00597237,0.78695341,0.88980993,0.28063713
-5.37568784,1.48551292,0.00958940,0.00000000,0.00688785,0.23337279,0.00581489,0.80615090,0.90079106,0.28365700
-5.36968484,1.50736941,0.00975207,0.00000000,0.00735742,0.23409852,0.00568263,0.82317383,0.90706117,0.28551605
-5.36368184,1.52415558,0.00987707,0.00000000,0.00787041,0.23369480,0.00557499,0.83793495,0.90866044,0.28621104
-5.35767884,1.53600719,0.00996585,0.00000000,0.00843161,0.23221035,0.00549188,0.85046200,0.90576841,0.28578060
-5.35167584,1.54327103,0.01002127,0.00000000,0.00904619,0.22972787,0.00543375,0.86089767,0.89869779,0.28430396
-5.34567284,1.54649198,0.01004745,0.00000000,0.00971949,0.22636119,0.00540151,0.86949429,0.88788339,0.28189808
-5.33966983,1.54639104,0.01004966,0.00000000,0.01045673,0.22225129,0.00539639,0.87660307,0.87386660,0.27871311
-5.33366683,1.54383509,0.01003407,0.00000000,0.01126261,0.21756134,0.00541985,0.88265835,0.85727594,0.27492660
-5.32766383,1.53979947,0.01000750,0.00000000,0.01214097,0.21247082,0.00547335,0.88815731,0.83880444,0.27073647
