energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
3.90495248,0.77849410,0.36425889,0.19803752,0.01599801,0.05316614,0.24478574,0.08508681,0.33763239,0.00000000
3.91095548,0.77012886,0.37356588,0.19574895,0.01648648,0.05292887,0.24622164,0.08374142,0.32416075,0.00000000
3.91695848,0.75779025,0.38053095,0.19244454,0.01687201,0.05231777,0.24641497,0.08198150,0.30974897,0.00000000
3.92296148,0.74152344,0.38500909,0.18813200,0.01714666,0.05134516,0.24529491,0.07981851,0.29449552,0.00000000
3.92896448,0.72146863,0.38690397,0.18284536,0.01730466,0.05003101,0.24282294,0.07727364,0.27852692,0.00000000
3.93496748,0.69785497,0.38617130,0.17664332,0.01734260,0.04840219,0.23899369,0.07437702,0.26199254,0.00000000
3.94097049,0.67099147,0.38282043,0.16960676,0.01725959,0.04649151,0.23383450,0.07116658,0.24505870,0.00000000
3.94697349,0.64125549,0.37691424,0.16183541,0.01705725,0.04433667,0.22740394,0.06768668,0.22790248,0.00000000
3.95297649,0.60907931,0.36856711,0.15344418,0.01673967,0.04197891,0.21978926,0.06398657,0.21070535,0.00000000
3.95897949,0.57493553,0.35794119,0.14455897,0.01631329,0.03946176,0.21110303,0.06011883,0.19364731,0.00000000
3.96498249,0.53932194,0.34524115,0.13531243,0.01578667,0.03682965,0.20147894,0.05613774,0.17690132,0.00000000
3.97098549,0.50274650,0.33070753,0.12583981,0.01517019,0.03412664,0.19106722,0.05209771,0.16062868,0.00000000
3.97698849,0.46571302,0.31460916,0.11627492,0.01447574,0.03139522,0.18002964,0.04805188,0.14497517,0.00000000
3.98299150,0.42870813,0.29723480,0.10674657,0.01371630,0.02867522,0.16853447,0.04405084,0.13006826,0.00000000
3.98899450,0.39218992,0.27888455,0.09737548,0.01290559,0.02600297,0.15675151,0.04014156,0.11601530,0.00000000
3.99499750,0.35657856,0.25986122,0.08827176,0.01205759,0.02341056,0.14484742,0.03636658,0.10290274,0.00000000
4.00100050,0.32224913,0.24046213,0.07953307,0.01118622,0.02092537,0.13298153,0.03276346,0.09079626,0.00000000
4.00700350,0.28952679,0.22097159,0.07124340,0.01030490,0.01856980,0.12130219,0.02936440,0.07974175,0.00000000
4.01300650,0.25868409,0.20165434,0.06347252,0.00942628,0.01636119,0.10994383,0.02619616,0.06976692,0.00000000
4.01900950,0.22994049,0.18275011,0.05627597,0.00856193,0.01431191,0.09902473,0.02328021,0.06088352,0.00000000
4.02501251,0.20346376,0.16446950,0.04969563,0.00772211,0.01242962,0.08864559,0.02063297,0.05308987,0.00000000
4.03101551,0.17937295,0.14699115,0.04376070,0.00691567,0.01071768,0.07888878,0.01826628,0.04637356,0.00000000
4.03701851,0.15774272,0.13046032,0.03848898,0.00614988,0.00917561,0.06981832,0.01618795,0.04071431,0.00000000
4.04302151,0.13860853,0.11498870,0.03388841,0.00543046,0.00779965,0.06148048,0.01440236,0.03608658,0.00000000
4.04902451,0.12197250,0.10065537,0.02995870,0.00476158,0.00658336,0.05390488,0.01291105,0.03246209,0.00000000
4.05502751,0.10780943,0.08750891,0.02669302,0.00414593,0.00551817,0.04710603,0.01171340,0.02981191,0.00000000
4.06103052,0.09607281,0.07557016,0.02407958,0.00358485,0.00459405,0.04108517,0.01080715,0.02810824,0.00000000
4.06703352,0.08670051,0.06483585,0.02210311,0.00307850,0.00379997,0.03583235,0.01018892,0.02732571,0.00000000
4.07303652,0.07961996,0.05528253,0.02074613,0.00262596,0.00312445,0.03132854,0.00985459,0.02744219,0.00000000
4.07903952,0.07475264,0.04687096,0.01998999,0.00222551,0.00255602,0.02754783,0.00979958,0.02843925,0.00000000
4.08504252,0.07201787,0.03955046,0.01981571,0.00187476,0.00208355,0.02445957,0.01001906,0.03030206,0.00000000
4.09104552,0.07133586,0.03326345,0.02020449,0.00157087,0.00169666,0.02203032,0.01050804,0.03301906,0.00000000
4.09704852,0.07263009,0.02794975,0.02113815,0.00131076,0.00138593,0.02022576,0.01126132,0.03658127,0.00000000
4.10305153,0.07582904,0.02355073,0.02259923,0.00109121,0.00114318,0.01901237,0.01227344,0.04098144,0.00000000
4.10905453,0.08086758,0.02001328,0.02457108,0.00090911,0.00096159,0.01835900,0.01353851,0.04621314,0.00000000
4.11505753,0.08768801,0.01729345,0.02703782,0.00076156,0.00083592,0.01823821,0.01505013,0.05226978,0.00000000
4.12106053,0.09624103,0.01535980,0.02998427,0.00064601,0.00076257,0.01862759,0.01680120,0.05914393,0.00000000
4.12706353,0.10648690,0.01419655,0.03339600,0.00056038,0.00073974,0.01951091,0.01878387,0.06682671,0.00000000
4.13306653,0.11839674,0.01380635,0.03725939,0.00050312,0.00076750,0.02087917,0.02098948,0.07530768,0.00000000
4.13906953,0.13195436,0.01421283,0.04156187,0.00047336,0.00084791,0.02273168,0.02340872,0.08457501,0.00000000
4.14507254,0.14715845,0.01546280,0.04629237,0.00047092,0.00098507,0.02507702,0.02603180,0.09461615,0.00000000
4.15107554,0.16402534,0.01762813,0.05144190,0.00049639,0.00118523,0.02793396,0.02884876,0.10541900,0.00000000
4.15707854,0.18259210,0.02080723,0.05700432,0.00055117,0.00145688,0.03133232,0.03184999,0.11697341,0.00000000
4.16308154,0.20292001,0.02512602,0.06297726,0.00063747,0.00181082,0.03531373,0.03502676,0.12927308,0.00000000
