energy_ev,total_up,Bi_p_up,Bi_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-5.30965483,0.79626275,0.25428185,0.00022571,0.09309057,0.16823941,0.16486133,0.04956071
-5.30365183,0.80262681,0.24885087,0.00020507,0.09907124,0.17344501,0.16559623,0.04989753
-5.29764882,0.81022595,0.24314379,0.00019050,0.10479522,0.17950648,0.16683159,0.05048160
-5.29164582,0.81922188,0.23727987,0.00018180,0.11017118,0.18647166,0.16863742,0.05132900
-5.28564282,0.82988222,0.23140760,0.00017885,0.11511389,0.19441605,0.17111247,0.05246308
-5.27963982,0.84258004,0.22570033,0.00018161,0.11954763,0.20344411,0.17438332,0.05391443
-5.27363682,0.85778930,0.22035099,0.00019010,0.12340953,0.21368938,0.17860217,0.05572062
-5.26763382,0.87607645,0.21556620,0.00020442,0.12665274,0.22531328,0.18394340,0.05792550
-5.26163082,0.89808791,0.21155997,0.00022474,0.12924921,0.23850241,0.19059885,0.06057829
-5.25562781,0.92453397,0.20854724,0.00025127,0.13119218,0.25346439,0.19877215,0.06373219
-5.24962481,0.95616919,0.20673758,0.00028429,0.13249801,0.27042220,0.20867184,0.06744285
-5.24362181,0.99376972,0.20632911,0.00032410,0.13320753,0.28960709,0.22050392,0.07176635
-5.23761881,1.03810806,0.20750302,0.00037099,0.13338667,0.31125013,0.23446367,0.07675711
-5.23161581,1.08992597,0.21041862,0.00042526,0.13312646,0.33557270,0.25072710,0.08246545
-5.22561281,1.14990609,0.21520923,0.00048715,0.13254236,0.36277613,0.26944236,0.08893507
-5.21960980,1.21864325,0.22197875,0.00055688,0.13177300,0.39303078,0.29072134,0.09620047
-5.21360680,1.29661633,0.23079914,0.00063453,0.13097830,0.42646511,0.31463178,0.10428442
-5.20760380,1.38416171,0.24170866,0.00072011,0.13033710,0.46315500,0.34119020,0.11319553
-5.20160080,1.48144926,0.25471086,0.00081347,0.13004444,0.50311404,0.37035601,0.12292605
-5.19559780,1.58846194,0.26977432,0.00091433,0.13030842,0.54628502,0.40202711,0.13345013
-5.18959480,1.70497997,0.28683289,0.00102221,0.13134691,0.59253332,0.43603718,0.14472240
-5.18359180,1.83057034,0.30578663,0.00113647,0.13338411,0.64164251,0.47215496,0.15667724
-5.17758879,1.96458247,0.32650305,0.00125626,0.13664701,0.69331262,0.51008573,0.16922859
-5.17158579,2.10615048,0.34881885,0.00138057,0.14136194,0.74716123,0.54947491,0.18227056
-5.16558279,2.25420233,0.37254183,0.00150815,0.14775106,0.80272766,0.58991404,0.19567867
-5.15957979,2.40747588,0.39745326,0.00163763,0.15602911,0.85948027,0.63094884,0.20931191
-5.15357679,2.56454161,0.42331032,0.00176745,0.16640014,0.91682665,0.67208922,0.22301543
-5.14757379,2.72383136,0.44984890,0.00189595,0.17905446,0.97412661,0.71282113,0.23662391
-5.14157079,2.88367248,0.47678660,0.00202137,0.19416576,1.03070737,0.75261954,0.24996543
-5.13556778,3.04232600,0.50382598,0.00214190,0.21188823,1.08588064,0.79096246,0.26286574
-5.12956478,3.19802788,0.53065818,0.00225573,0.23235392,1.13896073,0.82734518,0.27515280
-5.12356178,3.34903162,0.55696681,0.00236110,0.25567014,1.18928317,0.86129440,0.28666132
-5.11755878,3.49365083,0.58243221,0.00245634,0.28191692,1.23622294,0.89238156,0.29723728
-5.11155578,3.63030014,0.60673604,0.00253992,0.31114457,1.27921159,0.92023481,0.30674207
-5.10555278,3.75753294,0.62956626,0.00261051,0.34337124,1.31775263,0.94454917,0.31505623
-5.09954977,3.87407450,0.65062231,0.00266704,0.37858052,1.35143433,0.96509445,0.32208250
-5.09354677,3.97884925,0.66962060,0.00270869,0.41671909,1.37993949,0.98172046,0.32774813
-5.08754377,4.07100123,0.68630004,0.00273496,0.45769442,1.40305183,0.99435943,0.33200643
-5.08154077,4.14990696,0.70042758,0.00274570,0.50137254,1.42065862,1.00302549,0.33483726
-5.07553777,4.21518048,0.71180349,0.00274109,0.54757596,1.43274955,1.00781122,0.33624675
-5.06953477,4.26667039,0.72026639,0.00272167,0.59608183,1.43941192,1.00888147,0.33626607
-5.06353177,4.30444931,0.72569760,0.00268833,0.64662036,1.44082246,1.00646477,0.33494937
-5.05752876,4.32879646,0.72802479,0.00264230,0.69887374,1.43723621,1.00084279,0.33237105
-5.05152576,4.34017414,0.72722472,0.00258509,0.75247565,1.42897298,0.99233821,0.32862246
-5.04552276,4.33919963,0.72332485,0.00251851,0.80701151,1.41640220,0.98130178,0.32380817
-5.03951976,4.32661363,0.71640378,0.00244457,0.86201974,1.39992683,0.96809900,0.31804203
-5.03351676,4.30324691,0.70659036,0.00236548,0.91699417,1.37996707,0.95309712,0.31144321
-5.02751376,4.26998675,0.69406156,0.00228357,0.97138777,1.35694475,0.93665298,0.30413228
-5.02151076,4.22774461,0.67903888,0.00220125,1.02461790,1.33126907,0.91910218,0.29622768
-5.01550775,4.17742641,0.66178369,0.00212091,1.07607319,1.30332416,0.90075007,0.28784257
-5.00950475,4.11990671,0.64259130,0.00204493,1.12512208,1.27345925,0.88186474,0.27908221
-5.00350175,4.05600771,0.62178413,0.00197557,1.17112307,1.24198149,0.86267234,0.27004198
-4.99749875,3.98648361,0.59970415,0.00191494,1.21343645,1.20915180,0.84335461,0.26080600
-4.99149575,3.91201084,0.57670474,0.00186494,1.25143746,1.17518369,0.82404879,0.25144650
-4.98549275,3.83318409,0.55314233,0.00182723,1.28453046,1.14024494,0.80484953,0.24202377
-4.97948974,3.75051790,0.52936807,0.00180318,1.31216375,1.10446175,0.78581263,0.23258664
-4.97348674,3.66445312,0.50571979,0.00179386,1.33384447,1.06792517,0.76696031,0.22317351
-4.96748374,3.57536778,0.48251456,0.00179999,1.34915321,1.03069898,0.74828759,0.21381375
-4.96148074,3.48359103,0.46004209,0.00182196,1.35775748,0.99282879,0.72976934,0.20452936
-4.95547774,3.38941947,0.43855917,0.00185983,1.35942358,0.95435146,0.71136775,0.19533674
-4.94947474,3.29313459,0.41828545,0.00191332,1.35402631,0.91530450,0.69303963,0.18624859
-4.94347174,3.19502034,0.39940055,0.00198184,1.34155583,0.87573475,0.67474342,0.17727564
-4.93746873,3.09537995,0.38204277,0.00206453,1.32212145,0.83570595,0.65644554,0.16842829
-4.93146573,2.99455111,0.36630935,0.00216030,1.29595187,0.79530483,0.63812588,0.15971797
-4.92546273,2.89291880,0.35225818,0.00226788,1.26339186,0.75464542,0.61978230,0.15115824
-4.91945973,2.79092550,0.33991109,0.00238587,1.22489528,0.71387155,0.60143410,0.14276560
-4.91345673,2.68907817,0.32925832,0.00251282,1.18101471,0.67315736,0.58312441,0.13455989
-4.90745373,2.58795209,0.32026423,0.00264732,1.13238802,0.63270611,0.56492149,0.12656452
-4.90145073,2.48819144,0.31287368,0.00278801,1.07972233,0.59274732,0.54691918,0.11880627
-4.89544772,2.39050664,0.30701904,0.00293372,1.02377606,0.55353259,0.52923628,0.11131496
-4.88944472,2.29566878,0.30262741,0.00308349,0.96533965,0.51533044,0.51201529,0.10412287
-4.88344172,2.20450122,0.29962760,0.00323664,0.90521585,0.47842041,0.49542035,0.09726400
-4.87743872,2.11786862,0.29795665,0.00339280,0.84420014,0.44308688,0.47963456,0.09077332
-4.87143572,2.03666372,0.29756553,0.00355196,0.78306225,0.40961286,0.46485676,0.08468583
-4.86543272,1.96179202,0.29842362,0.00371448,0.72252912,0.37827405,0.45129775,0.07903578
-4.85942971,1.89415468,0.30052183,0.00388107,0.66327016,0.34933340,0.43917611,0.07385578
-4.85342671,1.83462987,0.30387419,0.00405274,0.60588498,0.32303631,0.42871347,0.06917607
-4.84742371,1.78405297,0.30851766,0.00423080,0.55089402,0.29960661,0.42012949,0.06502376
-4.84142071,1.74319570,0.31451030,0.00441676,0.49873215,0.27924326,0.41363640,0.06142228
-4.83541771,1.71274501,0.32192774,0.00461226,0.44974530,0.26211783,0.40943322,0.05839078
-4.82941471,1.69328171,0.33085820,0.00481896,0.40418996,0.24837264,0.40769989,0.05594373
-4.82341171,1.68525986,0.34139617,0.00503844,0.36223522,0.23811941,0.40859116,0.05409048
-4.81740870,1.68898721,0.35363519,0.00527207,0.32396729,0.23143834,0.41223061,0.05283505
-4.81140570,1.70460755,0.36765989,0.00552094,0.28939580,0.22837755,0.41870485,0.05217582
-4.80540270,1.73208567,0.38353789,0.00578571,0.25846167,0.22895253,0.42805818,0.05210542
-4.79939970,1.77119557,0.40131173,0.00606656,0.23104608,0.23314580,0.44028786,0.05261061
-4.79339670,1.82151274,0.42099147,0.00636306,0.20698007,0.24090650,0.45534017,0.05367224
-4.78739370,1.88241092,0.44254809,0.00667416,0.18605436,0.25214992,0.47310765,0.05526527
-4.78139070,1.95306397,0.46590824,0.00699815,0.16802920,0.26675709,0.49342749,0.05735892
-4.77538769,2.03245310,0.49095048,0.00733260,0.15264372,0.28457434,0.51608141,0.05991680
-4.76938469,2.11937951,0.51750329,0.00767448,0.13962475,0.30541299,0.54079699,0.06289722
-4.76338169,2.21248241,0.54534499,0.00802012,0.12869472,0.32904927,0.56725070,0.06625351
-4.75737869,2.31026210,0.57420558,0.00836531,0.11957872,0.35522462,0.59507246,0.06993452
-4.75137569,2.41110755,0.60377055,0.00870541,0.11201052,0.38364641,0.62385180,0.07388513
-4.74537269,2.51332764,0.63368645,0.00903546,0.10573747,0.41398938,0.65314543,0.07804688
-4.73936968,2.61518539,0.66356811,0.00935029,0.10052449,0.44589775,0.68248606,0.08235872
-4.73336668,2.71493396,0.69300730,0.00964469,0.09615689,0.47898814,0.71139221,0.08675781
-4.72736368,2.81085328,0.72158238,0.00991352,0.09244241,0.51285346,0.73937876,0.09118033
-4.72136068,2.90128643,0.74886866,0.01015189,0.08921227,0.54706761,0.76596785,0.09556245
-4.71535768,2.98467424,0.77444919,0.01035525,0.08632155,0.58119111,0.79069987,0.09984122
-4.70935468,3.05958751,0.79792536,0.01051958,0.08364880,0.61477751,0.81314406,0.10395550
-4.70335168,3.12475544,0.81892713,0.01064145,0.08109522,0.64738046,0.83290849,0.10784694
-4.69734867,3.17908989,0.83712236,0.01071813,0.07858324,0.67856136,0.84964893,0.11146082
-4.69134567,3.22170450,0.85222501,0.01074768,0.07605483,0.70789729,0.86307652,0.11474691
-4.68534267,3.25192853,0.86400186,0.01072895,0.07346956,0.73498905,0.87296380,0.11766026
-4.67933967,3.26931493,0.87227757,0.01066167,0.07080247,0.75946906,0.87914894,0.12016184
-4.67333667,3.27364280,0.87693790,0.01054639,0.06804186,0.78100890,0.88153821,0.12221917
-4.66733367,3.26491435,0.87793105,0.01038450,0.06518710,0.79932615,0.88010640,0.12380672
-4.66133067,3.24334668,0.87526715,0.01017815,0.06224650,0.81419040,0.87489544,0.12490628
-4.65532766,3.20935893,0.86901599,0.00993019,0.05923532,0.82542815,0.86601114,0.12550716
-4.64932466,3.16355541,0.85930316,0.00964410,0.05617388,0.83292639,0.85361840,0.12560624
-4.64332166,3.10670543,0.84630489,0.00932390,0.05308600,0.83663481,0.83793498,0.12520791
-4.63731866,3.03972069,0.83024186,0.00897400,0.04999753,0.83656652,0.81922417,0.12432382
-4.63131566,2.96363091,0.81137229,0.00859913,0.04693520,0.83279713,0.79778674,0.12297257
-4.62531266,2.87955876,0.78998471,0.00820422,0.04392569,0.82546242,0.77395232,0.12117922
-4.61930965,2.78869456,0.76639070,0.00779425,0.04099497,0.81475444,0.74807077,0.11897467
-4.61330665,2.69227180,0.74091789,0.00737422,0.03816778,0.80091634,0.72050368,0.11639502
-4.60730365,2.59154388,0.71390359,0.00694898,0.03546742,0.78423608,0.69161637,0.11348073
-4.60130065,2.48776269,0.68568905,0.00652320,0.03291563,0.76503906,0.66177061,0.11027583
-4.59529765,2.38215943,0.65661472,0.00610126,0.03053276,0.74368026,0.63131822,0.10682695
-4.58929465,2.27592804,0.62701634,0.00568724,0.02833789,0.72053574,0.60059576,0.10318247
-4.58329165,2.17021123,0.59722204,0.00528485,0.02634925,0.69599418,0.56992030,0.09939158
-4.57728864,2.06608932,0.56755023,0.00489742,0.02458459,0.67044844,0.53958629,0.09550334
-4.57128564,1.96457179,0.53830818,0.00452788,0.02306162,0.64428758,0.50986359,0.09156587
-4.56528264,1.86659132,0.50979114,0.00417877,0.02179857,0.61788950,0.48099638,0.08762556
-4.55927964,1.77300015,0.48228184,0.00385225,0.02081459,0.59161440,0.45320306,0.08372634
-4.55327664,1.68456848,0.45605000,0.00355014,0.02013033,0.56579932,0.42667676,0.07990910
-4.54727364,1.60198455,0.43135186,0.00327390,0.01976831,0.54075372,0.40158647,0.07621117
-4.54127064,1.52585596,0.40842944,0.00302469,0.01975332,0.51675631,0.37807855,0.07266598
-4.53526763,1.45671208,0.38750940,0.00280341,0.02011276,0.49405297,0.35627838,0.06930282
-4.52926463,1.39500700,0.36880155,0.00261068,0.02087685,0.47285596,0.33629215,0.06614664
-4.52326163,1.34112278,0.35249678,0.00244691,0.02207878,0.45334402,0.31820850,0.06321810
-4.51725863,1.29537276,0.33876470,0.00231228,0.02375469,0.43566347,0.30210003,0.06053361
-4.51125563,1.25800454,0.32775078,0.00220680,0.02594359,0.41993006,0.28802444,0.05810549
-4.50525263,1.22920266,0.31957341,0.00213026,0.02868713,0.40623135,0.27602543,0.05594225
-4.49924962,1.20909068,0.31432082,0.00208230,0.03202920,0.39462944,0.26613312,0.05404878
-4.49324662,1.19773261,0.31204815,0.00206238,0.03601540,0.38516397,0.25836423,0.05242675
-4.48724362,1.19513385,0.31277481,0.00206975,0.04069242,0.37785494,0.25272178,0.05107491
-4.48124062,1.20124146,0.31648245,0.00210353,0.04610722,0.37270556,0.24919465,0.04998935
-4.47523762,1.21594415,0.32311348,0.00216262,0.05230608,0.36970466,0.24775679,0.04916390
-4.46923462,1.23907187,0.33257051,0.00224577,0.05933358,0.36882877,0.24836647,0.04859033
-4.46323162,1.27039555,0.34471679,0.00235154,0.06723146,0.37004381,0.25096538,0.04825864
-4.45722861,1.30962693,0.35937758,0.00247836,0.07603741,0.37330626,0.25547799,0.04815727
-4.45122561,1.35641900,0.37634270,0.00262447,0.08578378,0.37856397,0.26181113,0.04827326
-4.44522261,1.41036715,0.39537007,0.00278802,0.09649640,0.38575662,0.26985385,0.04859246
-4.43921961,1.47101139,0.41619032,0.00296704,0.10819327,0.39481590,0.27947796,0.04909960
-4.43321661,1.53783982,0.43851223,0.00315948,0.12088344,0.40566554,0.29053898,0.04977851
-4.42721361,1.61029349,0.46202904,0.00336326,0.13456599,0.41822126,0.30287791,0.05061222
-4.42121061,1.68777278,0.48642527,0.00357631,0.14922908,0.43239083,0.31632354,0.05158312
-4.41520760,1.76964533,0.51138399,0.00379657,0.16484927,0.44807420,0.33069561,0.05267314
-4.40920460,1.85525531,0.53659422,0.00402209,0.18139099,0.46516390,0.34580853,0.05386398
-4.40320160,1.94393396,0.56175834,0.00425104,0.19880625,0.48354571,0.36147570,0.05513730
-4.39719860,2.03501114,0.58659910,0.00448174,0.21703460,0.50309953,0.37751429,0.05647507
-4.39119560,2.12782726,0.61086620,0.00471272,0.23600326,0.52370058,0.39375023,0.05785977
-4.38519260,2.22174553,0.63434206,0.00494274,0.25562757,0.54522078,0.41002332,0.05927479
-4.37918959,2.31616360,0.65684660,0.00517081,0.27581148,0.56753027,0.42619215,0.06070465
-4.37318659,2.41052442,0.67824093,0.00539621,0.29644838,0.59049896,0.44213863,0.06213541
-4.36718359,2.50432552,0.69842973,0.00561852,0.31742194,0.61399808,0.45777185,0.06355487
-4.36118059,2.59712636,0.71736217,0.00583756,0.33860709,0.63790151,0.47303110,0.06495284
-4.35517759,2.68855338,0.73503148,0.00605346,0.35987110,0.66208694,0.48788784,0.06632132
-4.34917459,2.77830226,0.75147294,0.00626657,0.38107469,0.68643672,0.50234643,0.06765463
-4.34317159,2.86613748,0.76676052,0.00647746,0.40207320,0.71083834,0.51644356,0.06894942
-4.33716858,2.95188888,0.78100223,0.00668687,0.42271777,0.73518460,0.53024635,0.07020461
-4.33116558,3.03544568,0.79433418,0.00689568,0.44285663,0.75937343,0.54384913,0.07142129
-4.32516258,3.11674804,0.80691390,0.00710484,0.46233647,0.78330750,0.55736903,0.07260245
-4.31915958,3.19577680,0.81891280,0.00731531,0.48100386,0.80689363,0.57094049,0.07375270
-4.31315658,3.27254188,0.83050839,0.00752802,0.49870691,0.83004216,0.58470895,0.07487790
