energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-5.32766383,1.30366706,0.00029209,0.02245521,0.08631209,0.25737800,0.16009072,0.92880947,0.25425281,0.00000000
-5.32166083,1.29104051,0.00026051,0.02362840,0.08966199,0.26653080,0.16320244,0.90208289,0.25877598,0.00000000
-5.31565783,1.27940876,0.00023245,0.02494943,0.09340027,0.27624075,0.16616688,0.87570724,0.26280539,0.00000000
-5.30965483,1.26879864,0.00020809,0.02642030,0.09750895,0.28652382,0.16900907,0.84970348,0.26633729,0.00000000
-5.30365183,1.25922442,0.00018761,0.02804088,0.10196158,0.29738559,0.17176264,0.82408852,0.26938349,0.00000000
-5.29764882,1.25068790,0.00017113,0.02980848,0.10672301,0.30881849,0.17446825,0.79887905,0.27197039,0.00000000
-5.29164582,1.24317712,0.00015878,0.03171754,0.11174926,0.32079906,0.17717145,0.77409421,0.27413727,0.00000000
-5.28564282,1.23666382,0.00015066,0.03375924,0.11698768,0.33328532,0.17992007,0.74975701,0.27593376,0.00000000
-5.27963982,1.23110003,0.00014686,0.03592124,0.12237713,0.34621447,0.18276132,0.72589472,0.27741678,0.00000000
-5.27363682,1.22641414,0.00014748,0.03818748,0.12784859,0.35950118,0.18573861,0.70253812,0.27864691,0.00000000
-5.26763382,1.22250684,0.00015261,0.04053806,0.13332592,0.37303648,0.18888834,0.67971990,0.27968447,0.00000000
-5.26163082,1.21924760,0.00016233,0.04294932,0.13872692,0.38668759,0.19223681,0.65747250,0.28058549,0.00000000
-5.25562781,1.21647190,0.00017673,0.04539397,0.14396479,0.40029861,0.19579744,0.63582547,0.28139788,0.00000000
-5.24962481,1.21398002,0.00019587,0.04784148,0.14894979,0.41369241,0.19956837,0.61480282,0.28215786,0.00000000
-5.24362181,1.21153736,0.00021981,0.05025854,0.15359116,0.42667351,0.20353083,0.59442047,0.28288702,0.00000000
-5.23761881,1.20887694,0.00024854,0.05260974,0.15779934,0.43903209,0.20764818,0.57468411,0.28359015,0.00000000
-5.23161581,1.20570389,0.00028206,0.05485839,0.16148830,0.45054896,0.21186589,0.55558767,0.28425399,0.00000000
-5.22561281,1.20170223,0.00032027,0.05696745,0.16457795,0.46100142,0.21611245,0.53711247,0.28484705,0.00000000
-5.21960980,1.19654347,0.00036303,0.05890060,0.16699661,0.47016983,0.22030125,0.51922724,0.28532048,0.00000000
-5.21360680,1.18989713,0.00041011,0.06062332,0.16868327,0.47784451,0.22433343,0.50188890,0.28561014,0.00000000
-5.20760380,1.18144241,0.00046119,0.06210408,0.16958985,0.48383295,0.22810155,0.48504416,0.28563955,0.00000000
-5.20160080,1.17088080,0.00051587,0.06331546,0.16968295,0.48796682,0.23149399,0.46863189,0.28532392,0.00000000
-5.19559780,1.15794890,0.00057364,0.06423521,0.16894547,0.49010861,0.23439988,0.45258593,0.28457474,0.00000000
-5.18959480,1.14243090,0.00063386,0.06484727,0.16737759,0.49015759,0.23671439,0.43683843,0.28330495,0.00000000
-5.18359180,1.12417020,0.00069585,0.06514255,0.16499746,0.48805484,0.23834406,0.42132343,0.28143432,0.00000000
-5.17758879,1.10307957,0.00075879,0.06511961,0.16184124,0.48378710,0.23921193,0.40598040,0.27889475,0.00000000
-5.17158579,1.07914930,0.00082180,0.06478506,0.15796275,0.47738937,0.23926232,0.39075780,0.27563524,0.00000000
-5.16558279,1.05245321,0.00088396,0.06415378,0.15343255,0.46894603,0.23846489,0.37561631,0.27162633,0.00000000
-5.15957979,1.02315194,0.00094429,0.06324888,0.14833664,0.45859053,0.23681780,0.36053170,0.26686359,0.00000000
-5.15357679,0.99149374,0.00100182,0.06210133,0.14277478,0.44650374,0.23434988,0.34549717,0.26137018,0.00000000
-5.14757379,0.95781254,0.00105560,0.06074946,0.13685851,0.43291086,0.23112164,0.33052524,0.25519824,0.00000000
-5.14157079,0.92252350,0.00110473,0.05923817,0.13070897,0.41807730,0.22722504,0.31564896,0.24842901,0.00000000
-5.13556778,0.88611641,0.00114839,0.05761791,0.12445467,0.40230354,0.22278204,0.30092264,0.24117171,0.00000000
-5.12956478,0.84914716,0.00118590,0.05594360,0.11822917,0.38591929,0.21794206,0.28642197,0.23356131,0.00000000
-5.12356178,0.81222775,0.00121670,0.05427328,0.11216898,0.36927727,0.21287831,0.27224367,0.22575507,0.00000000
-5.11755878,0.77601533,0.00124041,0.05266683,0.10641153,0.35274679,0.20778330,0.25850465,0.21792834,0.00000000
-5.11155578,0.74120073,0.00125684,0.05118454,0.10109346,0.33670745,0.20286369,0.24534088,0.21026947,0.00000000
-5.10555278,0.70849694,0.00126600,0.04988577,0.09634920,0.32154324,0.19833459,0.23290581,0.20297437,0.00000000
-5.09954977,0.67862781,0.00126811,0.04882763,0.09230982,0.30763715,0.19441369,0.22136862,0.19624068,0.00000000
-5.09354677,0.65231761,0.00126360,0.04806379,0.08910228,0.29536654,0.19131538,0.21091219,0.19026203,0.00000000
-5.08754377,0.63028131,0.00125309,0.04764338,0.08684894,0.28509930,0.18924509,0.20173083,0.18522242,0.00000000
-5.08154077,0.61321594,0.00123741,0.04761010,0.08566731,0.27719093,0.18839395,0.19402791,0.18129104,0.00000000
-5.07553777,0.60179311,0.00121751,0.04800143,0.08567006,0.27198232,0.18893412,0.18801320,0.17861764,0.00000000
-5.06953477,0.59665233,0.00119451,0.04884816,0.08696506,0.26979834,0.19101470,0.18389998,0.17732858,0.00000000
-5.06353177,0.59839523,0.00116962,0.05017391,0.08965545,0.27094695,0.19475841,0.18190200,0.17752372,0.00000000
-5.05752876,0.60758033,0.00114412,0.05199499,0.09383966,0.27571861,0.20025906,0.18223006,0.17927406,0.00000000
-5.05152576,0.62471797,0.00111930,0.05432035,0.09961108,0.28438579,0.20757974,0.18508831,0.18262027,0.00000000
-5.04552276,0.65026519,0.00109648,0.05715163,0.10705758,0.29720227,0.21675182,0.19067032,0.18757203,0.00000000
-5.03951976,0.68462009,0.00107689,0.06048333,0.11626046,0.31440198,0.22777451,0.19915469,0.19410814,0.00000000
-5.03351676,0.72811553,0.00106174,0.06430315,0.12729296,0.33619705,0.24061508,0.21070050,0.20217732,0.00000000
-5.02751376,0.78101183,0.00105208,0.06859219,0.14021829,0.36277493,0.25520953,0.22544244,0.21169962,0.00000000
-5.02151076,0.84348831,0.00104888,0.07332535,0.15508698,0.39429436,0.27146362,0.24348585,0.22256835,0.00000000
-5.01550775,0.91563391,0.00105292,0.07847162,0.17193383,0.43088017,0.28925431,0.26490172,0.23465250,0.00000000
-5.00950475,0.99743669,0.00106486,0.08399437,0.19077429,0.47261680,0.30843132,0.28972176,0.24779940,0.00000000
-5.00350175,1.08877287,0.00108516,0.08985167,0.21160062,0.51954085,0.32881903,0.31793392,0.26183778,0.00000000
-4.99749875,1.18939564,0.00111415,0.09599649,0.23437775,0.57163272,0.35021843,0.34947825,0.27658093,0.00000000
-4.99149575,1.29892445,0.00115195,0.10237696,0.25903925,0.62880778,0.37240936,0.38424369,0.29183011,0.00000000
-4.98549275,1.41683546,0.00119858,0.10893663,0.28548357,0.69090751,0.39515290,0.42206572,0.30737798,0.00000000
-4.97948974,1.54245396,0.00125387,0.11561471,0.31357079,0.75769108,0.41819403,0.46272518,0.32301216,0.00000000
