energy_ev,total_up,Ag_p_up,Ag_d_up,Bi_p_up,Bi_d_up,Se_s_up,Se_p_up
-5.01550775,3.60602311,0.16504389,3.27290418,0.03595761,0.00515309,0.05973800,0.21985582
-5.00950475,3.62082524,0.16995846,3.28456286,0.03732874,0.00519107,0.06156910,0.21853140
-5.00350175,3.62724450,0.17519683,3.28761234,0.03887933,0.00523290,0.06345092,0.21752284
-4.99749875,3.62597012,0.18085656,3.28254240,0.04064080,0.00528124,0.06540214,0.21700256
-4.99149575,3.61786848,0.18703676,3.27001765,0.04264383,0.00533874,0.06744324,0.21713660
-4.98549275,3.60394894,0.19383394,3.25085065,0.04491709,0.00540794,0.06959528,0.21807906
-4.97948974,3.58532383,0.20133765,3.22596934,0.04748602,0.00549117,0.07187871,0.21996678
-4.97348674,3.56316384,0.20962611,3.19637987,0.05037170,0.00559045,0.07431208,0.22291436
-4.96748374,3.53865059,0.21876193,3.16312608,0.05358960,0.00570739,0.07691078,0.22700978
-4.96148074,3.51292831,0.22878818,3.12724756,0.05714872,0.00584310,0.07968577,0.23231077
-4.95547774,3.48705666,0.23972509,3.08973779,0.06105065,0.00599811,0.08264256,0.23884200
-4.94947474,3.46196696,0.25156734,3.05150449,0.06528907,0.00617235,0.08578027,0.24659328
-4.94347174,3.43842376,0.26428243,3.01333388,0.06984939,0.00636510,0.08909101,0.25551883
-4.93746873,3.41699365,0.27780989,2.97586063,0.07470874,0.00657497,0.09255957,0.26553763
-4.93146573,3.39802299,0.29206176,2.93954497,0.07983622,0.00679996,0.09616331,0.27653490
-4.92546273,3.38162562,0.30692411,2.90465810,0.08519351,0.00703746,0.09987258,0.28836467
-4.91945973,3.36768118,0.32225972,2.87127659,0.09073578,0.00728436,0.10365129,0.30085337
-4.91345673,3.35584438,0.33791177,2.83928610,0.09641281,0.00753712,0.10745795,0.31380423
-4.90745373,3.34556450,0.35370851,2.80839416,0.10217039,0.00779188,0.11124690,0.32700256
-4.90145073,3.33611451,0.36946850,2.77815134,0.10795190,0.00804462,0.11496981,0.34022146
-4.89544772,3.32662795,0.38500648,2.74797967,0.11369995,0.00829123,0.11857735,0.35322798
-4.88944472,3.31614206,0.40013936,2.71720673,0.11935812,0.00852772,0.12202092,0.36578936
-4.88344172,3.30364474,0.41469221,2.68510379,0.12487264,0.00875031,0.12525440,0.37767925
