energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-5.69384692,2.32264138,0.09124690,0.18435160,0.13602925,0.61491732,0.72586725,0.00881695,1.23973939
-5.68784392,2.18062937,0.09274820,0.16684299,0.13774988,0.54139292,0.68315208,0.00776118,1.16487486
-5.68184092,2.04951763,0.09403009,0.15009803,0.13888058,0.47564927,0.64318388,0.00681340,1.09701647
-5.67583792,1.92885301,0.09506956,0.13424106,0.13937316,0.41718220,0.60594973,0.00597225,1.03564336
-5.66983492,1.81821694,0.09585983,0.11936805,0.13920141,0.36546947,0.57144224,0.00523540,0.98028831
-5.66383192,1.71724292,0.09641021,0.10554738,0.13836145,0.31998250,0.53966158,0.00459970,0.93054929
-5.65782891,1.62562963,0.09674535,0.09282134,0.13687126,0.28019698,0.51061698,0.00406139,0.88609708
-5.65182591,1.54314883,0.09690392,0.08120844,0.13476942,0.24560213,0.48432749,0.00361630,0.84667855
-5.64582291,1.46964760,0.09693667,0.07070626,0.13211318,0.21570857,0.46082173,0.00325998,0.81211574
-5.63981991,1.40504499,0.09690402,0.06129468,0.12897572,0.19005450,0.44013662,0.00298791,0.78230075
-5.63381691,1.34932323,0.09687326,0.05293924,0.12544307,0.16821035,0.42231499,0.00279563,0.75718690
-5.62781391,1.30251412,0.09691543,0.04559464,0.12161047,0.14978187,0.40740222,0.00267882,0.73677676
-5.62181091,1.26468167,0.09710214,0.03920806,0.11757871,0.13441175,0.39544205,0.00263343,0.72110769
-5.61580790,1.23590190,0.09750225,0.03372230,0.11345025,0.12177997,0.38647176,0.00265573,0.71023586
-5.60980490,1.21624118,0.09817872,0.02907858,0.10932558,0.11160305,0.38051704,0.00274237,0.70421955
-5.60380190,1.20573434,0.09918577,0.02521895,0.10529983,0.10363233,0.37758683,0.00289039,0.70310258
-5.59779890,1.20436386,0.10056629,0.02208836,0.10145979,0.09765166,0.37766850,0.00309721,0.70689891
-5.59179590,1.21204128,0.10234980,0.01963621,0.09788146,0.09347447,0.38072359,0.00336065,0.71557881
-5.58579290,1.22859161,0.10455091,0.01781742,0.09462822,0.09094061,0.38668433,0.00367887,0.72905759
-5.57978989,1.25374180,0.10716837,0.01659324,0.09174961,0.08991302,0.39545127,0.00405033,0.74718704
-5.57378689,1.28711328,0.11018474,0.01593143,0.08928073,0.09027434,0.40689204,0.00447375,0.76974992
-5.56778389,1.32821918,0.11356667,0.01580624,0.08724235,0.09192368,0.42084119,0.00494800,0.79645773
