energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-0.85542771,2.63370190,0.00207819,0.65799883,0.06604853,1.12863641,1.46780723,0.04301464,0.48292543
-0.84942471,2.62506890,0.00212135,0.64734358,0.06705679,1.12717215,1.48279344,0.04419023,0.46528210
-0.84342171,2.63924138,0.00217612,0.64344290,0.06842255,1.13497074,1.50874352,0.04562294,0.45288307
-0.83741871,2.67294759,0.00224086,0.64552124,0.07005361,1.15048230,1.54381604,0.04726922,0.44507740
-0.83141571,2.72277022,0.00231388,0.65275197,0.07185819,1.17211647,1.58610699,0.04908286,0.44118181
-0.82541271,2.78522684,0.00239342,0.66427827,0.07374714,1.19827835,1.63369085,0.05101613,0.44049951
-0.81940970,2.85684615,0.00247776,0.67923271,0.07563594,1.22740235,1.68466007,0.05302082,0.44233760
-0.81340670,2.93423798,0.00256523,0.69675493,0.07744641,1.25798347,1.73716207,0.05504925,0.44602270
-0.80740370,3.01415594,0.00265422,0.71600742,0.07910820,1.28860509,1.78943276,0.05705519,0.45091443
-0.80140070,3.09355165,0.00274326,0.73618904,0.08055980,1.31796284,1.83982598,0.05899464,0.45641675
-0.79539770,3.16961991,0.00283092,0.75654639,0.08174942,1.34488424,1.88683839,0.06082655,0.46198703
-0.78939470,3.23983468,0.00291593,0.77638304,0.08263540,1.36834386,1.92912943,0.06251335,0.46714287
-0.78339170,3.30197581,0.00299710,0.79506669,0.08318635,1.38747382,1.96553637,0.06402145,0.47146672
-0.77738869,3.35414716,0.00307333,0.81203455,0.08338101,1.40157001,1.99508445,0.06532152,0.47460857
-0.77138569,3.39478646,0.00314360,0.82679701,0.08320784,1.41009397,2.01699228,0.06638879,0.47628658
-0.76538269,3.42266815,0.00320693,0.83894006,0.08266435,1.41267097,2.03067318,0.06720311,0.47628630
-0.75937969,3.43689980,0.00326244,0.84812646,0.08175626,1.40908475,2.03573257,0.06774909,0.47445826
-0.75337669,3.43691366,0.00330924,0.85409609,0.08049656,1.39926936,2.03196238,0.06801606,0.47071450
-0.74737369,3.42245405,0.00334650,0.85666568,0.07890445,1.38329889,2.01933286,0.06799804,0.46502420
