energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-5.57978989,2.43046329,0.00151765,0.14474642,0.34769471,0.85608280,0.65652856,1.02665726,0.00617284,0.56072533
-5.57378689,2.39616335,0.00133834,0.15378334,0.33064252,0.83193507,0.67063104,1.02642803,0.00601005,0.53630155
-5.56778389,2.37516472,0.00117671,0.16502832,0.31545528,0.80995323,0.69237323,1.03265701,0.00594317,0.51433937
-5.56178089,2.36778145,0.00103210,0.17854362,0.30212624,0.79012446,0.72192666,1.04563213,0.00596848,0.49479623
-5.55577789,2.37422974,0.00090365,0.19436852,0.29064017,0.77243436,0.75937746,1.06558832,0.00608094,0.47761384
-5.54977489,2.39460863,0.00079038,0.21251485,0.28097316,0.75686631,0.80471244,1.09269259,0.00627420,0.46271951
-5.54377189,2.42887642,0.00069123,0.23296257,0.27309175,0.74339865,0.85780583,1.12702757,0.00654081,0.45002636
-5.53776888,2.47682460,0.00060508,0.25565552,0.26695150,0.73200000,0.91840739,1.16857461,0.00687223,0.43943251
-5.53176588,2.53805117,0.00053082,0.28049777,0.26249528,0.72262336,0.98613255,1.21719739,0.00725904,0.43081979
-5.52576288,2.61193554,0.00046733,0.30735060,0.25965139,0.71519953,1.06045541,1.27262701,0.00769100,0.42405205
-5.51975988,2.69761733,0.00041355,0.33603040,0.25833187,0.70963076,1.14070502,1.33444977,0.00815728,0.41897371
-5.51375688,2.79398107,0.00036846,0.36630773,0.25843109,0.70578498,1.22606573,1.40209845,0.00864658,0.41540868
-5.50775388,2.89964867,0.00033110,0.39790768,0.25982487,0.70349151,1.31558187,1.47484816,0.00914734,0.41316016
-5.50175088,3.01298116,0.00030057,0.43051157,0.26237028,0.70253865,1.40816710,1.55181730,0.00964796,0.41201132
-5.49574787,3.13209070,0.00027603,0.46376024,0.26590615,0.70267353,1.50261839,1.63197414,0.01013697,0.41172730
-5.48974487,3.25486328,0.00025671,0.49725872,0.27025445,0.70360435,1.59763468,1.71414929,0.01060328,0.41205826
-5.48374187,3.37899203,0.00024189,0.53058246,0.27522247,0.70500521,1.69183970,1.79705391,0.01103642,0.41274373
-5.47773887,3.50202046,0.00023091,0.56328479,0.28060580,0.70652331,1.78380843,1.87930341,0.01142671,0.41351793
-5.47173587,3.62139430,0.00022316,0.59490555,0.28619193,0.70778810,1.87209655,1.95944594,0.01176547,0.41411589
-5.46573287,3.73452040,0.00021805,0.62498068,0.29176445,0.70842222,1.95527195,2.03599501,0.01204524,0.41428018
-5.45972986,3.83883039,0.00021508,0.65305239,0.29710766,0.70805340,2.03194720,2.10746490,0.01225987,0.41376778
-5.45372686,3.93184682,0.00021375,0.67867969,0.30201132,0.70632691,2.10081205,2.17240799,0.01240468,0.41235683
-5.44772386,4.01124924,0.00021361,0.70144882,0.30627558,0.70291787,2.16066477,2.22945239,0.01247649,0.40985294
-5.44172086,4.07493760,0.00021426,0.72098343,0.30971560,0.69754277,2.21044129,2.27733868,0.01247371,0.40609473
-5.43571786,4.12109058,0.00021531,0.73695389,0.31216596,0.68996972,2.24924109,2.31495437,0.01239629,0.40095824
-5.42971486,4.14821642,0.00021644,0.74908571,0.31348456,0.68002685,2.27634897,2.34136473,0.01224567,0.39436023
-5.42371186,4.15519461,0.00021735,0.75716647,0.31355588,0.66760854,2.29125209,2.35583888,0.01202469,0.38625998
-5.41770885,4.14130651,0.00021779,0.76105130,0.31229359,0.65267935,2.29365150,2.35787024,0.01173749,0.37665969
-5.41170585,4.10625426,0.00021754,0.76066646,0.30964220,0.63527528,2.28346804,2.34719046,0.01138931,0.36560346
-5.40570285,4.05016711,0.00021645,0.75601117,0.30557807,0.61550273,2.26084237,2.32377638,0.01098632,0.35317497
-5.39969985,3.97359527,0.00021438,0.74715732,0.30010937,0.59353496,2.22612926,2.28784986,0.01053543,0.33949390
-5.39369685,3.87749172,0.00021126,0.73424739,0.29327531,0.56960664,2.17988638,2.23987053,0.01004410,0.32471142
-5.38769385,3.76318289,0.00020706,0.71749037,0.28514449,0.54400660,2.12285811,2.18052171,0.00952009,0.30900493
-5.38169085,3.63232959,0.00020176,0.69715609,0.27581260,0.51706927,2.05595505,2.11069027,0.00897127,0.29257232
-5.37568784,3.48687979,0.00019541,0.67356802,0.26539941,0.48916526,1.98022983,2.03144114,0.00840546,0.27562593
-5.36968484,3.32901524,0.00018809,0.64709474,0.25404530,0.46069151,1.89685026,1.94398752,0.00783022,0.25838660
-5.36368184,3.16109394,0.00017987,0.61814062,0.24190739,0.43206135,1.80707064,1.84965798,0.00725274,0.24107793
-5.35767884,2.98559052,0.00017090,0.58713576,0.22915535,0.40369497,1.71220216,1.74986173,0.00667966,0.22392092
-5.35167584,2.80503672,0.00016129,0.55452570,0.21596724,0.37601047,1.61358330,1.64605319,0.00611701,0.20712929
-5.34567284,2.62196383,0.00015121,0.52076111,0.20252519,0.34941579,1.51255115,1.53969727,0.00557013,0.19090537
-5.33966983,2.43884875,0.00014080,0.48628798,0.18901138,0.32430171,1.41041432,1.43223636,0.00504362,0.17543685
-5.33366683,2.25806527,0.00013021,0.45153829,0.17560417,0.30103589,1.30842828,1.32506017,0.00454129,0.16089418
-5.32766383,2.08184154,0.00011960,0.41692171,0.16247467,0.27995807,1.20777349,1.21947914,0.00406622,0.14742880
-5.32166083,1.91222463,0.00010910,0.38281837,0.14978370,0.26137619,1.10953687,1.11670217,0.00362074,0.13517200
-5.31565783,1.75105265,0.00009885,0.34957286,0.13767927,0.24556361,1.01469684,1.01781899,0.00320644,0.12423443
-5.30965483,1.59993446,0.00008896,0.31748969,0.12629452,0.23275696,0.92411207,0.92378746,0.00282429,0.11470609
-5.30365183,1.46023679,0.00007953,0.28683000,0.11574630,0.22315471,0.83851392,0.83542567,0.00247466,0.10665672
-5.29764882,1.33307840,0.00007063,0.25780981,0.10613422,0.21691621,0.75850244,0.75340872,0.00215738,0.10013652
-5.29164582,1.21933056,0.00006234,0.23059950,0.09754018,0.21416101,0.68454574,0.67826972,0.00187186,0.09517700
-5.28564282,1.11962302,0.00005470,0.20532453,0.09002839,0.21496853,0.61698235,0.61040450,0.00161709,0.09179208
-5.27963982,1.03435458,0.00004774,0.18206728,0.08364581,0.21937786,0.55602620,0.55007943,0.00139181,0.08997905
-5.27363682,0.96370733,0.00004148,0.16086972,0.07842288,0.22738772,0.50177382,0.49744154,0.00119449,0.08971969
-5.26763382,0.90766363,0.00003593,0.14173690,0.07437457,0.23895670,0.45421328,0.45253047,0.00102347,0.09098122
-5.26163082,0.86602498,0.00003107,0.12464092,0.07150163,0.25400371,0.41323444,0.41529122,0.00087698,0.09371732
-5.25562781,0.83843195,0.00002691,0.10952525,0.06979201,0.27240890,0.37864005,0.38558744,0.00075320,0.09786898
-5.24962481,0.82438464,0.00002342,0.09630928,0.06922234,0.29401506,0.35015739,0.36321436,0.00065032,0.10336547
-5.24362181,0.82326313,0.00002060,0.08489280,0.06975956,0.31862977,0.32744998,0.34791109,0.00056659,0.11012518
-5.23761881,0.83434746,0.00001842,0.07516045,0.07136252,0.34602830,0.31012926,0.33937188,0.00050032,0.11805655
-5.23161581,0.85683702,0.00001688,0.06698588,0.07398358,0.37595750,0.29776580,0.33725609,0.00044994,0.12705911
-5.22561281,0.88986915,0.00001599,0.06023559,0.07757025,0.40814073,0.28990005,0.34119670,0.00041402,0.13702452
-5.21960980,0.93253687,0.00001573,0.05477240,0.08206686,0.44228378,0.28605244,0.35080739,0.00039127,0.14783780
-5.21360680,0.98390584,0.00001615,0.05045851,0.08741614,0.47808193,0.28573275,0.36568820,0.00038055,0.15937864
-5.20760380,1.04303049,0.00001726,0.04715815,0.09356094,0.51522791,0.28844881,0.38542985,0.00038091,0.17152283
-5.20160080,1.10896950,0.00001911,0.04473975,0.10044591,0.55342075,0.29371439,0.40961708,0.00039158,0.18414380
-5.19559780,1.18080062,0.00002177,0.04307782,0.10801929,0.59237524,0.30105648,0.43783099,0.00041198,0.19711422
-5.18959480,1.25763488,0.00002533,0.04205436,0.11623475,0.63183185,0.31002186,0.46965081,0.00044170,0.21030770
-5.18359180,1.33863027,0.00002987,0.04156002,0.12505339,0.67156681,0.32018304,0.50465520,0.00048057,0.22360040
-5.17758879,1.42300487,0.00003553,0.04149496,0.13444578,0.71140204,0.33114362,0.54242347,0.00052860,0.23687275
-5.17158579,1.51004924,0.00004245,0.04176947,0.14439415,0.75121472,0.34254308,0.58253671,0.00058604,0.25001097
-5.16558279,1.59913824,0.00005077,0.04230441,0.15489475,0.79094616,0.35406092,0.62457916,0.00065334,0.26290861
-5.15957979,1.68974197,0.00006068,0.04303148,0.16596018,0.83060966,0.36542032,0.66813985,0.00073122,0.27546789
-5.15357679,1.78143563,0.00007237,0.04389332,0.17762191,0.87029726,0.37639107,0.71281467,0.00082060,0.28760095
-5.14757379,1.87390837,0.00008605,0.04484354,0.18993271,0.91018499,0.38679194,0.75820875,0.00092269,0.29923091
-5.14157079,1.96697063,0.00010192,0.04584661,0.20296904,0.95053653,0.39649228,0.80393932,0.00103894,0.31029283
-5.13556778,2.06055985,0.00012021,0.04687762,0.21683331,0.99170510,0.40541285,0.84963887,0.00117105,0.32073440
-5.12956478,2.15474422,0.00014115,0.04792198,0.23165580,1.03413332,0.41352585,0.89495850,0.00132098,0.33051653
-5.12356178,2.24972418,0.00016496,0.04897496,0.24759618,1.07835102,0.42085406,0.93957148,0.00149095,0.33961375
-5.11755878,2.34583122,0.00019185,0.05004112,0.26484444,1.12497068,0.42746902,0.98317672,0.00168338,0.34801434
-5.11155578,2.44352370,0.00022202,0.05113359,0.28362107,1.17468048,0.43348823,1.02550205,0.00190090,0.35572031
-5.10555278,2.54337915,0.00025565,0.05227319,0.30417623,1.22823468,0.43907142,1.06630722,0.00214633,0.36274708
-5.09954977,2.64608277,0.00029289,0.05348749,0.32678789,1.28644118,0.44441575,1.10538629,0.00242258,0.36912288
-5.09354677,2.75241179,0.00033387,0.05480952,0.35175857,1.35014614,0.44975007,1.14256939,0.00273265,0.37488783
-5.08754377,2.86321523,0.00037866,0.05627656,0.37941065,1.42021554,0.45532823,1.17772366,0.00307953,0.38009272
-5.08154077,2.97938909,0.00042732,0.05792863,0.41008016,1.49751357,0.46142161,1.21075326,0.00346613,0.38479732
-5.07553777,3.10184690,0.00047982,0.05980690,0.44410887,1.58287806,0.46831083,1.24159833,0.00389519,0.38906838
-5.06953477,3.23148575,0.00053613,0.06195206,0.48183486,1.67709297,0.47627692,1.27023291,0.00436916,0.39297726
-5.06353177,3.36914842,0.00059614,0.06440256,0.52358151,1.78085851,0.48559209,1.29666176,0.00489014,0.39659719
-5.05752876,3.51558226,0.00065970,0.06719287,0.56964527,1.89475933,0.49651026,1.32091620,0.00545971,0.40000026
-5.05152576,3.67139585,0.00072660,0.07035179,0.62028232,2.01923170,0.50925762,1.34304902,0.00607883,0.40325430
-5.04552276,3.83701497,0.00079659,0.07390077,0.67569470,2.15453066,0.52402353,1.36312857,0.00674773,0.40641956
-5.03951976,4.01263940,0.00086939,0.07785245,0.73601619,2.30069842,0.54095189,1.38123241,0.00746580,0.40954560
-5.03351676,4.19820254,0.00094466,0.08220935,0.80129877,2.45753553,0.56013351,1.39744054,0.00823147,0.41266835
-5.02751376,4.39333587,0.00102205,0.08696278,0.87150000,2.62457627,0.58159952,1.41182869,0.00904213,0.41580756
-5.02151076,4.59734058,0.00110117,0.09209210,0.94647228,2.80107002,0.60531624,1.42446193,0.00989405,0.41896482
-5.01550775,4.80916826,0.00118161,0.09756429,1.02595434,2.98597017,0.63118180,1.43538892,0.01078236,0.42212230
-5.00950475,5.02741276,0.00126296,0.10333388,1.10956595,3.17793193,0.65902461,1.44463711,0.01170103,0.42524233
-5.00350175,5.25031481,0.00134482,0.10934329,1.19680603,3.37532046,0.68860400,1.45220927,0.01264288,0.42826779
-4.99749875,5.47578052,0.00142677,0.11552363,1.28705494,3.57622990,0.71961299,1.45808154,0.01359968,0.43112357
-4.99149575,5.70141437,0.00150841,0.12179581,1.37958091,3.77851387,0.75168341,1.46220321,0.01456224,0.43371894
-4.98549275,5.92456670,0.00158937,0.12807215,1.47355103,3.97982721,0.78439316,1.46449843,0.01552055,0.43595068
-4.97948974,6.14239463,0.00166928,0.13425828,1.56804638,4.17767812,0.81727563,1.46486969,0.01646403,0.43770716
-4.97348674,6.35193509,0.00174779,0.14025538,1.66208123,4.36948953,0.84983091,1.46320324,0.01738169,0.43887283
-4.96748374,6.55018747,0.00182459,0.14596271,1.75462560,4.55266749,0.88153867,1.45937603,0.01826247,0.43933321
-4.96148074,6.73420293,0.00189939,0.15128021,1.84463055,4.72467446,0.91187219,1.45326406,0.01909546,0.43898004
-4.95547774,6.90117685,0.00197191,0.15611135,1.93105515,4.88310426,0.94031310,1.44475173,0.01987028,0.43771631
-4.94947474,7.04854071,0.00204189,0.16036584,2.01289428,5.02575592,0.96636643,1.43374165,0.02057732,0.43546095
-4.94347174,7.17404908,0.00210909,0.16396230,2.08920593,5.15070292,0.98957529,1.42016455,0.02120807,0.43215310
-4.93746873,7.27585809,0.00217328,0.16683077,2.15913699,5.25635488,1.00953474,1.40398873,0.02175540,0.42775542
-4.93146573,7.35259154,0.00223423,0.16891482,2.22194642,5.34150875,1.02590433,1.38522846,0.02221377,0.42225669
-4.92546273,7.40339159,0.00229174,0.17017344,2.27702476,5.40538715,1.03841866,1.36395103,0.02257941,0.41567323
-4.91945973,7.42795168,0.00234559,0.17058232,2.32390912,5.44766198,1.04689579,1.34028181,0.02285047,0.40804929
-4.91345673,7.42652996,0.00239559,0.17013472,2.36229318,5.46846234,1.05124292,1.31440725,0.02302708,0.39945633
-4.90745373,7.39994285,0.00244155,0.16884181,2.39203161,5.46836639,1.05145926,1.28657545,0.02311130,0.38999118
-4.90145073,7.34953896,0.00248330,0.16673232,2.41313897,5.44837766,1.04763591,1.25709421,0.02310704,0.37977338
-4.89544772,7.27715482,0.00252070,0.16385179,2.42578319,5.40988714,1.03995279,1.22632670,0.02301994,0.36894153
-4.88944472,7.18505462,0.00255365,0.16026117,2.43027404,5.35462319,1.02867269,1.19468487,0.02285710,0.35764911
-4.88344172,7.07585702,0.00258209,0.15603501,2.42704729,5.28459167,1.01413284,1.16262085,0.02262680,0.34605977
-4.87743872,6.95245237,0.00260604,0.15125917,2.41664541,5.20200936,0.99673415,1.13061674,0.02233822,0.33434247
-4.87143572,6.81791434,0.00262557,0.14602825,2.39969570,5.10923372,0.97692877,1.09917320,0.02200104,0.32266649
-4.86543272,6.67540985,0.00264086,0.14044279,2.37688711,5.00869228,0.95520639,1.06879746,0.02162511,0.31119668
-4.85942971,6.52811097,0.00265217,0.13460629,2.34894666,4.90281444,0.93207977,1.03999105,0.02122010,0.30008900
-4.85342671,6.37911239,0.00265985,0.12862232,2.31661652,4.79396850,0.90807024,1.01323786,0.02079511,0.28948662
-4.84742371,6.23135722,0.00266439,0.12259159,2.28063285,4.68440604,0.88369348,0.98899304,0.02035845,0.27951661
-4.84142071,6.08757346,0.00266634,0.11660936,2.24170691,4.57621511,0.85944623,0.96767289,0.01991731,0.27028732
-4.83541771,5.95022247,0.00266635,0.11076301,2.20050934,4.47128333,0.83579438,0.94964627,0.01947764,0.26188660
-4.82941471,5.82146044,0.00266514,0.10513003,2.15765773,4.37127119,0.81316258,0.93522763,0.01904396,0.25438069
-4.82341171,5.70311255,0.00266349,0.09977649,2.11370789,4.27759524,0.79192582,0.92467167,0.01861935,0.24781390
-4.81740870,5.59665936,0.00266219,0.09475580,2.06914861,4.19142049,0.77240306,0.91816978,0.01820544,0.24220903
-4.81140570,5.50323418,0.00266202,0.09010818,2.02439982,4.11366082,0.75485282,0.91584813,0.01780251,0.23756833
-4.80540270,5.42362973,0.00266371,0.08586037,1.97981375,4.04498602,0.73947090,0.91776711,0.01740959,0.23387503
-4.79939970,5.35831240,0.00266792,0.08202597,1.93567851,3.98583393,0.72638989,0.92392215,0.01702467,0.23109526
-4.79339670,5.30744209,0.00267517,0.07860611,1.89222365,3.93642610,0.71568050,0.93424545,0.01664494,0.22918029
-4.78739370,5.27089591,0.00268585,0.07559051,1.84962698,3.89678570,0.70735419,0.94860856,0.01626698,0.22806892
-4.78139070,5.24829397,0.00270014,0.07295884,1.80802224,3.86675633,0.70136720,0.96682538,0.01588708,0.22768993
-4.77538769,5.23902616,0.00271803,0.07068233,1.76750677,3.84602092,0.69762542,0.98865561,0.01550145,0.22796456
-4.76938469,5.24227867,0.00273926,0.06872546,1.72814904,3.83412022,0.69599008,1.01380829,0.01510651,0.22880880
-4.76338169,5.25705994,0.00276337,0.06704789,1.68999550,3.83047031,0.69628391,1.04194553,0.01469905,0.23013555
-4.75737869,5.28222562,0.00278965,0.06560620,1.65307645,3.83437943,0.69829767,1.07268618,0.01427647,0.23185652
-4.75137569,5.31650267,0.00281718,0.06435576,1.61741094,3.84506411,0.70179695,1.10560985,0.01383690,0.23388384
-4.74537269,5.35851295,0.00284483,0.06325239,1.58301051,3.86166505,0.70652890,1.14026095,0.01337931,0.23613148
-4.73936968,5.40679665,0.00287135,0.06225383,1.54988195,3.88326305,0.71222916,1.17615329,0.01290356,0.23851635
-4.73336668,5.45983618,0.00289534,0.06132111,1.51802904,3.90889546,0.71862856,1.21277517,0.01241041,0.24095915
-4.72736368,5.51608080,0.00291537,0.06041961,1.48745363,3.93757336,0.72545980,1.24959521,0.01190153,0.24338503
-4.72136068,5.57397237,0.00292995,0.05951986,1.45815613,3.96829955,0.73246379,1.28606913,0.01137939,0.24572411
-4.71535768,5.63197228,0.00293768,0.05859817,1.43013564,4.00008736,0.73939585,1.32164758,0.01084716,0.24791185
-4.70935468,5.68858931,0.00293724,0.05763687,1.40338986,4.03197991,0.74603130,1.35578492,0.01030863,0.24988938
-4.70335168,5.74240812,0.00292745,0.05662444,1.37791507,4.06306935,0.75217069,1.38794922,0.00976803,0.25160375
-4.69734867,5.79211746,0.00290734,0.05555534,1.35370607,4.09251547,0.75764424,1.41763305,0.00922990,0.25300825
-4.69134567,5.83653735,0.00287619,0.05442964,1.33075629,4.11956282,0.76231541,1.44436495,0.00869891,0.25406269
-4.68534267,5.87464406,0.00283354,0.05325245,1.30905803,4.14355565,0.76608354,1.46772127,0.00817975,0.25473378
-4.67933967,5.90559181,0.00277920,0.05203331,1.28860276,4.16394973,0.76888524,1.48733792,0.00767694,0.25499546
-4.67333667,5.92872995,0.00271331,0.05078534,1.26938142,4.18032049,0.77069456,1.50292145,0.00719476,0.25482932
-4.66733367,5.94361464,0.00263629,0.04952440,1.25138465,4.19236683,0.77152177,1.51425904,0.00673706,0.25422496
-4.66133067,5.95001416,0.00254884,0.04826819,1.23460285,4.19991032,0.77141080,1.52122666,0.00630724,0.25318027
-4.65532766,5.94790732,0.00245193,0.04703533,1.21902591,4.20288973,0.77043529,1.52379508,0.00590815,0.25170163
-4.64932466,5.93747451,0.00234675,0.04584448,1.20464263,4.20135098,0.76869347,1.52203295,0.00554203,0.24980399
-4.64332166,5.91908169,0.00223468,0.04471350,1.19143964,4.19543309,0.76630204,1.51610682,0.00521051,0.24751061
