energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-1.92396198,6.82704517,-10.05869493,0.05842176,-0.06452772,0.45323707,-1.62873121,3.38732993,-4.68534510,2.82784851,-3.20460562,0.16045539,-0.12862510,3.51372996,-5.77485397
-1.91795898,6.92469310,-9.94031237,0.05982307,-0.06966961,0.45402353,-1.60188027,3.42807904,-4.80049790,2.88058257,-3.07570963,0.15966547,-0.13306496,3.55867404,-5.75915747
-1.91195598,7.03121297,-9.85997677,0.06116572,-0.07508309,0.45508799,-1.57879853,3.47390282,-4.92513805,2.94072544,-2.96252164,0.15855213,-0.13801085,3.60517425,-5.76609556
-1.90595298,7.14425625,-9.81525682,0.06243130,-0.08073593,0.45632032,-1.55910238,3.52383663,-5.05659218,3.00702203,-2.86497859,0.15708877,-0.14340682,3.65227595,-5.79387814
-1.89994997,7.26151018,-9.80267553,0.06359939,-0.08658767,0.45761964,-1.54227024,3.57685032,-5.19182497,3.07822374,-2.78263152,0.15526129,-0.14918060,3.69904128,-5.84010699
-1.89394697,7.38073999,-9.81789162,0.06464832,-0.09258968,0.45889641,-1.52767142,3.63186254,-5.32753600,3.15310721,-2.71470206,0.15306883,-0.15524546,3.74456826,-5.90188320
-1.88794397,7.49982081,-9.85590180,0.06555603,-0.09868539,0.46007367,-1.51459797,3.68775376,-5.46026650,3.23048747,-2.66014522,0.15052399,-0.16150252,3.78800609,-5.97592761
-1.88194097,7.61676001,-9.91125534,0.06630099,-0.10481071,0.46108744,-1.50229810,3.74337835,-5.58651228,3.30922623,-2.61771539,0.14765238,-0.16784344,3.82856699,-6.05870917
-1.87593797,7.72971139,-9.97827249,0.06686322,-0.11089479,0.46188641,-1.49000977,3.79757669,-5.70283871,3.38823603,-2.58603276,0.14449176,-0.17415345,3.86553494,-6.14657657
-1.86993497,7.83698298,-10.05125844,0.06722520,-0.11686104,0.46243126,-1.47699315,3.84918794,-5.80599375,3.46648158,-2.56364730,0.14109071,-0.18031455,3.89827197,-6.23588802
-1.86393197,7.93704013,-10.12470549,0.06737275,-0.12262840,0.46269364,-1.46256065,3.89706408,-5.89301491,3.54297922,-2.54909806,0.13750695,-0.18620892,3.92622254,-6.32313494
-1.85792896,8.02850588,-10.19347645,0.06729575,-0.12811291,0.46265505,-1.44610362,3.94008573,-5.96132652,3.61679577,-2.54096583,0.13380540,-0.19172223,3.94891649,-6.40505516
-1.85192596,8.11016032,-10.25296386,0.06698872,-0.13322952,0.46230579,-1.42711473,3.97717974,-6.00882365,3.68704792,-2.53791760,0.13005607,-0.19674688,3.96597129,-6.47873208
-1.84592296,8.18094013,-10.29922025,0.06645110,-0.13789404,0.46164401,-1.40520540,4.00733862,-6.03394006,3.75290281,-2.53874183,0.12633189,-0.20118511,3.97709367,-6.54167685
-1.83991996,8.23993964,-10.32905633,0.06568741,-0.14202535,0.46067503,-1.38011799,4.02964129,-6.03569761,3.81358073,-2.54237380,0.12270659,-0.20495164,3.98208108,-6.59189104
-1.83391696,8.28641373,-10.34010506,0.06470709,-0.14554754,0.45941081,-1.35173230,4.04327452,-6.01373575,3.86836011,-2.54791101,0.11925260,-0.20797608,3.98082292,-6.62790856
-1.82791396,8.31978272,-10.33085096,0.06352418,-0.14839222,0.45786974,-1.32006677,4.04755422,-5.96832012,3.91658489,-2.55461887,0.11603919,-0.21020469,3.97330150,-6.64881583
-1.82191096,8.33963898,-10.30062551,0.06215676,-0.15050057,0.45607646,-1.28527418,4.04194535,-5.90033035,3.95767418,-2.56192722,0.11313075,-0.21160173,3.95959240,-6.65425053
-1.81590795,8.34575433,-10.24957038,0.06062627,-0.15182536,0.45406180,-1.24763274,4.02607965,-5.81122789,3.99113331,-2.56941874,0.11058533,-0.21215013,3.93986403,-6.64437983
